afp,modelo,referencia,n_dm,diferencia_media_perdida,dm_estadistico,dm_pvalor,pvalor_holm,supera_ew_con_evidencia
Habitat,DIARIO_RIDGE,EW_RIDGE,593,0.0005439163475282252,1.7647131532067435,0.07761198685428616,1.0,False
Habitat,DIARIO_POLY_RIDGE,EW_RIDGE,593,0.0005136843980285728,1.7551878301146817,0.07922718485611702,1.0,False
Habitat,DIARIO_SVR_RBF,EW_RIDGE,593,0.0017076517453586222,3.361174952230967,0.0007761164798958387,0.02949242623604187,False
Habitat,DIARIO_GRADIENT_BOOSTING,EW_RIDGE,593,0.000523379199310097,1.4390220711218018,0.150144269495891,1.0,False
Habitat,DIARIO_EXTRA_TREES,EW_RIDGE,593,0.00026299987045044093,0.727370000456861,0.4669993268466932,1.0,False
Habitat,DIRECTO_RIDGE,EW_RIDGE,593,0.0003512294950652414,1.0268902911297726,0.3044721265059138,1.0,False
Habitat,DIRECTO_POLY_RIDGE,EW_RIDGE,593,0.0013217949082287878,1.896539953454513,0.05788868208417974,1.0,False
Habitat,DIRECTO_SVR_RBF,EW_RIDGE,593,0.002077147849879866,3.552769983229717,0.00038119762408528324,0.014866707339326046,False
Habitat,DIRECTO_GRADIENT_BOOSTING,EW_RIDGE,593,0.0002389020889717041,0.6521877997959866,0.5142800293695222,1.0,False
Habitat,DIRECTO_EXTRA_TREES,EW_RIDGE,593,5.3539987401005926e-05,0.17829180523220436,0.8584938141865719,1.0,False
Integra,DIARIO_RIDGE,EW_RIDGE,593,0.00031065457418809935,1.0633879838446456,0.28760603973357535,1.0,False
Integra,DIARIO_POLY_RIDGE,EW_RIDGE,593,0.00038924723808493003,1.5070861210561768,0.13178858380409908,1.0,False
Integra,DIARIO_SVR_RBF,EW_RIDGE,593,0.0010632822692907685,2.3274612468287192,0.019940729263994372,0.6779847949758087,False
Integra,DIARIO_GRADIENT_BOOSTING,EW_RIDGE,593,0.00021179584390060445,0.6620330436889185,0.5079500448889689,1.0,False
Integra,DIARIO_EXTRA_TREES,EW_RIDGE,593,0.00032525789454184914,1.0243032361780549,0.30569206988302877,1.0,False
Integra,DIRECTO_RIDGE,EW_RIDGE,593,9.004779863261654e-05,0.2850199991962919,0.7756288199911836,1.0,False
Integra,DIRECTO_POLY_RIDGE,EW_RIDGE,593,0.0014421768758179484,1.8271767136349963,0.06767320389811315,1.0,False
Integra,DIRECTO_SVR_RBF,EW_RIDGE,593,0.0019208445994878007,3.007838294294826,0.0026311309957613993,0.09472071584741037,False
Integra,DIRECTO_GRADIENT_BOOSTING,EW_RIDGE,593,0.00014754700410461928,0.4153657495209915,0.6778741758134679,1.0,False
Integra,DIRECTO_EXTRA_TREES,EW_RIDGE,593,-4.835251471881377e-05,-0.16557270052420073,0.8684932325438852,1.0,False
Prima,DIARIO_RIDGE,EW_RIDGE,593,0.00029695445444347,0.9609607096997537,0.33657192358881893,1.0,False
Prima,DIARIO_POLY_RIDGE,EW_RIDGE,593,0.0005835566320400829,1.5326601203129377,0.12535962000144352,1.0,False
Prima,DIARIO_SVR_RBF,EW_RIDGE,593,0.0011237902947646107,2.2963743642427743,0.02165448545873594,0.714598020138286,False
Prima,DIARIO_GRADIENT_BOOSTING,EW_RIDGE,593,0.0003357507814293456,1.023959282307417,0.3058545074591328,1.0,False
Prima,DIARIO_EXTRA_TREES,EW_RIDGE,593,0.000508054406302348,1.4493330712672559,0.1472445896623762,1.0,False
Prima,DIRECTO_RIDGE,EW_RIDGE,593,0.000174174365298466,0.4799366100966945,0.6312724680633719,1.0,False
Prima,DIRECTO_POLY_RIDGE,EW_RIDGE,593,0.0023455351204683308,2.432710420510647,0.014986280983644074,0.5245198344275426,False
Prima,DIRECTO_SVR_RBF,EW_RIDGE,593,0.0019471465399360137,4.034601322331341,5.4695084813483064e-05,0.0021878033925393225,False
Prima,DIRECTO_GRADIENT_BOOSTING,EW_RIDGE,593,0.0001488936810899383,0.4979077999273765,0.6185490293975588,1.0,False
Prima,DIRECTO_EXTRA_TREES,EW_RIDGE,593,-4.709899906301464e-05,-0.16304114534493847,0.8704860387800764,1.0,False
Profuturo,DIARIO_RIDGE,EW_RIDGE,593,0.00011805893916483977,0.47122615590180794,0.6374792422789317,1.0,False
Profuturo,DIARIO_POLY_RIDGE,EW_RIDGE,593,0.0002683921668604487,1.163016547655888,0.24482278866357632,1.0,False
Profuturo,DIARIO_SVR_RBF,EW_RIDGE,593,0.0008724155820305277,2.1069118938198206,0.03512521744857611,1.0,False
Profuturo,DIARIO_GRADIENT_BOOSTING,EW_RIDGE,593,5.623081233382427e-05,0.22837128417907546,0.819357611544266,1.0,False
Profuturo,DIARIO_EXTRA_TREES,EW_RIDGE,593,0.0002611708592786822,1.0185501676264674,0.3084165723404557,1.0,False
Profuturo,DIRECTO_RIDGE,EW_RIDGE,593,4.2969145479885274e-05,0.1577360344958804,0.8746648045058225,1.0,False
Profuturo,DIRECTO_POLY_RIDGE,EW_RIDGE,593,0.0019210064338979257,1.7760873228548066,0.0757185253929058,1.0,False
Profuturo,DIRECTO_SVR_RBF,EW_RIDGE,593,0.0017436888215063057,3.2171445541480836,0.0012947334679225264,0.04790513831313348,False
Profuturo,DIRECTO_GRADIENT_BOOSTING,EW_RIDGE,593,-3.394486603958683e-05,-0.12993643962198895,0.8966167140163701,1.0,False
Profuturo,DIRECTO_EXTRA_TREES,EW_RIDGE,593,-0.00015035453379423652,-0.6235179690923736,0.5329441977625127,1.0,False
