afp,modelo,tarea,variable,importancia_media,importancia_desv
Integra,DIARIO_RIDGE,diario_recursivo,ret_COPX__acum5,0.0027076560550557812,0.00011007464778335447
Integra,DIARIO_RIDGE,diario_recursivo,ret_COPX__media5,0.002447593392816997,0.00013894774267040052
Integra,DIARIO_RIDGE,diario_recursivo,ret_EPU__media5,0.001809504700575134,6.500778635346826e-05
Integra,DIARIO_RIDGE,diario_recursivo,ret_EPU__acum5,0.0015146378083613237,3.469535265803623e-05
Integra,DIARIO_RIDGE,diario_recursivo,ret_COPX__lag0,0.0005548233456417031,4.165867309023563e-05
Integra,DIARIO_RIDGE,diario_recursivo,ret_EPU__lag0,0.00015213962536551727,2.5337616183938544e-05
Integra,DIARIO_RIDGE,diario_recursivo,ret_EPU__lag2,2.836132284687442e-05,1.0288855275962859e-05
Integra,DIARIO_RIDGE,diario_recursivo,ret_EPU__lag1,5.993990575109236e-06,1.8312670543877856e-05
Integra,DIARIO_RIDGE,diario_recursivo,ret_COPX__lag2,5.928645230146752e-06,5.812825635375687e-06
Integra,DIARIO_RIDGE,diario_recursivo,ret_EPU__vol5,-2.0712451958926003e-06,1.2119748525160959e-05
Integra,DIARIO_RIDGE,diario_recursivo,ret_EPU__lag3,-5.175095884645854e-06,1.7024705549472767e-06
Integra,DIARIO_RIDGE,diario_recursivo,ret_COPX__lag3,-9.91567404293979e-06,3.6370561053200973e-06
Integra,DIARIO_RIDGE,diario_recursivo,ret_COPX__vol5,-1.3745283031656348e-05,1.4250846143750222e-05
Integra,DIARIO_RIDGE,diario_recursivo,ret_COPX__lag1,-1.8182990021477914e-05,7.397825477469656e-06
Prima,DIARIO_RIDGE,diario_recursivo,ret_IDX_VIX__lag0,0.00045959357735331495,4.313465488542294e-05
Prima,DIARIO_RIDGE,diario_recursivo,ret_COPX__lag0,0.00022405585991388307,1.2996372113449931e-05
Prima,DIARIO_RIDGE,diario_recursivo,ret_EPU__lag0,0.00016298075323489206,1.786271350432109e-05
Prima,DIARIO_RIDGE,diario_recursivo,ret_IDX_VIX__lag1,2.312439539208875e-05,2.6954868421260856e-05
Prima,DIARIO_RIDGE,diario_recursivo,ret_COPX__acum5,2.076354410569924e-05,9.561106626720608e-06
Prima,DIARIO_RIDGE,diario_recursivo,ret_XLB__acum5,1.6479219937636133e-05,3.7422936240724653e-06
Prima,DIARIO_RIDGE,diario_recursivo,ret_EPU__media5,1.6013357991897374e-05,1.1185128872347629e-05
Prima,DIARIO_RIDGE,diario_recursivo,ret_XLB__lag3,9.32120955417174e-06,1.2863159522073635e-05
Prima,DIARIO_RIDGE,diario_recursivo,ret_EPU__lag3,3.9004329399485584e-06,1.3087310685948756e-06
