afp,subperiodo,fecha_inicio,fecha_fin,n,mae_retorno,rmse_retorno,r2_retorno,sesgo_retorno,desviacion_residual,varianza_residual,correlacion_retorno,direccion_pct,volatilidad_real,volatilidad_estimada,razon_volatilidad_estimada_real,mape_cuota_pct,mediana_error_abs_pct,p90_error_abs_pct,error_maximo_abs_pct,sesgo_cuota_pct
Habitat,Q1,2024-02-26,2024-09-19,149,0.007444400566837486,0.01136794548176157,0.04889762914227391,0.0027211695733456573,0.011074681275927699,0.00012264856536338357,0.34414471243364286,69.12751677852349,0.011695818672176159,0.005459436212363907,0.4667852986941108,0.7484451713784572,0.45280369464177905,1.9755192089723583,4.858914070197651,0.28368202470102544
Habitat,Q2,2024-09-20,2025-04-17,148,0.0057893358597074715,0.0075392796415529794,0.5117331643034317,0.00020084361844671943,0.007562195225527084,5.7186796628984625e-05,0.7410260327494997,64.86486486486487,0.01082613476690693,0.005938876320510698,0.5485684825081352,0.5808824971756178,0.4640954528641439,1.2116342696249496,2.984660920506177,0.027112951653076468
Habitat,Q3,2025-04-18,2025-11-11,148,0.005852217868950038,0.008041252690731386,0.11714952593870731,-0.00124109285692688,0.007971877499216077,6.355083086250757e-05,0.44503109795067664,77.7027027027027,0.008587214727443518,0.005922774740262721,0.6897201162717377,0.5819713822827883,0.42680323747124604,1.3021162748271153,2.6201711503980096,-0.11856707440745352
Habitat,Q4,2025-11-12,2026-06-30,148,0.013580273013731187,0.021816630478542324,-0.19004548113232933,-0.0031353073419874908,0.02166347620198978,0.0004693062011541775,0.4504075472135427,81.08108108108108,0.020066798342134845,0.021216888461191324,1.057313084999793,1.3436680455694048,0.9220792189398308,2.6082918130864208,9.673518446281658,-0.29021710365633396
Integra,Q1,2024-02-26,2024-09-19,149,0.007661476977862678,0.011925143436613982,-0.014316193833297408,0.0016166350801275612,0.011854904052305382,0.00014053875008936657,0.09570234661833492,58.38926174496645,0.011880622821601194,0.001963035190505644,0.1652299900419765,0.7719409895175943,0.4606504984302262,2.0656822369320924,6.221121064120871,0.17585595153931521
Integra,Q2,2024-09-20,2025-04-17,148,0.006978689776522677,0.009564804424044747,0.24702239229451695,0.001742828852601828,0.00943661584193469,8.904971854825274e-05,0.6053272323236345,59.45945945945946,0.011060054167295458,0.003296819791730587,0.2980835122380568,0.703840170700394,0.5591486714777827,1.4001242894344101,4.833184244644939,0.1847183058179467
Integra,Q3,2025-04-18,2025-11-11,148,0.006343895459164158,0.007958652217689892,0.10437058901882879,-0.002770226863790316,0.007486298714145692,5.604466843741944e-05,0.4682871149852462,70.27027027027027,0.008438155881805357,0.003275916676379719,0.38822661281280235,0.6309315267164216,0.5390702565783001,1.3265476380836319,2.405521362587504,-0.2702034647310469
Integra,Q4,2025-11-12,2026-06-30,148,0.014719565127769858,0.018723657341618953,0.2468083541417715,-0.005819448444257256,0.017856759211030644,0.00031886384952072776,0.5653415950580556,82.43243243243244,0.02164761860327874,0.012095378342565112,0.5587394421635437,1.4580145716679842,1.1805911872732278,2.9518391380509454,6.21604708249186,-0.546117230109869
Prima,Q1,2024-02-26,2024-09-19,149,0.007725888342678909,0.014731500079058197,0.01715599230390663,0.002435473134760626,0.014577785120106433,0.00021251181900799654,0.21937148825883598,72.48322147651007,0.014909632945597528,0.0042259757377794286,0.28343928741902813,0.7886755755937102,0.4161795297084714,2.1390588015728484,7.294599347992925,0.26558144848575127
Prima,Q2,2024-09-20,2025-04-17,148,0.006715303750560499,0.00860561145568758,0.44207172702754205,0.0020189205394529606,0.008393840971914078,7.04565662617835e-05,0.7120614618505997,62.83783783783784,0.011560183800082956,0.006092094279662004,0.5269893961044362,0.6755393920191713,0.5749182902656469,1.4812422883477905,2.877629375643065,0.21068297528667906
Prima,Q3,2025-04-18,2025-11-11,148,0.005785697828613777,0.007604019055574292,0.15756633076619664,-0.003071593439659561,0.006979654637270313,4.8715578855568984e-05,0.5431901461718949,77.7027027027027,0.008312803773349557,0.004470618673555917,0.5377991343773206,0.5748328808827312,0.4728710795733504,1.2043081503202684,2.8239054543552244,-0.3012241616062235
Prima,Q4,2025-11-12,2026-06-30,148,0.015173936139876856,0.019313959956684314,0.20432329412730454,-0.007840883233555137,0.017710702537042076,0.00031366898435558865,0.5792587744622403,82.43243243243244,0.021725770873688998,0.012780158457018582,0.5882487913234875,1.501779987367544,1.1804582832809996,3.0441077717705936,6.187782029190913,-0.7472513920625573
Profuturo,Q1,2024-02-26,2024-09-19,149,0.008541232876275326,0.01284050394032279,-0.06851121242391711,0.0032195149328438453,0.012472260163506813,0.00015555727358619899,0.07262569737597548,55.033557046979865,0.012463924312288772,0.001918736358679419,0.1539431972310395,0.8607339985802204,0.5586221656504131,2.0593070302845393,6.359410933935483,0.33761962437661075
Profuturo,Q2,2024-09-20,2025-04-17,148,0.006736725165688717,0.009571968426247008,0.24222315968194486,0.00041038101257488354,0.009595639851928133,9.207630416791136e-05,0.5235929975594806,62.16216216216216,0.01103323284841768,0.003848991474103565,0.34885436816060345,0.6775479919653047,0.4815474686121535,1.2782246355554627,5.3266949921534135,0.051177977261708266
Profuturo,Q3,2025-04-18,2025-11-11,148,0.007075970533095046,0.008681159398543421,0.18409360424837629,-0.001138698060554433,0.008635377516774933,7.456974485722201e-05,0.45830157361578555,65.54054054054053,0.009643390470534224,0.005471941018269477,0.5674291666389759,0.705050585247635,0.5721444897336447,1.4794016361381788,1.898137843198544,-0.10658378611900679
Profuturo,Q4,2025-11-12,2026-06-30,148,0.014186556263409448,0.0211605166591024,0.14226192743557076,-0.0027415807487444336,0.021053410802114845,0.00044324610640260597,0.6042617535844338,84.45945945945947,0.0229256212814197,0.0243206313804018,1.060849391249113,1.4129650361450081,0.9503224445353564,2.6853942511857225,9.821242972469546,-0.2536547120494411
