afp,modelo,segmento,fecha_hoy_simulada,fecha_ultima_cuota_visible,cuota_ultima_visible,cuota_real_hoy,retorno_acumulado_real,pred_original,metodo_calibracion,nombre_calibracion,ventana_calibracion,vida_media_calibracion,n_historial_calibracion,intercepto_calibracion,pendiente_calibracion,escala_magnitud,pred_calibrada
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-02-26,2024-02-21,21.7439387,21.9302475,0.0085683096595556,0.0034392891822514,AFIN,AFIN_W250,250,,591,0.0017120251885462652,1.3811947272515128,1.3811947272515128,0.0064623532725650665
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-02-27,2024-02-22,21.8170406,21.923793,0.0048930742696606,0.004356595301562,AFIN,AFIN_W250,250,,592,0.0016932917380688972,1.3772646103686008,1.3772646103686008,0.0076934762686083616
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-02-28,2024-02-23,21.8881726,21.862389800000003,-0.0011779329627544,0.0008885528669209,AFIN,AFIN_W250,250,,593,0.0016766906511537748,1.3697456452188346,1.3697456452188346,0.002893782071165388
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-02-29,2024-02-23,21.8881726,21.8716474,-0.0007549830815936,0.0017829319030959,AFIN,AFIN_W250,250,,593,0.0016766906511537748,1.3697456452188346,1.3697456452188346,0.004118853861141113
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-03-01,2024-02-23,21.8881726,21.9215492,0.0015248691889426,0.0047620668481083,AFIN,AFIN_W250,250,,593,0.0016766906511537748,1.3697456452188346,1.3697456452188346,0.0081995109785911
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-03-04,2024-02-28,21.862389800000003,21.9957217,0.0060986882595972,0.0028633739277215,AFIN,AFIN_W250,250,,596,0.0015779652448217694,1.4311190381949386,1.4311190381949386,0.005675794186255026
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-03-05,2024-02-29,21.8716474,21.8918414,0.0009232957916101,0.0011309331899578,AFIN,AFIN_W250,250,,597,0.0015859432114897973,1.4269567336514322,1.4269567336514322,0.003199735942209974
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-03-06,2024-03-01,21.9215492,21.9385361,0.000774895051669,-0.0001693128203107,AFIN,AFIN_W250,250,,598,0.0015717443137856404,1.4155557378664207,1.4155557378664207,0.0013320725795004827
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-03-07,2024-03-01,21.9215492,21.9670167,0.0020741006753299,0.0021631685102361,AFIN,AFIN_W250,250,,598,0.0015717443137856404,1.4155557378664207,1.4155557378664207,0.004633829910422309
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-03-08,2024-03-01,21.9215492,21.8544775,-0.0030596240889763,0.001101113478813,AFIN,AFIN_W250,250,,598,0.0015717443137856404,1.4155557378664207,1.4155557378664207,0.0031304318167614384
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-03-11,2024-03-06,21.9385361,21.8320377,-0.0048543986487776,0.0013499234113709,AFIN,AFIN_W250,250,,601,0.0016514850947245599,1.4065344389941699,1.4065344389941699,0.0035501988628222248
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-03-12,2024-03-07,21.9670167,21.8778521,-0.0040590218151925,0.0023701633737596,AFIN,AFIN_W250,250,,602,0.0016389361822845888,1.4049264718345273,1.4049264718345273,0.004968841448652083
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-03-13,2024-03-08,21.8544775,21.9033867,0.0022379487224069,0.006582065088438,AFIN,AFIN_W250,250,,603,0.0016208542152240045,1.4049213004367407,1.4049213004367407,0.01086813765883159
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-03-14,2024-03-08,21.8544775,21.8943938,0.0018264586742007,0.0059815982275448,AFIN,AFIN_W250,250,,603,0.0016208542152240045,1.4049213004367407,1.4049213004367407,0.010024528975756349
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-03-15,2024-03-08,21.8544775,21.8997237,0.0020703400481663,0.0077415991701748,AFIN,AFIN_W250,250,,603,0.0016208542152240045,1.4049213004367407,1.4049213004367407,0.012497191788845978
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-03-18,2024-03-13,21.9033867,22.013175500000003,0.0050124120759829,0.0007970668913599,AFIN,AFIN_W250,250,,606,0.001548064228729405,1.3864752129047169,1.3864752129047169,0.0026531777166269232
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-03-19,2024-03-14,21.8943938,21.9206718,0.0012002159201138,0.0032209769553634,AFIN,AFIN_W250,250,,607,0.0015326911306864728,1.3783964505817765,1.3783964505817765,0.0059724743333650805
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-03-20,2024-03-15,21.8997237,22.0158811,0.005304057785898,0.0047736765885917,AFIN,AFIN_W250,250,,608,0.00151038066835525,1.3613880507515845,1.3613880507515845,0.008009206934216577
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-03-21,2024-03-15,21.8997237,22.028102,0.005862096789833,0.0056804870046043,AFIN,AFIN_W250,250,,608,0.00151038066835525,1.3613880507515845,1.3613880507515845,0.009243727798873206
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-03-22,2024-03-15,21.8997237,22.1037092,0.0093145239088108,0.0048314104537441,AFIN,AFIN_W250,250,,608,0.00151038066835525,1.3613880507515845,1.3613880507515845,0.008087805128358758
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-03-25,2024-03-20,22.0158811,22.073967,0.0026383636310607,0.0002489420533688,AFIN,AFIN_W250,250,,611,0.0014532506948265215,1.3333856792630199,1.3333856792630199,0.00178518646375481
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-03-26,2024-03-21,22.028102,21.890702500000003,-0.0062374643080914,0.0003891100889477,AFIN,AFIN_W250,250,,612,0.001416235769115359,1.3310145426414524,1.3310145426414524,0.0019341469561932566
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-03-27,2024-03-22,22.1037092,21.662628800000004,-0.0199550399441554,0.003343482239057,AFIN,AFIN_W250,250,,613,0.0014039049921128236,1.334934091875459,1.334934091875459,0.005867233418610106
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-03-28,2024-03-22,22.1037092,21.6669967,-0.0197574305764031,0.0044458044733861,AFIN,AFIN_W250,250,,613,0.0014039049921128236,1.334934091875459,1.334934091875459,0.00733876094944835
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-03-29,2024-03-22,22.1037092,21.6698466,-0.0196284974650318,0.0051452834927365,AFIN,AFIN_W250,250,,613,0.0014039049921128236,1.334934091875459,1.334934091875459,0.008272519338930813
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-04-01,2024-03-27,21.662628800000004,21.4612382,-0.009296683327741,0.0015460025274436,AFIN,AFIN_W250,250,,616,0.0012605890221936615,1.3146889208399661,1.3146889208399661,0.0032931014166143477
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-04-02,2024-03-28,21.6669967,21.3454998,-0.0148380924431488,0.0004067562335055,AFIN,AFIN_W250,250,,617,0.0011457905137066612,1.2752917684543508,1.2752917684543508,0.0016645233900637211
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-04-03,2024-03-29,21.6698466,21.3173488,-0.016266741823636,0.001328248176059,AFIN,AFIN_W250,250,,618,0.0010360132896893852,1.2263761973498144,1.2263761973498144,0.0026649452369814485
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-04-04,2024-03-29,21.6698466,21.0798805,-0.02722520887619,-0.0014620312570974,AFIN,AFIN_W250,250,,618,0.0010360132896893852,1.2263761973498144,1.2263761973498144,-0.000756987043796293
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-04-05,2024-03-29,21.6698466,20.6709382,-0.046096699180141,-0.0006387687333685,AFIN,AFIN_W250,250,,618,0.0010360132896893852,1.2263761973498144,1.2263761973498144,0.0002526425194749667
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-04-08,2024-04-03,21.3173488,20.6578192,-0.0309386315431495,-0.0010330990289731,AFIN,AFIN_W250,250,,621,0.000803506153077696,1.161503909600174,1.161503909600174,-0.0003964424080787031
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-04-09,2024-04-04,21.0798805,20.6826106,-0.0188459275184221,0.0035090346317907,AFIN,AFIN_W250,250,,622,0.0007026964533854936,1.179409280101055,1.179409280101055,0.004841284462315433
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-04-10,2024-04-05,20.6709382,20.7123279,0.0020023135669768,0.0007306704504088,AFIN,AFIN_W250,250,,623,0.000527392546856812,1.1957695292682171,1.1957695292682171,0.001401106007392339
Habitat,EW_RIDGE_HL60_A0.001,prueba,2024-04-11,2024-04-05,20.6709382,20.6877692,0.0008142349339519,0.0022978032002336,AFIN,AFIN_W250,250,,623,0.000527392546856812,1.1957695292682171,1.1957695292682171,0.003275035597951147
