ticker,nombre,categoria,tipo,factor,transformacion,moneda_modelo
SPY,S&P 500 ETF,RV_GLOBAL_USA,USD_ASSET,ret_USD_SPY,retorno_en_moneda_USD,USD
SPY,S&P 500 ETF,RV_GLOBAL_USA,USD_ASSET,ret_PEN_SPY,retorno_convertido_a_PEN,PEN
QQQ,Nasdaq 100 ETF,RV_GLOBAL_USA,USD_ASSET,ret_USD_QQQ,retorno_en_moneda_USD,USD
QQQ,Nasdaq 100 ETF,RV_GLOBAL_USA,USD_ASSET,ret_PEN_QQQ,retorno_convertido_a_PEN,PEN
IWM,Russell 2000 ETF,RV_GLOBAL_USA,USD_ASSET,ret_USD_IWM,retorno_en_moneda_USD,USD
IWM,Russell 2000 ETF,RV_GLOBAL_USA,USD_ASSET,ret_PEN_IWM,retorno_convertido_a_PEN,PEN
DIA,Dow Jones ETF,RV_GLOBAL_USA,USD_ASSET,ret_USD_DIA,retorno_en_moneda_USD,USD
DIA,Dow Jones ETF,RV_GLOBAL_USA,USD_ASSET,ret_PEN_DIA,retorno_convertido_a_PEN,PEN
VT,Total World Stock ETF,RV_GLOBAL,USD_ASSET,ret_USD_VT,retorno_en_moneda_USD,USD
VT,Total World Stock ETF,RV_GLOBAL,USD_ASSET,ret_PEN_VT,retorno_convertido_a_PEN,PEN
ACWI,MSCI All Country World ETF,RV_GLOBAL,USD_ASSET,ret_USD_ACWI,retorno_en_moneda_USD,USD
ACWI,MSCI All Country World ETF,RV_GLOBAL,USD_ASSET,ret_PEN_ACWI,retorno_convertido_a_PEN,PEN
EFA,Mercados desarrollados fuera de USA,RV_DESARROLLADOS,USD_ASSET,ret_USD_EFA,retorno_en_moneda_USD,USD
EFA,Mercados desarrollados fuera de USA,RV_DESARROLLADOS,USD_ASSET,ret_PEN_EFA,retorno_convertido_a_PEN,PEN
IEFA,Mercados desarrollados Core,RV_DESARROLLADOS,USD_ASSET,ret_USD_IEFA,retorno_en_moneda_USD,USD
IEFA,Mercados desarrollados Core,RV_DESARROLLADOS,USD_ASSET,ret_PEN_IEFA,retorno_convertido_a_PEN,PEN
EEM,Mercados emergentes ETF,RV_EMERGENTES,USD_ASSET,ret_USD_EEM,retorno_en_moneda_USD,USD
EEM,Mercados emergentes ETF,RV_EMERGENTES,USD_ASSET,ret_PEN_EEM,retorno_convertido_a_PEN,PEN
VWO,Mercados emergentes Vanguard,RV_EMERGENTES,USD_ASSET,ret_USD_VWO,retorno_en_moneda_USD,USD
VWO,Mercados emergentes Vanguard,RV_EMERGENTES,USD_ASSET,ret_PEN_VWO,retorno_convertido_a_PEN,PEN
ILF,Latinoamérica 40 ETF,RV_LATAM,USD_ASSET,ret_USD_ILF,retorno_en_moneda_USD,USD
ILF,Latinoamérica 40 ETF,RV_LATAM,USD_ASSET,ret_PEN_ILF,retorno_convertido_a_PEN,PEN
EPU,Perú ETF,PAISES,USD_ASSET,ret_USD_EPU,retorno_en_moneda_USD,USD
EPU,Perú ETF,PAISES,USD_ASSET,ret_PEN_EPU,retorno_convertido_a_PEN,PEN
EWZ,Brasil ETF,PAISES,USD_ASSET,ret_USD_EWZ,retorno_en_moneda_USD,USD
EWZ,Brasil ETF,PAISES,USD_ASSET,ret_PEN_EWZ,retorno_convertido_a_PEN,PEN
EWW,México ETF,PAISES,USD_ASSET,ret_USD_EWW,retorno_en_moneda_USD,USD
EWW,México ETF,PAISES,USD_ASSET,ret_PEN_EWW,retorno_convertido_a_PEN,PEN
ECH,Chile ETF,PAISES,USD_ASSET,ret_USD_ECH,retorno_en_moneda_USD,USD
ECH,Chile ETF,PAISES,USD_ASSET,ret_PEN_ECH,retorno_convertido_a_PEN,PEN
ARGT,Argentina ETF,PAISES,USD_ASSET,ret_USD_ARGT,retorno_en_moneda_USD,USD
ARGT,Argentina ETF,PAISES,USD_ASSET,ret_PEN_ARGT,retorno_convertido_a_PEN,PEN
GXG,Colombia ETF,PAISES,USD_ASSET,ret_USD_GXG,retorno_en_moneda_USD,USD
GXG,Colombia ETF,PAISES,USD_ASSET,ret_PEN_GXG,retorno_convertido_a_PEN,PEN
INDA,India ETF,PAISES,USD_ASSET,ret_USD_INDA,retorno_en_moneda_USD,USD
INDA,India ETF,PAISES,USD_ASSET,ret_PEN_INDA,retorno_convertido_a_PEN,PEN
MCHI,China ETF,PAISES,USD_ASSET,ret_USD_MCHI,retorno_en_moneda_USD,USD
MCHI,China ETF,PAISES,USD_ASSET,ret_PEN_MCHI,retorno_convertido_a_PEN,PEN
EWY,Corea del Sur ETF,PAISES,USD_ASSET,ret_USD_EWY,retorno_en_moneda_USD,USD
EWY,Corea del Sur ETF,PAISES,USD_ASSET,ret_PEN_EWY,retorno_convertido_a_PEN,PEN
EWT,Taiwán ETF,PAISES,USD_ASSET,ret_USD_EWT,retorno_en_moneda_USD,USD
EWT,Taiwán ETF,PAISES,USD_ASSET,ret_PEN_EWT,retorno_convertido_a_PEN,PEN
EWJ,Japón ETF,PAISES,USD_ASSET,ret_USD_EWJ,retorno_en_moneda_USD,USD
EWJ,Japón ETF,PAISES,USD_ASSET,ret_PEN_EWJ,retorno_convertido_a_PEN,PEN
EWG,Alemania ETF,PAISES,USD_ASSET,ret_USD_EWG,retorno_en_moneda_USD,USD
EWG,Alemania ETF,PAISES,USD_ASSET,ret_PEN_EWG,retorno_convertido_a_PEN,PEN
EWU,Reino Unido ETF,PAISES,USD_ASSET,ret_USD_EWU,retorno_en_moneda_USD,USD
EWU,Reino Unido ETF,PAISES,USD_ASSET,ret_PEN_EWU,retorno_convertido_a_PEN,PEN
XLB,Materiales USA,SECTORES,USD_ASSET,ret_USD_XLB,retorno_en_moneda_USD,USD
XLB,Materiales USA,SECTORES,USD_ASSET,ret_PEN_XLB,retorno_convertido_a_PEN,PEN
XLI,Industriales USA,SECTORES,USD_ASSET,ret_USD_XLI,retorno_en_moneda_USD,USD
XLI,Industriales USA,SECTORES,USD_ASSET,ret_PEN_XLI,retorno_convertido_a_PEN,PEN
XLF,Financiero USA,SECTORES,USD_ASSET,ret_USD_XLF,retorno_en_moneda_USD,USD
XLF,Financiero USA,SECTORES,USD_ASSET,ret_PEN_XLF,retorno_convertido_a_PEN,PEN
XLK,Tecnología USA,SECTORES,USD_ASSET,ret_USD_XLK,retorno_en_moneda_USD,USD
XLK,Tecnología USA,SECTORES,USD_ASSET,ret_PEN_XLK,retorno_convertido_a_PEN,PEN
XLE,Energía USA,SECTORES,USD_ASSET,ret_USD_XLE,retorno_en_moneda_USD,USD
XLE,Energía USA,SECTORES,USD_ASSET,ret_PEN_XLE,retorno_convertido_a_PEN,PEN
XLY,Consumo discrecional USA,SECTORES,USD_ASSET,ret_USD_XLY,retorno_en_moneda_USD,USD
XLY,Consumo discrecional USA,SECTORES,USD_ASSET,ret_PEN_XLY,retorno_convertido_a_PEN,PEN
XLP,Consumo básico USA,SECTORES,USD_ASSET,ret_USD_XLP,retorno_en_moneda_USD,USD
XLP,Consumo básico USA,SECTORES,USD_ASSET,ret_PEN_XLP,retorno_convertido_a_PEN,PEN
XLV,Salud USA,SECTORES,USD_ASSET,ret_USD_XLV,retorno_en_moneda_USD,USD
XLV,Salud USA,SECTORES,USD_ASSET,ret_PEN_XLV,retorno_convertido_a_PEN,PEN
XLU,Utilities USA,SECTORES,USD_ASSET,ret_USD_XLU,retorno_en_moneda_USD,USD
XLU,Utilities USA,SECTORES,USD_ASSET,ret_PEN_XLU,retorno_convertido_a_PEN,PEN
