afp,orden,factor,lag,es_factor_baseline,spearman_train,pearson_train,mutual_information_train,familia_modelo_final,alpha_final,half_life_final,ticker,nombre,categoria,transformacion,moneda_modelo
Habitat,1,ret_IDX_VIX,0,True,-0.4081020023645199,-0.4601874852694755,0.1270629706728447,EW_RIDGE,0.001,60.0,^VIX,Índice VIX,VOLATILIDAD,retorno_porcentual,NIVEL_ORIGINAL
Habitat,2,ret_USD_EPU,0,False,0.390062909002139,0.4951283886555565,0.1257887119845238,EW_RIDGE,0.001,60.0,EPU,Perú ETF,PAISES,retorno_en_moneda_USD,USD
Habitat,3,ret_USD_VT,0,False,0.5310535884841197,0.576063687820938,0.2408244593600361,EW_RIDGE,0.001,60.0,VT,Total World Stock ETF,RV_GLOBAL,retorno_en_moneda_USD,USD
Habitat,4,ret_USD_EWG,0,False,0.4581778483986883,0.5278879654340973,0.1415783894846285,EW_RIDGE,0.001,60.0,EWG,Alemania ETF,PAISES,retorno_en_moneda_USD,USD
Habitat,5,ret_USD_XLE,0,False,0.3743878007749922,0.4464726569142266,0.0857168849832152,EW_RIDGE,0.001,60.0,XLE,Energía USA,SECTORES,retorno_en_moneda_USD,USD
Habitat,6,ret_PEN_REMX,0,False,0.349215255625907,0.3881508181536319,0.0818738177521858,EW_RIDGE,0.001,60.0,REMX,Tierras raras ETF,MINERIA_MATERIALES,retorno_convertido_a_PEN,PEN
Habitat,7,ret_USD_EFA,0,False,0.4942859114537586,0.5656229527235986,0.2245966550758096,EW_RIDGE,0.001,60.0,EFA,Mercados desarrollados fuera de USA,RV_DESARROLLADOS,retorno_en_moneda_USD,USD
Habitat,8,ret_USD_IWM,0,False,0.4631882750003241,0.5203612303157851,0.181202488787159,EW_RIDGE,0.001,60.0,IWM,Russell 2000 ETF,RV_GLOBAL_USA,retorno_en_moneda_USD,USD
Habitat,9,ret_USD_XLY,0,False,0.4662663849654374,0.5330362973922417,0.1570143363463589,EW_RIDGE,0.001,60.0,XLY,Consumo discrecional USA,SECTORES,retorno_en_moneda_USD,USD
Integra,1,ret_USD_COPX,0,True,0.4638091817974193,0.534856810960347,0.1675710307878475,EW_RIDGE,0.001,500.0,COPX,Minera de cobre ETF,MINERIA_MATERIALES,retorno_en_moneda_USD,USD
Integra,2,ret_USD_EPU,0,True,0.4316476231261684,0.5460899128059837,0.1797427419309256,EW_RIDGE,0.001,500.0,EPU,Perú ETF,PAISES,retorno_en_moneda_USD,USD
Integra,3,ret_USD_SPY,0,False,0.5813642731719234,0.6327531232973779,0.2729750808357911,EW_RIDGE,0.001,500.0,SPY,S&P 500 ETF,RV_GLOBAL_USA,retorno_en_moneda_USD,USD
Prima,1,ret_USD_EPU,0,True,0.4369036017233523,0.5576464766157092,0.1287330285735271,EW_RIDGE,0.001,500.0,EPU,Perú ETF,PAISES,retorno_en_moneda_USD,USD
Prima,2,ret_USD_SPY,0,False,0.5440223480270363,0.6330038406032792,0.2474463221815446,EW_RIDGE,0.001,500.0,SPY,S&P 500 ETF,RV_GLOBAL_USA,retorno_en_moneda_USD,USD
Prima,3,ret_USD_VWO,0,False,0.5339863162783381,0.6325806900578191,0.2245364826725087,EW_RIDGE,0.001,500.0,VWO,Mercados emergentes Vanguard,RV_EMERGENTES,retorno_en_moneda_USD,USD
Profuturo,1,ret_USD_COPX,0,True,0.4800082832422144,0.5453916460847349,0.1854562879700134,EW_RIDGE,0.001,500.0,COPX,Minera de cobre ETF,MINERIA_MATERIALES,retorno_en_moneda_USD,USD
Profuturo,2,ret_USD_EPU,0,True,0.4433983537594072,0.55582490992888,0.1569085616329317,EW_RIDGE,0.001,500.0,EPU,Perú ETF,PAISES,retorno_en_moneda_USD,USD
Profuturo,3,ret_USD_SPY,0,False,0.6373481775761217,0.6749896369369772,0.3043895268180723,EW_RIDGE,0.001,500.0,SPY,S&P 500 ETF,RV_GLOBAL_USA,retorno_en_moneda_USD,USD
Profuturo,4,ret_PEN_MCHI,0,False,0.4244533698227827,0.4565136790865552,0.1145266803981366,EW_RIDGE,0.001,500.0,MCHI,China ETF,PAISES,retorno_convertido_a_PEN,PEN
