afp,tipo_modelo,factor,lag,coeficiente_estandarizado,abs_coeficiente
Habitat,MODELO70,ret_USD_VT,0,0.003209477452523655,0.003209477452523655
Habitat,MODELO70,ret_USD_EPU,0,0.0025262666382788253,0.0025262666382788253
Habitat,MODELO70,ret_USD_EFA,0,-0.0020014085697719654,0.0020014085697719654
Habitat,MODELO70,ret_USD_IWM,0,-0.00042360939226332396,0.00042360939226332396
Habitat,MODELO70,ret_USD_XLE,0,0.0004183182439911501,0.0004183182439911501
Habitat,MODELO70,ret_IDX_VIX,0,-0.0003750540191072779,0.0003750540191072779
Habitat,MODELO70,ret_PEN_REMX,0,-0.0001821749255777653,0.0001821749255777653
Habitat,MODELO70,ret_USD_XLY,0,-5.1773945401634406e-05,5.1773945401634406e-05
Habitat,MODELO70,ret_USD_EWG,0,-2.0298312012311734e-05,2.0298312012311734e-05
Habitat,MODELO70_MAS_ACCIONES,ret_USD_VT,0,0.0032032538426652432,0.0032032538426652432
Habitat,MODELO70_MAS_ACCIONES,ret_USD_EPU,0,0.002554324920375457,0.002554324920375457
Habitat,MODELO70_MAS_ACCIONES,ret_USD_EFA,0,-0.001984867328596229,0.001984867328596229
Habitat,MODELO70_MAS_ACCIONES,ret_USD_XLE,0,0.0004167445829503167,0.0004167445829503167
Habitat,MODELO70_MAS_ACCIONES,ret_USD_IWM,0,-0.00037812568508617403,0.00037812568508617403
Habitat,MODELO70_MAS_ACCIONES,ret_IDX_VIX,0,-0.0003760607711659918,0.0003760607711659918
Habitat,MODELO70_MAS_ACCIONES,ret_PEN_BHP,1,-0.0002753380550637064,0.0002753380550637064
Habitat,MODELO70_MAS_ACCIONES,ret_PEN_FCX,1,0.0002152615225193514,0.0002152615225193514
Habitat,MODELO70_MAS_ACCIONES,ret_PEN_REMX,0,-0.00018310472867500606,0.00018310472867500606
Habitat,MODELO70_MAS_ACCIONES,ret_USD_XLY,0,-6.931755076052997e-05,6.931755076052997e-05
Habitat,MODELO70_MAS_ACCIONES,ret_USD_BHP,0,-6.605608894646387e-05,6.605608894646387e-05
Habitat,MODELO70_MAS_ACCIONES,ret_USD_EWG,0,-2.1626279969568327e-05,2.1626279969568327e-05
Integra,MODELO70,ret_USD_EPU,0,0.002065568410344309,0.002065568410344309
Integra,MODELO70,ret_USD_SPY,0,0.0009950150082922442,0.0009950150082922442
Integra,MODELO70,ret_USD_COPX,0,0.0004645324194710407,0.0004645324194710407
Integra,MODELO70_MAS_ACCIONES,ret_USD_EPU,0,0.002028182937580024,0.002028182937580024
Integra,MODELO70_MAS_ACCIONES,ret_USD_SPY,0,0.0010362316558686392,0.0010362316558686392
Integra,MODELO70_MAS_ACCIONES,ret_PEN_FCX,1,0.0004443125828700379,0.0004443125828700379
Integra,MODELO70_MAS_ACCIONES,ret_USD_COPX,0,0.0004383866587290948,0.0004383866587290948
Prima,MODELO70,ret_USD_EPU,0,0.0018913152221434048,0.0018913152221434048
Prima,MODELO70,ret_USD_VWO,0,0.0010319356089756755,0.0010319356089756755
Prima,MODELO70,ret_USD_SPY,0,0.0006290746580842403,0.0006290746580842403
Prima,MODELO70_MAS_ACCIONES,ret_USD_EPU,0,0.0019546334123726836,0.0019546334123726836
Prima,MODELO70_MAS_ACCIONES,ret_USD_VWO,0,0.001125350114263153,0.001125350114263153
Prima,MODELO70_MAS_ACCIONES,ret_USD_SPY,0,0.0006312219758809932,0.0006312219758809932
Prima,MODELO70_MAS_ACCIONES,ret_PEN_FCX,1,0.0005919746697207114,0.0005919746697207114
Prima,MODELO70_MAS_ACCIONES,ret_USD_NEM,0,-0.00041251848124717716,0.00041251848124717716
Profuturo,MODELO70,ret_USD_EPU,0,0.00218998372146644,0.00218998372146644
Profuturo,MODELO70,ret_USD_SPY,0,0.0010626724530046377,0.0010626724530046377
Profuturo,MODELO70,ret_PEN_MCHI,0,0.0003068585619395069,0.0003068585619395069
Profuturo,MODELO70,ret_USD_COPX,0,0.00017249275473304494,0.00017249275473304494
Profuturo,MODELO70_MAS_ACCIONES,ret_USD_EPU,0,0.002244394352771117,0.002244394352771117
Profuturo,MODELO70_MAS_ACCIONES,ret_USD_SPY,0,0.0010789332109562952,0.0010789332109562952
Profuturo,MODELO70_MAS_ACCIONES,ret_USD_FCX,1,0.0005610869696225338,0.0005610869696225338
Profuturo,MODELO70_MAS_ACCIONES,ret_USD_NEM,0,-0.0004328466639906746,0.0004328466639906746
Profuturo,MODELO70_MAS_ACCIONES,ret_PEN_MCHI,0,0.0003467454927723199,0.0003467454927723199
Profuturo,MODELO70_MAS_ACCIONES,ret_USD_COPX,0,0.0002466330651670541,0.0002466330651670541
