afp,paso,accion,factor,lag,max_corr_con_canasta,mape_antes_pct,mape_despues_pct,mejora_mape_puntos,p90_despues_pct,aceptado
Habitat,0,BASE_MODELO70,,,,,0.5827922723177746,,1.2093667896324984,True
Habitat,1,AGREGAR_ACCION,ret_PEN_FCX,1.0,0.04807266100596627,0.5827922723177746,0.5557480320522673,0.027044240265507336,1.1136722421783873,True
Habitat,2,AGREGAR_ACCION,ret_USD_BHP,0.0,0.7139409338463475,0.5557480320522673,0.5516627884273408,0.00408524362492646,1.1237238361897983,True
Habitat,3,AGREGAR_ACCION,ret_PEN_BHP,1.0,0.7416377525828178,0.5516627884273408,0.5494085633246395,0.002254225102701346,1.1401228043197609,True
Habitat,4,AGREGAR_ACCION,ret_PEN_BVN,0.0,0.5329529507360257,0.5494085633246395,0.5487614511602958,0.000647112164343655,1.125787759813846,False
Integra,0,BASE_MODELO70,,,,,0.6461017795222636,,1.2610980080387972,True
Integra,1,AGREGAR_ACCION,ret_PEN_FCX,1.0,0.08322875883582641,0.6461017795222636,0.6366845225895563,0.00941725693270723,1.2411911537331388,True
Integra,2,AGREGAR_ACCION,ret_USD_SCCO,0.0,0.7788385447417623,0.6366845225895563,0.6351918297339058,0.001492692855650568,1.238799305028975,False
Prima,0,BASE_MODELO70,,,,,0.5774496295748925,,1.2671201625506572,True
Prima,1,AGREGAR_ACCION,ret_PEN_FCX,1.0,0.04807266100596627,0.5774496295748925,0.5659552334837521,0.011494396091140446,1.2304733513849622,True
Prima,2,AGREGAR_ACCION,ret_USD_NEM,0.0,0.41388924646041303,0.5659552334837521,0.5605427675794781,0.005412465904274022,1.212254104899309,True
Prima,3,AGREGAR_ACCION,ret_PEN_BAP,1.0,0.47542714676957326,0.5605427675794781,0.5595853803497932,0.0009573872296848585,1.2060610852601377,False
Profuturo,0,BASE_MODELO70,,,,,0.6196819927615506,,1.3247336487140347,True
Profuturo,1,AGREGAR_ACCION,ret_USD_FCX,1.0,0.0952664753187422,0.6196819927615506,0.6108009165913264,0.008881076170224156,1.2986462457270074,True
Profuturo,2,AGREGAR_ACCION,ret_USD_NEM,0.0,0.41388924646041303,0.6108009165913264,0.6069115068706776,0.003889409720648773,1.2827009034577321,True
Profuturo,3,AGREGAR_ACCION,ret_USD_SCCO,0.0,0.7788385447417623,0.6069115068706776,0.6059213813116746,0.000990125559003019,1.2937390610993977,False
