instrumento,tipo,sector,alias_probado,moneda_alias,estado,n_precios,fecha_inicio,fecha_fin,cero_volumen_pct,sin_cambio_pct,gap_mediana_dias,gap_p90_dias,gap_max_dias
S&P/BVL Peru General,INDICE_BVL,MERCADO_GENERAL,^SPBLPGPT,PEN,HISTORIA_INSUFICIENTE,1,2017-12-01,2017-12-01,100.0,0.0,,,
S&P/BVL Peru General,INDICE_BVL,MERCADO_GENERAL,SPBLPGPT,PEN,HISTORIA_INSUFICIENTE,0,,,,,,,
S&P/BVL Peru General,INDICE_BVL,MERCADO_GENERAL,^IGBVL,PEN,HISTORIA_INSUFICIENTE,0,,,,,,,
S&P/BVL Peru Select,INDICE_BVL,MERCADO_SELECTIVO,^SPBLPSPT,PEN,HISTORIA_INSUFICIENTE,1,2017-12-01,2017-12-01,100.0,0.0,,,
S&P/BVL Peru Select,INDICE_BVL,MERCADO_SELECTIVO,SPBLPSPT,PEN,HISTORIA_INSUFICIENTE,0,,,,,,,
S&P/BVL Peru Select,INDICE_BVL,MERCADO_SELECTIVO,^IBVL,PEN,HISTORIA_INSUFICIENTE,0,,,,,,,
S&P/BVL Lima 25,INDICE_BVL,MERCADO_LIQUIDO,^SPBL25PT,PEN,HISTORIA_INSUFICIENTE,1,2017-12-01,2017-12-01,100.0,0.0,,,
S&P/BVL Lima 25,INDICE_BVL,MERCADO_LIQUIDO,SPBL25PT,PEN,HISTORIA_INSUFICIENTE,0,,,,,,,
S&P/BVL Lima 25,INDICE_BVL,MERCADO_LIQUIDO,^LIMA25,PEN,HISTORIA_INSUFICIENTE,0,,,,,,,
S&P/BVL Peru General ESG,INDICE_BVL,ESG,^SPBLPESGPT,PEN,HISTORIA_INSUFICIENTE,0,,,,,,,
S&P/BVL Peru General ESG,INDICE_BVL,ESG,SPBLPESGPT,PEN,HISTORIA_INSUFICIENTE,0,,,,,,,
