factor,instrumento,ticker_elegido,tipo,sector,moneda_modelo,n_retornos,fecha_inicio_retorno,fecha_fin_retorno,cobertura_train_pct,cero_volumen_pct,sin_cambio_pct,gap_p90_dias,gap_max_dias,elegible_operativo,motivo_elegibilidad
ret_BVL_PEN_ALICORP,Alicorp,ALICORC1.LM,ACCION_BVL,CONSUMO,PEN,2701,2014-12-02,2026-07-02,91.12359550561798,6.827586206896552,26.79310344827586,3.0,4.0,True,ELEGIBLE
ret_BVL_PEN_INRETAIL_PERU,InRetail Peru,INRETC1.LM,ACCION_BVL,RETAIL,PEN,2572,2014-12-02,2026-07-02,86.51685393258427,11.245256985167298,35.3570196619524,3.0,4.0,True,ELEGIBLE
ret_BVL_PEN_BACKUS,Backus,BACKUSI1.LM,ACCION_BVL,BEBIDAS,PEN,2199,2014-12-02,2026-07-02,71.51685393258427,24.224672639558925,49.72432804962095,3.0,4.0,True,ELEGIBLE
ret_BVL_PEN_FERREYCORP,Ferreycorp,FERREYC1.LM,ACCION_BVL,INDUSTRIA,PEN,2733,2014-12-02,2026-07-02,91.01123595505618,5.724137931034483,29.724137931034484,3.0,4.0,True,ELEGIBLE
ret_BVL_PEN_UNACEM,UNACEM,UNACEMC1.LM,ACCION_BVL,CEMENTO,PEN,2468,2014-12-02,2026-07-02,83.37078651685394,14.920744314266024,40.45485871812543,3.0,4.0,True,ELEGIBLE
ret_BVL_PEN_CEMENTOS_PACASMAYO,Cementos Pacasmayo,CPACASC1.LM,ACCION_BVL_ADR,CEMENTO,PEN,2622,2014-12-03,2026-07-02,89.49438202247191,9.58290244743192,31.575318855567048,3.0,4.0,True,ELEGIBLE
ret_BVL_PEN_SIDERPERU,Siderperu,SIDERC1.LM,ACCION_BVL,ACERO,PEN,2206,2014-12-03,2026-07-02,75.89887640449439,23.975198070961074,45.125732001377884,3.0,4.0,True,ELEGIBLE
ret_BVL_PEN_ACEROS_AREQUIPA,Aceros Arequipa,CORAREI1.LM,ACCION_BVL,ACERO,PEN,2507,2014-12-02,2026-07-02,88.08988764044943,13.57684355616816,43.21157822191592,3.0,4.0,True,ELEGIBLE
ret_BVL_PEN_BUENAVENTURA,Buenaventura,BUENAVC1.LM,ACCION_BVL_ADR,MINERIA,PEN,575,2014-12-02,2026-06-17,22.808988764044944,80.20618556701031,83.33333333333334,3.0,4.0,False,COBERTURA_BAJA|MUCHO_VOLUMEN_CERO|PRECIO_MUY_ESTATICO
ret_BVL_USD_SOUTHERN_COPPER,Southern Copper,SCCO,ACCION_BVL_ADR,MINERIA_COBRE,USD,2912,2014-12-02,2026-07-02,97.19101123595506,0.0,0.6179196704428425,3.0,4.0,True,ELEGIBLE
