factor,instrumento,ticker_elegido,tipo,sector,moneda_modelo,transformacion
ret_BVL_PEN_ALICORP,Alicorp,ALICORC1.LM,ACCION_BVL,CONSUMO,PEN,retorno_local_en_PEN
ret_BVL_PEN_INRETAIL_PERU,InRetail Peru,INRETC1.LM,ACCION_BVL,RETAIL,PEN,retorno_local_en_PEN
ret_BVL_PEN_BACKUS,Backus,BACKUSI1.LM,ACCION_BVL,BEBIDAS,PEN,retorno_local_en_PEN
ret_BVL_PEN_FERREYCORP,Ferreycorp,FERREYC1.LM,ACCION_BVL,INDUSTRIA,PEN,retorno_local_en_PEN
ret_BVL_PEN_UNACEM,UNACEM,UNACEMC1.LM,ACCION_BVL,CEMENTO,PEN,retorno_local_en_PEN
ret_BVL_PEN_CEMENTOS_PACASMAYO,Cementos Pacasmayo,CPACASC1.LM,ACCION_BVL_ADR,CEMENTO,PEN,retorno_local_en_PEN
ret_BVL_PEN_SIDERPERU,Siderperu,SIDERC1.LM,ACCION_BVL,ACERO,PEN,retorno_local_en_PEN
ret_BVL_PEN_ACEROS_AREQUIPA,Aceros Arequipa,CORAREI1.LM,ACCION_BVL,ACERO,PEN,retorno_local_en_PEN
ret_BVL_PEN_BUENAVENTURA,Buenaventura,BUENAVC1.LM,ACCION_BVL_ADR,MINERIA,PEN,retorno_local_en_PEN
ret_BVL_USD_SOUTHERN_COPPER,Southern Copper,SCCO,ACCION_BVL_ADR,MINERIA_COBRE,USD,retorno_en_USD
ret_BVL_PEN_SOUTHERN_COPPER,Southern Copper,SCCO,ACCION_BVL_ADR,MINERIA_COBRE,PEN,retorno_USD_convertido_a_PEN
ret_BVL_PEN_MINSUR,Minsur,MINSURI1.LM,ACCION_BVL,MINERIA,PEN,retorno_local_en_PEN
ret_BVL_PEN_VOLCAN,Volcan,VOLCABC1.LM,ACCION_BVL,MINERIA,PEN,retorno_local_en_PEN
ret_BVL_PEN_NEXA_RESOURCES_PERU,Nexa Resources Peru,NEXAPEC1.LM,ACCION_BVL,MINERIA,PEN,retorno_local_en_PEN
ret_BVL_PEN_CERRO_VERDE,Cerro Verde,CVERDEC1.LM,ACCION_BVL,MINERIA_COBRE,PEN,retorno_local_en_PEN
ret_BVL_USD_CREDICORP,Credicorp,BAP,ACCION_BVL_ADR,FINANCIERO,USD,retorno_en_USD
ret_BVL_PEN_CREDICORP,Credicorp,BAP,ACCION_BVL_ADR,FINANCIERO,PEN,retorno_USD_convertido_a_PEN
ret_BVL_USD_INTERCORP_FINANCIAL_SERVICES,Intercorp Financial Services,IFS,ACCION_BVL_ADR,FINANCIERO,USD,retorno_en_USD
ret_BVL_PEN_INTERCORP_FINANCIAL_SERVICES,Intercorp Financial Services,IFS,ACCION_BVL_ADR,FINANCIERO,PEN,retorno_USD_convertido_a_PEN
ret_BVL_PEN_ENGIE_ENERGIA_PERU,Engie Energia Peru,ENGIEC1.LM,ACCION_BVL,ENERGIA,PEN,retorno_local_en_PEN
ret_BVL_PEN_LUZ_DEL_SUR,Luz del Sur,LUSURC1.LM,ACCION_BVL,ENERGIA_DISTRIBUCION,PEN,retorno_local_en_PEN
ret_BVL_PEN_PLUZ_ENERGIA_PERU,Pluz Energia Peru,ENDISPC1.LM,ACCION_BVL,ENERGIA_DISTRIBUCION,PEN,retorno_local_en_PEN
ret_BVL_PEN_AUSTRAL_GROUP,Austral Group,AUSTRAC1.LM,ACCION_BVL,PESCA,PEN,retorno_local_en_PEN
