afp,paso,accion,factor,instrumento,lag,max_corr_con_canasta,mape_antes_pct,mape_despues_pct,mejora_mape_puntos,p90_despues_pct,aceptado
Habitat,0,CAMPEON_ACTUAL,,,,,,0.5827922723177746,,1.2093667896324984,True
Habitat,1,AGREGAR_BVL,ret_BVL_PEN_MINSUR,Minsur,0.0,0.3247444769162647,0.5827922723177746,0.5575503965377162,0.02524187578005843,1.1731995328222924,True
Habitat,2,AGREGAR_BVL,ret_BVL_PEN_INRETAIL_PERU,InRetail Peru,0.0,0.32505605771163826,0.5575503965377162,0.5432997974382447,0.014250599099471462,1.1511084978092703,True
Habitat,3,AGREGAR_BVL,ret_BVL_PEN_UNACEM,UNACEM,0.0,0.35576926603458486,0.5432997974382447,0.5395056107087417,0.0037941867295030463,1.1581885373301477,True
Habitat,4,AGREGAR_BVL,ret_BVL_PEN_SIDERPERU,Siderperu,0.0,0.3173874713287577,0.5395056107087417,0.537598441239146,0.001907169469595682,1.1518764398708254,False
Integra,0,CAMPEON_ACTUAL,,,,,,0.6366845225895563,,1.2411911537331388,True
Integra,1,AGREGAR_BVL,ret_BVL_PEN_MINSUR,Minsur,0.0,0.3247444769162647,0.6366845225895563,0.6102259216835062,0.026458600906050123,1.1154394241375658,True
Integra,2,AGREGAR_BVL,ret_BVL_PEN_INRETAIL_PERU,InRetail Peru,0.0,0.32505605771163826,0.6102259216835062,0.5891657280040924,0.021060193679413808,1.11414276464352,True
Integra,3,AGREGAR_BVL,ret_BVL_PEN_UNACEM,UNACEM,0.0,0.35576926603458486,0.5891657280040924,0.5830988095447638,0.006066918459328607,1.0882078584290558,True
Integra,4,AGREGAR_BVL,ret_BVL_PEN_ALICORP,Alicorp,0.0,0.4027435098893485,0.5830988095447638,0.579168083458701,0.003930726086062819,1.1152852648194238,True
Integra,5,AGREGAR_BVL,ret_BVL_PEN_CERRO_VERDE,Cerro Verde,0.0,0.27114292150157304,0.579168083458701,0.5776957351657656,0.0014723482929354104,1.114725072105812,False
Prima,0,CAMPEON_ACTUAL,,,,,,0.5774496295748925,,1.2671201625506572,True
Prima,1,AGREGAR_BVL,ret_BVL_PEN_MINSUR,Minsur,0.0,0.3247444769162647,0.5774496295748925,0.5461531431588315,0.03129648641606109,1.1867252774891892,True
Prima,2,AGREGAR_BVL,ret_BVL_PEN_INRETAIL_PERU,InRetail Peru,0.0,0.32505605771163826,0.5461531431588315,0.5262448408726034,0.019908302286228086,1.1514487658025123,True
Prima,3,AGREGAR_BVL,ret_BVL_PEN_ALICORP,Alicorp,0.0,0.38638767827684223,0.5262448408726034,0.5183598158200683,0.007885025052535077,1.144755089613252,True
Prima,4,AGREGAR_BVL,ret_BVL_PEN_UNACEM,UNACEM,0.0,0.4027435098893485,0.5183598158200683,0.5163052225053835,0.002054593314684827,1.1350726337649117,True
Prima,5,AGREGAR_BVL,ret_BVL_PEN_SIDERPERU,Siderperu,0.0,0.3173874713287577,0.5163052225053835,0.5151748183971925,0.0011304041081909855,1.1327409250351965,False
Profuturo,0,CAMPEON_ACTUAL,,,,,,0.6069115068706776,,1.2827009034577321,True
Profuturo,1,AGREGAR_BVL,ret_BVL_PEN_MINSUR,Minsur,0.0,0.3247444769162647,0.6069115068706776,0.5705938984449771,0.03631760842570053,1.2316841718251277,True
Profuturo,2,AGREGAR_BVL,ret_BVL_PEN_INRETAIL_PERU,InRetail Peru,0.0,0.32505605771163826,0.5705938984449771,0.5526455184229188,0.01794838002205834,1.1932886472725104,True
Profuturo,3,AGREGAR_BVL,ret_BVL_PEN_CERRO_VERDE,Cerro Verde,0.0,0.27114292150157304,0.5526455184229188,0.5473525949216548,0.00529292350126398,1.1863906608937063,True
Profuturo,4,AGREGAR_BVL,ret_BVL_PEN_ALICORP,Alicorp,0.0,0.38638767827684223,0.5473525949216548,0.5443120641585649,0.003040530763089855,1.1880928718878723,True
Profuturo,5,AGREGAR_BVL,ret_BVL_PEN_UNACEM,UNACEM,0.0,0.4027435098893485,0.5443120641585649,0.5425741391628405,0.0017379249957244491,1.180649035934869,False
