indice,pais_region,moneda_local,alias_probado,estado,n_precios,fecha_inicio,fecha_fin
S&P 500,Estados Unidos,USD,^GSPC,CORRECTO,2913,2014-12-01,2026-07-02
Nasdaq Composite,Estados Unidos,USD,^IXIC,CORRECTO,2913,2014-12-01,2026-07-02
Nasdaq 100,Estados Unidos,USD,^NDX,CORRECTO,2913,2014-12-01,2026-07-02
Dow Jones Industrial Average,Estados Unidos,USD,^DJI,CORRECTO,2913,2014-12-01,2026-07-02
Russell 2000,Estados Unidos,USD,^RUT,CORRECTO,2913,2014-12-01,2026-07-02
DAX,Alemania,EUR,^GDAXI,CORRECTO,2937,2014-12-01,2026-07-03
MDAX,Alemania,EUR,^MDAXI,CORRECTO,2935,2014-12-01,2026-07-03
CAC 40,Francia,EUR,^FCHI,CORRECTO,2964,2014-12-01,2026-07-03
EURO STOXX 50,Zona euro,EUR,^STOXX50E,CORRECTO,2906,2014-12-01,2026-07-03
STOXX Europe 600,Europa,EUR,^STOXX,CORRECTO,2907,2014-12-01,2026-07-03
FTSE 100,Reino Unido,GBP,^FTSE,CORRECTO,2926,2014-12-01,2026-07-03
SMI,Suiza,CHF,^SSMI,CORRECTO,2896,2014-12-01,2026-07-03
AEX,Países Bajos,EUR,^AEX,CORRECTO,2964,2014-12-01,2026-07-03
IBEX 35,España,EUR,^IBEX,CORRECTO,2962,2014-12-01,2026-07-03
FTSE MIB,Italia,EUR,FTSEMIB.MI,CORRECTO,2940,2014-12-01,2026-07-03
FTSE MIB,Italia,EUR,^FTMIB,HISTORIA_INSUFICIENTE,0,,
Nikkei 225,Japón,JPY,^N225,CORRECTO,2831,2014-12-01,2026-07-03
TOPIX,Japón,JPY,^TOPX,HISTORIA_INSUFICIENTE,0,,
Hang Seng,Hong Kong,HKD,^HSI,CORRECTO,2848,2014-12-01,2026-07-03
Shanghai Composite,China,CNY,000001.SS,CORRECTO,2813,2014-12-01,2026-07-03
CSI 300,China,CNY,000300.SS,CORRECTO,1288,2021-03-11,2026-07-03
Shenzhen Component,China,CNY,399001.SZ,CORRECTO,2812,2014-12-01,2026-07-03
Nifty 50,India,INR,^NSEI,CORRECTO,2852,2014-12-01,2026-07-03
BSE Sensex,India,INR,^BSESN,CORRECTO,2849,2014-12-01,2026-07-03
KOSPI,Corea del Sur,KRW,^KS11,CORRECTO,2840,2014-12-01,2026-07-03
TAIEX,Taiwán,TWD,^TWII,CORRECTO,2815,2014-12-01,2026-07-03
S&P/TSX Composite,Canadá,CAD,^GSPTSE,CORRECTO,2908,2014-12-01,2026-07-03
S&P/ASX 200,Australia,AUD,^AXJO,CORRECTO,2930,2014-12-01,2026-07-03
Bovespa,Brasil,BRL,^BVSP,CORRECTO,2874,2014-12-01,2026-07-03
S&P/BMV IPC,México,MXN,^MXX,CORRECTO,2912,2014-12-01,2026-07-03
S&P MERVAL,Argentina,ARS,^MERV,CORRECTO,2817,2014-12-01,2026-07-03
