indice,pais_region,ticker_elegido,moneda_local,n_precios_originales,cobertura_nivel_alineado_pct,nuevo_cierre_pct,edad_cierre_mediana_dias,edad_cierre_p90_dias,fecha_inicio,fecha_fin
S&P 500,Estados Unidos,^GSPC,USD,2913,100.0,96.93189480782198,0.0,0.0,2014-12-01,2026-07-02
Nasdaq Composite,Estados Unidos,^IXIC,USD,2913,100.0,96.93189480782198,0.0,0.0,2014-12-01,2026-07-02
Nasdaq 100,Estados Unidos,^NDX,USD,2913,100.0,96.93189480782198,0.0,0.0,2014-12-01,2026-07-02
Dow Jones Industrial Average,Estados Unidos,^DJI,USD,2913,100.0,96.93189480782198,0.0,0.0,2014-12-01,2026-07-02
Russell 2000,Estados Unidos,^RUT,USD,2913,100.0,96.93189480782198,0.0,0.0,2014-12-01,2026-07-02
DAX,Alemania,^GDAXI,EUR,2937,100.0,97.77478084962912,0.0,0.0,2014-12-01,2026-07-03
MDAX,Alemania,^MDAXI,EUR,2935,100.0,97.70734996628457,0.0,0.0,2014-12-01,2026-07-03
CAC 40,Francia,^FCHI,EUR,2964,100.0,98.61766689143627,0.0,0.0,2014-12-01,2026-07-03
EURO STOXX 50,Zona euro,^STOXX50E,EUR,2906,100.0,96.79703304113283,0.0,0.0,2014-12-01,2026-07-03
STOXX Europe 600,Europa,^STOXX,EUR,2907,100.0,96.83074848280513,0.0,0.0,2014-12-01,2026-07-03
FTSE 100,Reino Unido,^FTSE,GBP,2926,100.0,97.33648010788941,0.0,0.0,2014-12-01,2026-07-03
SMI,Suiza,^SSMI,CHF,2896,100.0,96.4261631827377,0.0,0.0,2014-12-01,2026-07-03
AEX,Países Bajos,^AEX,EUR,2964,100.0,98.61766689143627,0.0,0.0,2014-12-01,2026-07-03
IBEX 35,España,^IBEX,EUR,2962,100.0,98.5502360080917,0.0,0.0,2014-12-01,2026-07-03
FTSE MIB,Italia,FTSEMIB.MI,EUR,2940,100.0,97.87592717464598,0.0,0.0,2014-12-01,2026-07-03
Nikkei 225,Japón,^N225,JPY,2831,99.96628455832771,93.89750505731625,0.0,0.0,2014-12-01,2026-07-03
Hang Seng,Hong Kong,^HSI,HKD,2848,100.0,94.77410654079569,0.0,0.0,2014-12-01,2026-07-03
Shanghai Composite,China,000001.SS,CNY,2813,99.763991908294,93.5266351989211,0.0,0.0,2014-12-01,2026-07-03
CSI 300,China,000300.SS,CNY,1288,45.78556979096426,96.96561024949428,0.0,0.0,2021-03-11,2026-07-03
Shenzhen Component,China,399001.SZ,CNY,2812,99.763991908294,93.45920431557654,0.0,0.0,2014-12-01,2026-07-03
Nifty 50,India,^NSEI,INR,2852,100.0,94.60552933243426,0.0,0.0,2014-12-01,2026-07-03
BSE Sensex,India,^BSESN,INR,2849,100.0,94.63924477410654,0.0,0.0,2014-12-01,2026-07-03
KOSPI,Corea del Sur,^KS11,KRW,2840,99.96628455832771,94.47066756574512,0.0,0.0,2014-12-01,2026-07-03
TAIEX,Taiwán,^TWII,TWD,2815,99.25826028320971,94.09979770734996,0.0,0.0,2014-12-01,2026-07-03
S&P/TSX Composite,Canadá,^GSPTSE,CAD,2908,100.0,96.76331759946055,0.0,0.0,2014-12-01,2026-07-03
S&P/ASX 200,Australia,^AXJO,AUD,2930,100.0,97.50505731625084,0.0,0.0,2014-12-01,2026-07-03
Bovespa,Brasil,^BVSP,BRL,2874,100.0,95.65070802427512,0.0,0.0,2014-12-01,2026-07-03
S&P/BMV IPC,México,^MXX,MXN,2912,100.0,96.89817936614969,0.0,0.0,2014-12-01,2026-07-03
S&P MERVAL,Argentina,^MERV,ARS,2817,100.0,93.7963587322994,0.0,0.0,2014-12-01,2026-07-03
