afp,orden,factor,lag,origen,es_indice_nativo,indice,pais_region,ticker_elegido,moneda_modelo
Habitat,1,ret_IDX_VIX,0,CAMPEON_PRE_INDICES,False,,,,
Habitat,2,ret_USD_EPU,0,CAMPEON_PRE_INDICES,False,,,,
Habitat,3,ret_USD_VT,0,CAMPEON_PRE_INDICES,False,,,,
Habitat,4,ret_USD_EWG,0,CAMPEON_PRE_INDICES,False,,,,
Habitat,5,ret_USD_XLE,0,CAMPEON_PRE_INDICES,False,,,,
Habitat,6,ret_PEN_REMX,0,CAMPEON_PRE_INDICES,False,,,,
Habitat,7,ret_USD_EFA,0,CAMPEON_PRE_INDICES,False,,,,
Habitat,8,ret_USD_IWM,0,CAMPEON_PRE_INDICES,False,,,,
Habitat,9,ret_IDX_LOCAL_ESTADOS_UNIDOS_DOW_JONES_INDUSTRIAL_AVERAGE,0,INDICE_NATIVO_SUSTITUCION,True,Dow Jones Industrial Average,Estados Unidos,^DJI,USD
Habitat,10,ret_BVL_PEN_MINSUR,0,CAMPEON_PRE_INDICES,False,,,,
Habitat,11,ret_BVL_PEN_INRETAIL_PERU,0,CAMPEON_PRE_INDICES,False,,,,
Habitat,12,ret_BVL_PEN_UNACEM,0,CAMPEON_PRE_INDICES,False,,,,
Habitat,13,ret_IDX_LOCAL_AUSTRALIA_S_P_ASX_200,0,INDICE_NATIVO_ADICION,True,S&P/ASX 200,Australia,^AXJO,AUD
Habitat,14,ret_IDX_LOCAL_JAP_N_NIKKEI_225,0,INDICE_NATIVO_ADICION,True,Nikkei 225,Japón,^N225,JPY
Integra,1,ret_USD_COPX,0,CAMPEON_PRE_INDICES,False,,,,
Integra,2,ret_USD_EPU,0,CAMPEON_PRE_INDICES,False,,,,
Integra,3,ret_USD_SPY,0,CAMPEON_PRE_INDICES,False,,,,
Integra,4,ret_PEN_FCX,1,CAMPEON_PRE_INDICES,False,,,,
Integra,5,ret_IDX_PEN_PA_SES_BAJOS_AEX,0,INDICE_NATIVO_ADICION,True,AEX,Países Bajos,^AEX,PEN
Prima,1,ret_USD_EPU,0,CAMPEON_PRE_INDICES,False,,,,
Prima,2,ret_USD_SPY,0,CAMPEON_PRE_INDICES,False,,,,
Prima,3,ret_USD_VWO,0,CAMPEON_PRE_INDICES,False,,,,
Prima,4,ret_IDX_LOCAL_INDIA_NIFTY_50,0,INDICE_NATIVO_ADICION,True,Nifty 50,India,^NSEI,INR
Prima,5,ret_IDX_LOCAL_COREA_DEL_SUR_KOSPI,0,INDICE_NATIVO_ADICION,True,KOSPI,Corea del Sur,^KS11,KRW
Profuturo,1,ret_USD_COPX,0,CAMPEON_PRE_INDICES,False,,,,
Profuturo,2,ret_USD_EPU,0,CAMPEON_PRE_INDICES,False,,,,
Profuturo,3,ret_USD_SPY,0,CAMPEON_PRE_INDICES,False,,,,
Profuturo,4,ret_PEN_MCHI,0,CAMPEON_PRE_INDICES,False,,,,
Profuturo,5,ret_USD_FCX,1,CAMPEON_PRE_INDICES,False,,,,
Profuturo,6,ret_USD_NEM,0,CAMPEON_PRE_INDICES,False,,,,
