factor,ticker,nombre,categoria,moneda_modelo,transformacion
ret_USD_FUTURO_INDICE_E_MINI_S_P_500,ES=F,E-mini S&P 500,FUTURO_INDICE,USD,retorno_continuo_en_USD
ret_PEN_FUTURO_INDICE_E_MINI_S_P_500,ES=F,E-mini S&P 500,FUTURO_INDICE,PEN,retorno_USD_convertido_a_PEN
ret_USD_FUTURO_INDICE_E_MINI_NASDAQ_100,NQ=F,E-mini Nasdaq 100,FUTURO_INDICE,USD,retorno_continuo_en_USD
ret_PEN_FUTURO_INDICE_E_MINI_NASDAQ_100,NQ=F,E-mini Nasdaq 100,FUTURO_INDICE,PEN,retorno_USD_convertido_a_PEN
ret_USD_FUTURO_INDICE_E_MINI_DOW_JONES,YM=F,E-mini Dow Jones,FUTURO_INDICE,USD,retorno_continuo_en_USD
ret_PEN_FUTURO_INDICE_E_MINI_DOW_JONES,YM=F,E-mini Dow Jones,FUTURO_INDICE,PEN,retorno_USD_convertido_a_PEN
ret_USD_FUTURO_INDICE_E_MINI_RUSSELL_2000,RTY=F,E-mini Russell 2000,FUTURO_INDICE,USD,retorno_continuo_en_USD
ret_PEN_FUTURO_INDICE_E_MINI_RUSSELL_2000,RTY=F,E-mini Russell 2000,FUTURO_INDICE,PEN,retorno_USD_convertido_a_PEN
ret_USD_FUTURO_ENERGIA_PETR_LEO_WTI,CL=F,Petróleo WTI,FUTURO_ENERGIA,USD,retorno_continuo_en_USD
ret_PEN_FUTURO_ENERGIA_PETR_LEO_WTI,CL=F,Petróleo WTI,FUTURO_ENERGIA,PEN,retorno_USD_convertido_a_PEN
ret_USD_FUTURO_ENERGIA_PETR_LEO_BRENT,BZ=F,Petróleo Brent,FUTURO_ENERGIA,USD,retorno_continuo_en_USD
ret_PEN_FUTURO_ENERGIA_PETR_LEO_BRENT,BZ=F,Petróleo Brent,FUTURO_ENERGIA,PEN,retorno_USD_convertido_a_PEN
ret_USD_FUTURO_ENERGIA_GAS_NATURAL,NG=F,Gas natural,FUTURO_ENERGIA,USD,retorno_continuo_en_USD
ret_PEN_FUTURO_ENERGIA_GAS_NATURAL,NG=F,Gas natural,FUTURO_ENERGIA,PEN,retorno_USD_convertido_a_PEN
ret_USD_FUTURO_ENERGIA_GASOLINA_RBOB,RB=F,Gasolina RBOB,FUTURO_ENERGIA,USD,retorno_continuo_en_USD
ret_PEN_FUTURO_ENERGIA_GASOLINA_RBOB,RB=F,Gasolina RBOB,FUTURO_ENERGIA,PEN,retorno_USD_convertido_a_PEN
ret_USD_FUTURO_ENERGIA_HEATING_OIL,HO=F,Heating Oil,FUTURO_ENERGIA,USD,retorno_continuo_en_USD
ret_PEN_FUTURO_ENERGIA_HEATING_OIL,HO=F,Heating Oil,FUTURO_ENERGIA,PEN,retorno_USD_convertido_a_PEN
ret_USD_FUTURO_METAL_ORO,GC=F,Oro,FUTURO_METAL,USD,retorno_continuo_en_USD
ret_PEN_FUTURO_METAL_ORO,GC=F,Oro,FUTURO_METAL,PEN,retorno_USD_convertido_a_PEN
ret_USD_FUTURO_METAL_PLATA,SI=F,Plata,FUTURO_METAL,USD,retorno_continuo_en_USD
ret_PEN_FUTURO_METAL_PLATA,SI=F,Plata,FUTURO_METAL,PEN,retorno_USD_convertido_a_PEN
ret_USD_FUTURO_METAL_COBRE,HG=F,Cobre,FUTURO_METAL,USD,retorno_continuo_en_USD
ret_PEN_FUTURO_METAL_COBRE,HG=F,Cobre,FUTURO_METAL,PEN,retorno_USD_convertido_a_PEN
ret_USD_FUTURO_METAL_PLATINO,PL=F,Platino,FUTURO_METAL,USD,retorno_continuo_en_USD
ret_PEN_FUTURO_METAL_PLATINO,PL=F,Platino,FUTURO_METAL,PEN,retorno_USD_convertido_a_PEN
ret_USD_FUTURO_METAL_PALADIO,PA=F,Paladio,FUTURO_METAL,USD,retorno_continuo_en_USD
ret_PEN_FUTURO_METAL_PALADIO,PA=F,Paladio,FUTURO_METAL,PEN,retorno_USD_convertido_a_PEN
ret_USD_FUTURO_AGRICOLA_MA_Z,ZC=F,Maíz,FUTURO_AGRICOLA,USD,retorno_continuo_en_USD
ret_PEN_FUTURO_AGRICOLA_MA_Z,ZC=F,Maíz,FUTURO_AGRICOLA,PEN,retorno_USD_convertido_a_PEN
ret_USD_FUTURO_AGRICOLA_TRIGO,ZW=F,Trigo,FUTURO_AGRICOLA,USD,retorno_continuo_en_USD
ret_PEN_FUTURO_AGRICOLA_TRIGO,ZW=F,Trigo,FUTURO_AGRICOLA,PEN,retorno_USD_convertido_a_PEN
ret_USD_FUTURO_AGRICOLA_SOYA,ZS=F,Soya,FUTURO_AGRICOLA,USD,retorno_continuo_en_USD
ret_PEN_FUTURO_AGRICOLA_SOYA,ZS=F,Soya,FUTURO_AGRICOLA,PEN,retorno_USD_convertido_a_PEN
ret_USD_FUTURO_BONOS_TREASURY_10_A_OS_FUTURO,ZN=F,Treasury 10 años futuro,FUTURO_BONOS,USD,retorno_continuo_en_USD
ret_PEN_FUTURO_BONOS_TREASURY_10_A_OS_FUTURO,ZN=F,Treasury 10 años futuro,FUTURO_BONOS,PEN,retorno_USD_convertido_a_PEN
ret_USD_FUTURO_BONOS_TREASURY_LARGO_PLAZO_FUTURO,ZB=F,Treasury largo plazo futuro,FUTURO_BONOS,USD,retorno_continuo_en_USD
ret_PEN_FUTURO_BONOS_TREASURY_LARGO_PLAZO_FUTURO,ZB=F,Treasury largo plazo futuro,FUTURO_BONOS,PEN,retorno_USD_convertido_a_PEN
ret_USD_CRIPTO_BITCOIN,BTC-USD,Bitcoin,CRIPTO,USD,retorno_continuo_en_USD
ret_PEN_CRIPTO_BITCOIN,BTC-USD,Bitcoin,CRIPTO,PEN,retorno_USD_convertido_a_PEN
ret_USD_CRIPTO_ETHEREUM,ETH-USD,Ethereum,CRIPTO,USD,retorno_continuo_en_USD
ret_PEN_CRIPTO_ETHEREUM,ETH-USD,Ethereum,CRIPTO,PEN,retorno_USD_convertido_a_PEN
ret_USD_CRIPTO_LITECOIN,LTC-USD,Litecoin,CRIPTO,USD,retorno_continuo_en_USD
ret_PEN_CRIPTO_LITECOIN,LTC-USD,Litecoin,CRIPTO,PEN,retorno_USD_convertido_a_PEN
ret_USD_CRIPTO_XRP,XRP-USD,XRP,CRIPTO,USD,retorno_continuo_en_USD
ret_PEN_CRIPTO_XRP,XRP-USD,XRP,CRIPTO,PEN,retorno_USD_convertido_a_PEN
