afp,orden,factor,lag,origen,es_factor_mod76,ticker,nombre,categoria,moneda_modelo
Habitat,1,ret_IDX_VIX,0,CAMPEON_PRE76,False,,,,
Habitat,2,ret_USD_EPU,0,CAMPEON_PRE76,False,,,,
Habitat,3,ret_USD_VT,0,CAMPEON_PRE76,False,,,,
Habitat,4,ret_USD_EWG,0,CAMPEON_PRE76,False,,,,
Habitat,5,ret_USD_XLE,0,CAMPEON_PRE76,False,,,,
Habitat,6,ret_PEN_REMX,0,CAMPEON_PRE76,False,,,,
Habitat,7,ret_USD_EFA,0,CAMPEON_PRE76,False,,,,
Habitat,8,ret_USD_IWM,0,CAMPEON_PRE76,False,,,,
Habitat,9,ret_IDX_LOCAL_ESTADOS_UNIDOS_DOW_JONES_INDUSTRIAL_AVERAGE,0,CAMPEON_PRE76,False,,,,
Habitat,10,ret_BVL_PEN_MINSUR,0,CAMPEON_PRE76,False,,,,
Habitat,11,ret_BVL_PEN_INRETAIL_PERU,0,CAMPEON_PRE76,False,,,,
Habitat,12,ret_BVL_PEN_UNACEM,0,CAMPEON_PRE76,False,,,,
Habitat,13,ret_IDX_LOCAL_AUSTRALIA_S_P_ASX_200,0,CAMPEON_PRE76,False,,,,
Habitat,14,ret_IDX_LOCAL_JAP_N_NIKKEI_225,0,CAMPEON_PRE76,False,,,,
Habitat,15,ret_USD_FUTURO_ENERGIA_PETR_LEO_BRENT,0,MOD76_ADICION,True,BZ=F,Petróleo Brent,FUTURO_ENERGIA,USD
Habitat,16,ret_USD_CRIPTO_BITCOIN,1,MOD76_ADICION,True,BTC-USD,Bitcoin,CRIPTO,USD
Integra,1,ret_USD_COPX,0,CAMPEON_PRE76,False,,,,
Integra,2,ret_USD_EPU,0,CAMPEON_PRE76,False,,,,
Integra,3,ret_USD_SPY,0,CAMPEON_PRE76,False,,,,
Integra,4,ret_PEN_FCX,1,CAMPEON_PRE76,False,,,,
Integra,5,ret_USD_CRIPTO_BITCOIN,1,MOD76_ADICION,True,BTC-USD,Bitcoin,CRIPTO,USD
Integra,6,ret_USD_FUTURO_ENERGIA_HEATING_OIL,0,MOD76_ADICION,True,HO=F,Heating Oil,FUTURO_ENERGIA,USD
Prima,1,ret_USD_EPU,0,CAMPEON_PRE76,False,,,,
Prima,2,ret_USD_SPY,0,CAMPEON_PRE76,False,,,,
Prima,3,ret_USD_VWO,0,CAMPEON_PRE76,False,,,,
Prima,4,ret_USD_FUTURO_AGRICOLA_SOYA,0,MOD76_ADICION,True,ZS=F,Soya,FUTURO_AGRICOLA,USD
Prima,5,ret_USD_FUTURO_ENERGIA_HEATING_OIL,0,MOD76_ADICION,True,HO=F,Heating Oil,FUTURO_ENERGIA,USD
Profuturo,1,ret_USD_COPX,0,CAMPEON_PRE76,False,,,,
Profuturo,2,ret_USD_EPU,0,CAMPEON_PRE76,False,,,,
Profuturo,3,ret_USD_SPY,0,CAMPEON_PRE76,False,,,,
Profuturo,4,ret_PEN_MCHI,0,CAMPEON_PRE76,False,,,,
Profuturo,5,ret_USD_FCX,1,CAMPEON_PRE76,False,,,,
Profuturo,6,ret_USD_NEM,0,CAMPEON_PRE76,False,,,,
Profuturo,7,ret_USD_FUTURO_ENERGIA_HEATING_OIL,0,MOD76_ADICION,True,HO=F,Heating Oil,FUTURO_ENERGIA,USD
