afp,tipo_modelo,factor,lag,origen,coeficiente_estandarizado,abs_coeficiente
Habitat,CAMPEON_PRE76,ret_USD_VT,0,CAMPEON_PRE76,0.0034430093042445505,0.0034430093042445505
Habitat,CAMPEON_PRE76,ret_USD_EFA,0,CAMPEON_PRE76,-0.0020993715887907636,0.0020993715887907636
Habitat,CAMPEON_PRE76,ret_USD_EPU,0,CAMPEON_PRE76,0.0020858654662465888,0.0020858654662465888
Habitat,CAMPEON_PRE76,ret_BVL_PEN_INRETAIL_PERU,0,CAMPEON_PRE76,0.0010412884246494025,0.0010412884246494025
Habitat,CAMPEON_PRE76,ret_BVL_PEN_MINSUR,0,CAMPEON_PRE76,0.0010330387382242892,0.0010330387382242892
Habitat,CAMPEON_PRE76,ret_USD_XLE,0,CAMPEON_PRE76,0.0006422755696623096,0.0006422755696623096
Habitat,CAMPEON_PRE76,ret_IDX_LOCAL_ESTADOS_UNIDOS_DOW_JONES_INDUSTRIAL_AVERAGE,0,CAMPEON_PRE76,-0.0005719533865184046,0.0005719533865184046
Habitat,CAMPEON_PRE76,ret_IDX_LOCAL_JAP_N_NIKKEI_225,0,CAMPEON_PRE76,0.0004027866588663402,0.0004027866588663402
Habitat,CAMPEON_PRE76,ret_IDX_VIX,0,CAMPEON_PRE76,-0.00030210667929497857,0.00030210667929497857
Habitat,CAMPEON_PRE76,ret_USD_IWM,0,CAMPEON_PRE76,-0.00026624148426034923,0.00026624148426034923
Habitat,CAMPEON_PRE76,ret_PEN_REMX,0,CAMPEON_PRE76,-0.00023197263526156638,0.00023197263526156638
Habitat,CAMPEON_PRE76,ret_USD_EWG,0,CAMPEON_PRE76,0.00011087557382960762,0.00011087557382960762
Habitat,CAMPEON_PRE76,ret_BVL_PEN_UNACEM,0,CAMPEON_PRE76,1.012794503592252e-05,1.012794503592252e-05
Habitat,CAMPEON_PRE76,ret_IDX_LOCAL_AUSTRALIA_S_P_ASX_200,0,CAMPEON_PRE76,-7.000949821290857e-06,7.000949821290857e-06
Habitat,CAMPEON_CON_MOD76,ret_USD_VT,0,CAMPEON_PRE76,0.0032811239662265423,0.0032811239662265423
Habitat,CAMPEON_CON_MOD76,ret_USD_EFA,0,CAMPEON_PRE76,-0.002078496051215284,0.002078496051215284
Habitat,CAMPEON_CON_MOD76,ret_USD_EPU,0,CAMPEON_PRE76,0.002062267562321958,0.002062267562321958
Habitat,CAMPEON_CON_MOD76,ret_BVL_PEN_INRETAIL_PERU,0,CAMPEON_PRE76,0.0010571367760243207,0.0010571367760243207
Habitat,CAMPEON_CON_MOD76,ret_BVL_PEN_MINSUR,0,CAMPEON_PRE76,0.0010562434434285505,0.0010562434434285505
Habitat,CAMPEON_CON_MOD76,ret_USD_FUTURO_ENERGIA_PETR_LEO_BRENT,0,MOD76_ADICION,0.0004723206949361838,0.0004723206949361838
Habitat,CAMPEON_CON_MOD76,ret_IDX_VIX,0,CAMPEON_PRE76,-0.00036954597646973074,0.00036954597646973074
Habitat,CAMPEON_CON_MOD76,ret_IDX_LOCAL_JAP_N_NIKKEI_225,0,CAMPEON_PRE76,0.00034952875091836047,0.00034952875091836047
Habitat,CAMPEON_CON_MOD76,ret_IDX_LOCAL_ESTADOS_UNIDOS_DOW_JONES_INDUSTRIAL_AVERAGE,0,CAMPEON_PRE76,-0.00034714337100041925,0.00034714337100041925
Habitat,CAMPEON_CON_MOD76,ret_USD_XLE,0,CAMPEON_PRE76,0.00028523080769343625,0.00028523080769343625
Habitat,CAMPEON_CON_MOD76,ret_PEN_REMX,0,CAMPEON_PRE76,-0.0002718674076159847,0.0002718674076159847
Habitat,CAMPEON_CON_MOD76,ret_USD_IWM,0,CAMPEON_PRE76,-0.0002274414186647976,0.0002274414186647976
Habitat,CAMPEON_CON_MOD76,ret_USD_EWG,0,CAMPEON_PRE76,0.00018279584156388713,0.00018279584156388713
Habitat,CAMPEON_CON_MOD76,ret_BVL_PEN_UNACEM,0,CAMPEON_PRE76,7.54929746956727e-05,7.54929746956727e-05
Habitat,CAMPEON_CON_MOD76,ret_USD_CRIPTO_BITCOIN,1,MOD76_ADICION,1.8019505346895824e-05,1.8019505346895824e-05
Habitat,CAMPEON_CON_MOD76,ret_IDX_LOCAL_AUSTRALIA_S_P_ASX_200,0,CAMPEON_PRE76,-2.9596105830282697e-06,2.9596105830282697e-06
Integra,CAMPEON_PRE76,ret_USD_EPU,0,CAMPEON_PRE76,0.002028182937580024,0.002028182937580024
Integra,CAMPEON_PRE76,ret_USD_SPY,0,CAMPEON_PRE76,0.0010362316558686392,0.0010362316558686392
Integra,CAMPEON_PRE76,ret_PEN_FCX,1,CAMPEON_PRE76,0.0004443125828700379,0.0004443125828700379
Integra,CAMPEON_PRE76,ret_USD_COPX,0,CAMPEON_PRE76,0.0004383866587290948,0.0004383866587290948
Integra,CAMPEON_CON_MOD76,ret_USD_EPU,0,CAMPEON_PRE76,0.0019519041761760715,0.0019519041761760715
Integra,CAMPEON_CON_MOD76,ret_USD_SPY,0,CAMPEON_PRE76,0.001027094807928811,0.001027094807928811
Integra,CAMPEON_CON_MOD76,ret_USD_COPX,0,CAMPEON_PRE76,0.0004147095277577256,0.0004147095277577256
Integra,CAMPEON_CON_MOD76,ret_USD_CRIPTO_BITCOIN,1,MOD76_ADICION,0.000391890412861641,0.000391890412861641
Integra,CAMPEON_CON_MOD76,ret_PEN_FCX,1,CAMPEON_PRE76,0.0003353646462416859,0.0003353646462416859
Integra,CAMPEON_CON_MOD76,ret_USD_FUTURO_ENERGIA_HEATING_OIL,0,MOD76_ADICION,0.0002789368602541387,0.0002789368602541387
Prima,CAMPEON_PRE76,ret_USD_EPU,0,CAMPEON_PRE76,0.0018913152221434048,0.0018913152221434048
Prima,CAMPEON_PRE76,ret_USD_VWO,0,CAMPEON_PRE76,0.0010319356089756755,0.0010319356089756755
Prima,CAMPEON_PRE76,ret_USD_SPY,0,CAMPEON_PRE76,0.0006290746580842403,0.0006290746580842403
Prima,CAMPEON_CON_MOD76,ret_USD_EPU,0,CAMPEON_PRE76,0.0018327190977678002,0.0018327190977678002
Prima,CAMPEON_CON_MOD76,ret_USD_VWO,0,CAMPEON_PRE76,0.0010019343450993067,0.0010019343450993067
Prima,CAMPEON_CON_MOD76,ret_USD_SPY,0,CAMPEON_PRE76,0.0006265169035991276,0.0006265169035991276
Prima,CAMPEON_CON_MOD76,ret_USD_FUTURO_ENERGIA_HEATING_OIL,0,MOD76_ADICION,0.00022876386283335567,0.00022876386283335567
Prima,CAMPEON_CON_MOD76,ret_USD_FUTURO_AGRICOLA_SOYA,0,MOD76_ADICION,0.00014199003635444502,0.00014199003635444502
Profuturo,CAMPEON_PRE76,ret_USD_EPU,0,CAMPEON_PRE76,0.002244394352771117,0.002244394352771117
Profuturo,CAMPEON_PRE76,ret_USD_SPY,0,CAMPEON_PRE76,0.0010789332109562952,0.0010789332109562952
Profuturo,CAMPEON_PRE76,ret_USD_FCX,1,CAMPEON_PRE76,0.0005610869696225338,0.0005610869696225338
Profuturo,CAMPEON_PRE76,ret_USD_NEM,0,CAMPEON_PRE76,-0.0004328466639906746,0.0004328466639906746
Profuturo,CAMPEON_PRE76,ret_PEN_MCHI,0,CAMPEON_PRE76,0.0003467454927723199,0.0003467454927723199
Profuturo,CAMPEON_PRE76,ret_USD_COPX,0,CAMPEON_PRE76,0.0002466330651670541,0.0002466330651670541
Profuturo,CAMPEON_CON_MOD76,ret_USD_EPU,0,CAMPEON_PRE76,0.002167762651060459,0.002167762651060459
Profuturo,CAMPEON_CON_MOD76,ret_USD_SPY,0,CAMPEON_PRE76,0.0010580835853498912,0.0010580835853498912
Profuturo,CAMPEON_CON_MOD76,ret_USD_FCX,1,CAMPEON_PRE76,0.0005464622779111384,0.0005464622779111384
Profuturo,CAMPEON_CON_MOD76,ret_USD_NEM,0,CAMPEON_PRE76,-0.000410031822977771,0.000410031822977771
Profuturo,CAMPEON_CON_MOD76,ret_PEN_MCHI,0,CAMPEON_PRE76,0.0003478713160126284,0.0003478713160126284
Profuturo,CAMPEON_CON_MOD76,ret_USD_COPX,0,CAMPEON_PRE76,0.00024372253475331786,0.00024372253475331786
Profuturo,CAMPEON_CON_MOD76,ret_USD_FUTURO_ENERGIA_HEATING_OIL,0,MOD76_ADICION,0.0002164657432335385,0.0002164657432335385
