afp,paso,accion,ticker,nombre,categoria,factor_entra,factor_sale,mape_antes_pct,mape_despues_pct,mejora_mape_puntos,p90_despues_pct,aceptado
Habitat,0,CAMPEON_PRE76,,,,,,,0.5125223398840926,,1.1325154754147844,True
Habitat,1,AGREGAR,BZ=F,Petróleo Brent,FUTURO_ENERGIA,ret_USD_FUTURO_ENERGIA_PETR_LEO_BRENT,,0.5125223398840926,0.5024156645710579,0.010106675313034663,1.0984762465454272,True
Habitat,2,AGREGAR,BTC-USD,Bitcoin,CRIPTO,ret_USD_CRIPTO_BITCOIN,,0.5024156645710579,0.4989384848729065,0.0034771796981514225,1.0964255437461852,True
Habitat,3,AGREGAR,PA=F,Paladio,FUTURO_METAL,ret_USD_FUTURO_METAL_PALADIO,,0.4989384848729065,0.49775189413384363,0.0011865907390628538,1.0650098066998106,False
Integra,0,CAMPEON_PRE76,,,,,,,0.6366845225895563,,1.2411911537331388,True
Integra,1,AGREGAR,BTC-USD,Bitcoin,CRIPTO,ret_USD_CRIPTO_BITCOIN,,0.6366845225895563,0.6279554466630848,0.008729075926471541,1.2230477592888807,True
Integra,2,AGREGAR,HO=F,Heating Oil,FUTURO_ENERGIA,ret_USD_FUTURO_ENERGIA_HEATING_OIL,,0.6279554466630848,0.6229751118747631,0.004980334788321716,1.195828249829461,True
Integra,3,AGREGAR,ZS=F,Soya,FUTURO_AGRICOLA,ret_USD_FUTURO_AGRICOLA_SOYA,,0.6229751118747631,0.6225733846666242,0.0004017272081389134,1.1961181558948086,False
Prima,0,CAMPEON_PRE76,,,,,,,0.5774496295748925,,1.2671201625506572,True
Prima,1,AGREGAR,ZS=F,Soya,FUTURO_AGRICOLA,ret_USD_FUTURO_AGRICOLA_SOYA,,0.5774496295748925,0.5735006613477948,0.003948968227097782,1.2545730880034478,True
Prima,2,AGREGAR,HO=F,Heating Oil,FUTURO_ENERGIA,ret_USD_FUTURO_ENERGIA_HEATING_OIL,,0.5735006613477948,0.5706809231912695,0.0028197381565252533,1.2401593624355076,True
Prima,3,SUSTITUIR,ES=F,E-mini S&P 500,FUTURO_INDICE,ret_USD_FUTURO_INDICE_E_MINI_S_P_500,ret_USD_SPY,0.5706809231912695,0.5689380572636672,0.0017428659276023106,1.2332855864332557,False
Profuturo,0,CAMPEON_PRE76,,,,,,,0.6069115068706776,,1.2827009034577321,True
Profuturo,1,AGREGAR,HO=F,Heating Oil,FUTURO_ENERGIA,ret_USD_FUTURO_ENERGIA_HEATING_OIL,,0.6069115068706776,0.6046958506313058,0.0022156562393718104,1.2527750545473169,True
Profuturo,2,SUSTITUIR,ES=F,E-mini S&P 500,FUTURO_INDICE,ret_USD_FUTURO_INDICE_E_MINI_S_P_500,ret_USD_SPY,0.6046958506313058,0.6040521935090846,0.0006436571222212528,1.2539990656330904,False
