afp,paso,accion,factor_retirado,n_factores_antes,n_factores_despues,mape_antes_pct,mape_despues_pct,cambio_mape_puntos,p90_despues_pct,direccion_despues_pct,aceptado
Habitat,0,CANASTA_EVIDENCIA,,14,14,,0.5125223398840916,,1.1325154754147844,76.39123102866779,True
Habitat,1,RETIRAR,ret_USD_IWM,14,13,0.5125223398840916,0.5103319100765222,-0.0021904298075693385,1.1522791564743684,76.72849915682967,True
Habitat,2,RETIRAR,ret_IDX_LOCAL_ESTADOS_UNIDOS_DOW_JONES_INDUSTRIAL_AVERAGE,13,12,0.5103319100765222,0.5106540197359883,0.0003221096594661077,1.1530386243944881,76.72849915682967,True
Habitat,3,RETIRAR,ret_IDX_VIX,12,11,0.5106540197359883,0.5111675358542793,0.0005135161182909798,1.1417117882552754,76.72849915682967,True
Habitat,4,RETIRAR,ret_USD_EWG,11,10,0.5111675358542793,0.5117741618928408,0.0006066260385614308,1.1475330334845797,76.55986509274874,True
Habitat,5,RETIRAR,ret_BVL_PEN_UNACEM,10,9,0.5117741618928408,0.5126346540538961,0.0008604921610553262,1.1323929551391794,76.72849915682967,True
Integra,0,CANASTA_EVIDENCIA,,4,4,,0.6366845225895563,,1.2411911537331388,66.94772344013491,True
Integra,1,SIN_RETIROS,,4,4,0.6366845225895563,0.6366845225895563,0.0,1.2411911537331388,66.94772344013491,False
Prima,0,CANASTA_EVIDENCIA,,3,3,,0.5774496295748925,,1.2671201625506572,69.30860033726813,True
Prima,1,SIN_RETIROS,,3,3,0.5774496295748925,0.5774496295748925,0.0,1.2671201625506572,69.30860033726813,False
Profuturo,0,CANASTA_EVIDENCIA,,6,6,,0.6069115068706779,,1.2827009034577321,68.8026981450253,True
Profuturo,1,RETIRAR,ret_USD_COPX,6,5,0.6069115068706779,0.6075649611162328,0.000653454245554963,1.3000432708825518,68.97133220910624,True
