afp,orden,factor,lag,ticker,nombre,categoria,moneda_modelo,fuente_catalogo,familia,alpha,half_life
Habitat,1,ret_USD_EPU,0,EPU,Perú ETF,PAISES,USD,M69,EW_RIDGE,0.001,60.0
Habitat,2,ret_USD_VT,0,VT,Total World Stock ETF,RV_GLOBAL,USD,M69,EW_RIDGE,0.001,60.0
Habitat,3,ret_USD_XLE,0,XLE,Energía USA,SECTORES,USD,M69,EW_RIDGE,0.001,60.0
Habitat,4,ret_PEN_REMX,0,REMX,Tierras raras ETF,MINERIA_MATERIALES,PEN,M69,EW_RIDGE,0.001,60.0
Habitat,5,ret_USD_EFA,0,EFA,Mercados desarrollados fuera de USA,RV_DESARROLLADOS,USD,M69,EW_RIDGE,0.001,60.0
Habitat,6,ret_BVL_PEN_MINSUR,0,MINSURI1.LM,Minsur,ACCION_BVL,PEN,M72,EW_RIDGE,0.001,60.0
Habitat,7,ret_BVL_PEN_INRETAIL_PERU,0,INRETC1.LM,InRetail Peru,ACCION_BVL,PEN,M72,EW_RIDGE,0.001,60.0
Habitat,8,ret_IDX_LOCAL_AUSTRALIA_S_P_ASX_200,0,^AXJO,S&P/ASX 200,Australia,AUD,M74,EW_RIDGE,0.001,60.0
Habitat,9,ret_IDX_LOCAL_JAP_N_NIKKEI_225,0,^N225,Nikkei 225,Japón,JPY,M74,EW_RIDGE,0.001,60.0
Integra,1,ret_USD_COPX,0,COPX,Minera de cobre ETF,MINERIA_MATERIALES,USD,M69,EW_RIDGE,0.001,500.0
Integra,2,ret_USD_EPU,0,EPU,Perú ETF,PAISES,USD,M69,EW_RIDGE,0.001,500.0
Integra,3,ret_USD_SPY,0,SPY,S&P 500 ETF,RV_GLOBAL_USA,USD,M69,EW_RIDGE,0.001,500.0
Integra,4,ret_PEN_FCX,1,FCX,Freeport-McMoRan,ACCIONES_MINERAS,PEN,M69,EW_RIDGE,0.001,500.0
Prima,1,ret_USD_EPU,0,EPU,Perú ETF,PAISES,USD,M69,EW_RIDGE,0.001,500.0
Prima,2,ret_USD_SPY,0,SPY,S&P 500 ETF,RV_GLOBAL_USA,USD,M69,EW_RIDGE,0.001,500.0
Prima,3,ret_USD_VWO,0,VWO,Mercados emergentes Vanguard,RV_EMERGENTES,USD,M69,EW_RIDGE,0.001,500.0
Profuturo,1,ret_USD_EPU,0,EPU,Perú ETF,PAISES,USD,M69,EW_RIDGE,0.001,500.0
Profuturo,2,ret_USD_SPY,0,SPY,S&P 500 ETF,RV_GLOBAL_USA,USD,M69,EW_RIDGE,0.001,500.0
Profuturo,3,ret_PEN_MCHI,0,MCHI,China ETF,PAISES,PEN,M69,EW_RIDGE,0.001,500.0
Profuturo,4,ret_USD_FCX,1,FCX,Freeport-McMoRan,ACCIONES_MINERAS,USD,M69,EW_RIDGE,0.001,500.0
Profuturo,5,ret_USD_NEM,0,NEM,Newmont,ACCIONES_MINERAS,USD,M69,EW_RIDGE,0.001,500.0
