afp,factor,lag,coeficiente_estandarizado,abs_coeficiente
Habitat,ret_USD_VT,0,0.007569906770885076,0.007569906770885076
Habitat,ret_USD_EPU,0,0.0028691952699660076,0.0028691952699660076
Habitat,ret_USD_EFA,0,-0.0019708261249502487,0.0019708261249502487
Habitat,ret_PEN_REMX,0,0.0014640081399758724,0.0014640081399758724
Habitat,ret_BVL_PEN_INRETAIL_PERU,0,0.0012557703639716382,0.0012557703639716382
Habitat,ret_USD_XLE,0,-0.0012386907199569608,0.0012386907199569608
Habitat,ret_BVL_PEN_MINSUR,0,0.0010185580878807785,0.0010185580878807785
Habitat,ret_IDX_LOCAL_JAP_N_NIKKEI_225,0,0.0005217582577244714,0.0005217582577244714
Habitat,ret_IDX_LOCAL_AUSTRALIA_S_P_ASX_200,0,-0.0004173215467453052,0.0004173215467453052
Integra,ret_USD_EPU,0,0.0033817380633031154,0.0033817380633031154
Integra,ret_USD_SPY,0,0.0014142698083000433,0.0014142698083000433
Integra,ret_USD_COPX,0,0.0012852486255152805,0.0012852486255152805
Integra,ret_PEN_FCX,1,0.00020619594265620155,0.00020619594265620155
Prima,ret_USD_EPU,0,0.0037986901638605236,0.0037986901638605236
Prima,ret_USD_VWO,0,0.0015105807843242367,0.0015105807843242367
Prima,ret_USD_SPY,0,0.0011483507543826393,0.0011483507543826393
Profuturo,ret_USD_EPU,0,0.0043724951569675255,0.0043724951569675255
Profuturo,ret_USD_SPY,0,0.0013049703540939704,0.0013049703540939704
Profuturo,ret_USD_NEM,0,0.0008616394732150024,0.0008616394732150024
Profuturo,ret_USD_FCX,1,0.00027894881435582344,0.00027894881435582344
Profuturo,ret_PEN_MCHI,0,-6.93709345095799e-05,6.93709345095799e-05
