ticker,estado,n_precios,fecha_inicio,fecha_fin
COPX,CORRECTO,26,2026-06-04,2026-07-13
EFA,CORRECTO,26,2026-06-04,2026-07-13
EPU,CORRECTO,26,2026-06-04,2026-07-13
FCX,CORRECTO,26,2026-06-04,2026-07-13
INRETC1.LM,CORRECTO,25,2026-06-04,2026-07-10
MCHI,CORRECTO,26,2026-06-04,2026-07-13
MINSURI1.LM,CORRECTO,25,2026-06-04,2026-07-10
NEM,CORRECTO,26,2026-06-04,2026-07-13
PEN=X,CORRECTO,28,2026-06-04,2026-07-13
REMX,CORRECTO,26,2026-06-04,2026-07-13
SPY,CORRECTO,26,2026-06-04,2026-07-13
VT,CORRECTO,26,2026-06-04,2026-07-13
VWO,CORRECTO,26,2026-06-04,2026-07-13
XLE,CORRECTO,26,2026-06-04,2026-07-13
^AXJO,CORRECTO,26,2026-06-04,2026-07-10
^N225,CORRECTO,27,2026-06-04,2026-07-10
