afp,orden,factor,ticker,nombre,lag,variable_modelo,media_entrenamiento,desviacion_entrenamiento,coeficiente_estandarizado,coeficiente_raw,intercepto_estandarizado,intercepto_raw,familia,alpha,half_life,fecha_ancla,cuota_ancla
Habitat,1,ret_USD_EPU,EPU,Perú ETF,0,ret_USD_EPU__lag0,0.0005611711145029193,0.014633364001715813,0.00409661316803041,0.2799501992535734,0.0006668506682375296,0.0002134269913683983,EW_RIDGE,0.001,60,2026-07-06,33.3286403
Habitat,2,ret_USD_VT,VT,Total World Stock ETF,0,ret_USD_VT__lag0,0.0004719524837665506,0.01058112399599224,0.0047933125999982335,0.45300599461964275,0.0006668506682375296,0.0002134269913683983,EW_RIDGE,0.001,60,2026-07-06,33.3286403
Habitat,3,ret_USD_XLE,XLE,Energía USA,0,ret_USD_XLE__lag0,0.0004278771369879183,0.018074439362802744,-0.0009887912719401023,-0.05470660816041897,0.0006668506682375296,0.0002134269913683983,EW_RIDGE,0.001,60,2026-07-06,33.3286403
Habitat,4,ret_PEN_REMX,REMX,Tierras raras ETF,0,ret_PEN_REMX__lag0,0.0005410152751151114,0.025820564387962437,-0.00010691699673817438,-0.004140769161034263,0.0006668506682375296,0.0002134269913683983,EW_RIDGE,0.001,60,2026-07-06,33.3286403
Habitat,5,ret_USD_EFA,EFA,Mercados desarrollados fuera de USA,0,ret_USD_EFA__lag0,0.00036718749238717486,0.010709302268749351,-0.00015168053785322944,-0.014163437920306542,0.0006668506682375296,0.0002134269913683983,EW_RIDGE,0.001,60,2026-07-06,33.3286403
Habitat,6,ret_BVL_PEN_MINSUR,MINSURI1.LM,Minsur,0,ret_BVL_PEN_MINSUR__lag0,0.0008402941946323433,0.02290502486112261,0.001498944326564778,0.06544172449727315,0.0006668506682375296,0.0002134269913683983,EW_RIDGE,0.001,60,2026-07-06,33.3286403
Habitat,7,ret_BVL_PEN_INRETAIL_PERU,INRETC1.LM,InRetail Peru,0,ret_BVL_PEN_INRETAIL_PERU__lag0,0.000350913102473909,0.013825842364797709,0.00019566827488977267,0.014152358295937766,0.0006668506682375296,0.0002134269913683983,EW_RIDGE,0.001,60,2026-07-06,33.3286403
Habitat,8,ret_IDX_LOCAL_AUSTRALIA_S_P_ASX_200,^AXJO,S&P/ASX 200,0,ret_IDX_LOCAL_AUSTRALIA_S_P_ASX_200__lag0,0.0002075176029057387,0.009361661572897516,-0.0010862148352729216,-0.11602799639943924,0.0006668506682375296,0.0002134269913683983,EW_RIDGE,0.001,60,2026-07-06,33.3286403
Habitat,9,ret_IDX_LOCAL_JAP_N_NIKKEI_225,^N225,Nikkei 225,0,ret_IDX_LOCAL_JAP_N_NIKKEI_225__lag0,0.0005589965318301733,0.013202409767667343,0.0018303110965015236,0.13863462267198745,0.0006668506682375296,0.0002134269913683983,EW_RIDGE,0.001,60,2026-07-06,33.3286403
Integra,1,ret_USD_COPX,COPX,Minera de cobre ETF,0,ret_USD_COPX__lag0,0.0007629667219132149,0.02273134261686598,0.0007094582513430208,0.031210574021114962,0.0002822674769647455,3.69668580270294e-05,EW_RIDGE,0.001,500,2026-07-06,71.2425063
