ticker,intervalo,periodo,n_puntos,ultima_actualizacion,estado
COPX,5m,5d,390,2026-07-02 14:55:00,CORRECTO
EFA,5m,5d,390,2026-07-02 14:55:00,CORRECTO
EPU,5m,5d,196,2026-07-02 14:45:00,CORRECTO
FCX,5m,5d,390,2026-07-02 14:55:00,CORRECTO
INRETC1.LM,5m,5d,4,2026-07-02 08:30:00,CORRECTO
MCHI,5m,5d,390,2026-07-02 14:55:00,CORRECTO
MINSURI1.LM,5m,5d,4,2026-07-02 08:30:00,CORRECTO
NEM,5m,5d,390,2026-07-02 14:55:00,CORRECTO
PEN=X,5m,5d,143,2026-07-03 15:25:00,CORRECTO
REMX,5m,5d,389,2026-07-02 14:55:00,CORRECTO
SPY,5m,5d,390,2026-07-02 14:55:00,CORRECTO
VT,5m,5d,390,2026-07-02 14:55:00,CORRECTO
VWO,5m,5d,390,2026-07-02 14:55:00,CORRECTO
XLE,5m,5d,390,2026-07-02 14:55:00,CORRECTO
^AXJO,5m,5d,375,2026-07-03 01:10:00,CORRECTO
^N225,5m,5d,340,2026-07-03 01:25:00,CORRECTO
