anio,mes,archivo,hoja,fila_excel_aprox,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37
2026,1,CA-0001-en2026.XLS,1,1,CARTERA POR TIPO DE INSTRUMENTO Y SECTOR DEL EMISOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,1,CA-0001-en2026.XLS,1,2,(En miles de Soles),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,1,CA-0001-en2026.XLS,1,3,Al 30-01-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,1,CA-0001-en2026.XLS,1,4,,HA00,,HA01,,HA02,,HA03,,IN00,,IN01,,IN02,,IN03,,PR00,,PR01,,PR02,,PR03,,RI00,,RI01,,RI02,,RI03,,TOTAL,,,
2026,1,CA-0001-en2026.XLS,1,5,,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,,
2026,1,CA-0001-en2026.XLS,1,6,I. NACIONAL,270067.4291518772,1.0029909409208464,948261.435945237,0.5678575981739283,8265683.12110366,0.6301491299106337,2459047.5226194947,0.49316728847439095,2850543.23658124,0.9999106957891641,4078797.5943567967,0.524268181009849,16217215.975425167,0.5991029007655682,1426668.187488894,0.4198993257141979,1793096.8659652262,0.9998573740581508,2901947.4392450233,0.6024000327823936,7780230.382157088,0.5967909441650838,1713918.970853257,0.4816282911660295,2067642.437940699,1.0039589521736483,3479036.9086993104,0.512300012588176,12746834.061147703,0.5819895769573847,1381031.793079397,0.45844108371812126,70380023.36176015,0.5958795206378077,,
2026,1,CA-0001-en2026.XLS,1,7,1. Gobierno,0,,457333.92978509044,0.2738701976974664,3790337.6417572354,0.2889631663864134,495580.3823458773,0.09938971538145278,0,,2204588.3584003504,0.28336672801149454,7213143.414171917,0.2664708387442655,0,,0,,1482503.404052926,0.3077450980414149,2654679.1727121724,0.20363002277819875,137012.61863793002,0.03850190966141012,0,,1929044.9201191852,0.28405842271724785,5055014.125025027,0.23079970430493169,149988.1455045,0.04978938813322535,25569226.112512216,0.2164844151967395,,
2026,1,CA-0001-en2026.XLS,1,8,BONOS GOBIERNO CENTRAL DE LA REPUBLICA,0,,457333.92978509044,0.2738701976974664,3790337.6417572354,0.2889631663864134,495580.3823458773,0.09938971538145278,0,,2196376.0216852245,0.2823111554482871,7178712.192258429,0.26519886672659415,0,,0,,1482503.404052926,0.3077450980414149,2654679.1727121724,0.20363002277819875,137012.61863793002,0.03850190966141012,0,,1929044.9201191852,0.28405842271724785,5049040.496874947,0.23052696290865335,149988.1455045,0.04978938813322535,25520608.92573352,0.21607279291290565,,
2026,1,CA-0001-en2026.XLS,1,9,VAL REP DER CRED SOBRE DEUDA GOB CEN-GDN,0,,0,,0,,0,,0,,8212.336715126,0.0010555725632074306,34431.221913488,0.0012719720176713526,0,,0,,0,,0,,0,,0,,0,,5973.62815008,0.0002727413962783444,0,,48617.186778694006,0.0004116222838338436,,
2026,1,CA-0001-en2026.XLS,1,10,2. Sistema Financiero,256584.82735194516,0.952918529346291,159339.1191052917,0.09541875904727382,1700288.2790262487,0.12962451668272737,297990.8757681878,0.05976271334364376,2840925.5817951546,0.9965370244953556,361960.95676689304,0.046524645563023666,2534157.1547184032,0.09361785060322657,244701.08924294505,0.0720208267596506,1731461.6831805245,0.9654886831198995,171641.3785239606,0.03563013259693946,873102.9732677449,0.06697230315503004,268246.8790950771,0.07538004315621989,1948795.5689143941,0.9462519831603774,320097.52237095765,0.04713544841391011,2409425.308007142,0.11000852517501399,265282.3697523196,0.08806193868237248,16384001.56688719,0.1387167911215891,,
