archivo,fecha_cartera,hoja,filas_excel,columnas_excel,fila_codigos,fila_inicio_datos,afp_detectadas,numero_afp_detectadas,filas_extraidas,filas_detalle_no_control,duplicados_adyacentes
CA-0001-en2026.XLS,2026-01-30,1,51,35,4,6,Habitat | Integra | Prima | Profuturo,4,36,16,6
CA-0001-en2026.XLS,2026-01-30,1-A,17,35,4,6,Habitat | Integra | Prima | Profuturo,4,12,9,0
CA-0001-en2026.XLS,2026-01-30,2,116,37,4,6,Habitat | Integra | Prima | Profuturo,4,31,25,6
CA-0001-en2026.XLS,2026-01-30,3,716,35,4,6,Habitat | Integra | Prima | Profuturo,4,433,266,397
CA-0001-en2026.XLS,2026-01-30,6,238,37,4,6,Habitat | Prima | Profuturo,3,30,30,14
CA-0001-en2026.XLS,2026-01-30,7,234,18,3,4,Habitat | Prima | Profuturo,3,16,16,0
CA-0001-en2026.XLS,2026-01-30,9,51,16,3,4,Habitat | Integra | Prima | Profuturo,4,19,19,2
CA-0001-en2026.XLS,2026-01-30,10,642,30,4,6,Habitat | Integra | Prima | Profuturo,4,371,366,234
CA-0001-en2026.XLS,2026-01-30,11,20,27,4,6,Habitat | Integra | Prima | Profuturo,4,9,1,7
CA-0001-en2026.XLS,2026-01-30,13,57,27,4,6,Habitat | Integra | Prima | Profuturo,4,34,26,8
