fecha_cartera,anio,mes,archivo,hoja,fila_excel_aprox,descriptor,tipo_identificacion,es_control_o_subtotal,meta_1,meta_2,meta_3,meta_4,meta_5,meta_6,meta_7,vector_fondo3,duplicado_vector_adyacente,meta_8,meta_9,meta_10,meta_11,afp,fondo,valor,participacion_reportada,prioridad_identificacion,valor_abs,ranking_hoja_afp
2026-01-30,2026,1,CA-0001-en2026.XLS,1,51,TOTAL | 269262.08217187703 | 1 | 1669893.013661491 | 1 | 13117026.9524547 | 1,entidad_fondo_o_instrumento,False,TOTAL,269262.08217187703,1,1669893.013661491,1,13117026.9524547,1,4986234.04286716|3397643.43527417|3012452.07318405|3558592.80339166,False,,,,,Habitat,3,4986234.042867157,1.0,3,4986234.042867157,1
2026-01-30,2026,1,CA-0001-en2026.XLS,1,19,ACCIONES DEL CAPITAL SOCIAL | 0 | 54935.5216301396 | 0.03289762947728324 | 987147.741362485 | 0.07525697285982566,entidad_fondo_o_instrumento,False,ACCIONES DEL CAPITAL SOCIAL,0,,54935.5216301396,0.03289762947728324,987147.741362485,0.07525697285982566,823859.47426193|435494.58663114|284991.68929746|241251.36882716,False,,,,,Habitat,3,823859.4742619318,0.16522679585016045,3,823859.4742619318,2
2026-01-30,2026,1,CA-0001-en2026.XLS,1,48,FONDOS MUTUOS ALTERNATIVOS DEL EXTRANJERO | 0 | 0 | 2485570.5760325505 | 0.18949191650226846,entidad_fondo_o_instrumento,False,FONDOS MUTUOS ALTERNATIVOS DEL EXTRANJERO,0,,0,,2485570.5760325505,0.18949191650226846,548015.89343116|495004.37695002|226447.11455318|436562.70652,False,,,,,Habitat,3,548015.8934311592,0.10990577031078186,3,548015.8934311592,3
2026-01-30,2026,1,CA-0001-en2026.XLS,1,21,ACCIONES DEL TRABAJO | 0 | 16255.63834 | 0.009734538803990247 | 341879.68455 | 0.02606380895527711,entidad_fondo_o_instrumento,False,ACCIONES DEL TRABAJO,0,,16255.63834,0.009734538803990247,341879.68455,0.02606380895527711,319422.58357|206036.203342|214812.10111|179050.14472,False,,,,,Habitat,3,319422.58357,0.06406088860328092,3,319422.58357,4
2026-01-30,2026,1,CA-0001-en2026.XLS,1,22,VALOR REP.DERECHO SOBRE ACC. EMP.NAC. | 0 | 5934.6951560064 | 0.0035539373525455328 | 548852.6059484924 | 0.041842759638896755,entidad_fondo_o_instrumento,False,VALOR REP.DERECHO SOBRE ACC. EMP.NAC.,0,,5934.6951560064,0.0035539373525455328,548852.6059484924,0.041842759638896755,292233.35083515|203142.91998225|220305.99206087|60217.97515449,False,,,,,Habitat,3,292233.3508351452,0.058608029290800556,3,292233.3508351452,5
2026-01-30,2026,1,CA-0001-en2026.XLS,1,11,ACCIONES DEL CAPITAL SOCIAL | 0 | 9484.21841712 | 0.005679536556850686 | 792661.2615580246 | 0.060429948374062556,entidad_fondo_o_instrumento,False,ACCIONES DEL CAPITAL SOCIAL,0,,9484.21841712,0.005679536556850686,792661.2615580246,0.060429948374062556,242055.52338295|222961.6303391|250546.43532128|208164.02821572,False,,,,,Habitat,3,242055.5233829518,0.04854475768725978,3,242055.5233829518,6
2026-01-30,2026,1,CA-0001-en2026.XLS,1,20,ACCIONES DEL EXTRANJERO - LIMITE LOCAL | 0 | 3775.7044293120002 | 0.002261045706774473 | 199303.7783215526 | 0.01519427985045462,entidad_fondo_o_instrumento,False,ACCIONES DEL EXTRANJERO - LIMITE LOCAL,0,,3775.7044293120002,0.002261045706774473,199303.7783215526,0.01519427985045462,153454.19828432|157601.68933543|86722.21929218|365466.73112774,False,,,,,Habitat,3,153454.1982843212,0.030775570694247398,3,153454.1982843212,7
2026-01-30,2026,1,CA-0001-en2026.XLS,1,29,FONDO DE INVERSION TRADICIONAL | 13482.601799932 | 0.05007241157455546 | 66380.8513467186 | 0.03975155941347921 | 170463.9519075796 | 0.01299562412469384,entidad_fondo_o_instrumento,False,FONDO DE INVERSION TRADICIONAL,13482.601799932,0.05007241157455546,66380.8513467186,0.03975155941347921,170463.9519075796,0.01299562412469384,75342.96858696|19509.933|166.8340484|0.0,False,,,,,Habitat,3,75342.9685869638,0.015110194976656272,3,75342.9685869638,8
2026-01-30,2026,1,CA-0001-en2026.XLS,1,15,DEPOSITOS A PLAZO | 230541.198864 | 0.8561963014043675 | 5245.04 | 0.0031409437353710845 | 390093.76 | 0.02973949519307792,entidad_fondo_o_instrumento,False,DEPOSITOS A PLAZO,230541.198864,0.8561963014043675,5245.04,0.0031409437353710845,390093.76,0.02973949519307792,51978.88|18156.0|14557.6|59087.2,False,,,,,Habitat,3,51978.88,0.01042447657954527,3,51978.88,9
2026-01-30,2026,1,CA-0001-en2026.XLS,1,14,CUENTAS CORRIENTES | 1294.90575 | 0.004809090606279379 | 1005.1048639200001 | 0.0006018977597350125 | 10358.76527808 | 0.0007897189901055647,entidad_fondo_o_instrumento,False,CUENTAS CORRIENTES,1294.90575,0.004809090606279379,1005.1048639200001,0.0006018977597350125,10358.76527808,0.0007897189901055647,1036.92138272|3583.45890384|178.33443104|995.65087936,False,,,,,Habitat,3,1036.9213827199999,0.00020795682148200075,3,1036.9213827199999,10
2026-01-30,2026,1,CA-0001-en2026.XLS,1,35,TITULOS CON DERECHO CREDITICIO | 0 | 55015.4895252086 | 0.03294551751227397 | 240967.4068308492 | 0.018370581055012238,entidad_fondo_o_instrumento,False,TITULOS CON DERECHO CREDITICIO,0,,55015.4895252086,0.03294551751227397,240967.4068308492,0.018370581055012238,375.27531487|0.0|0.0|30.3997837,False,,,,,Habitat,3,375.2753148686,7.526227442240381e-05,3,375.2753148686,11
2026-01-30,2026,1,CA-0001-en2026.XLS,1,51,TOTAL | 269262.08217187703 | 1 | 1669893.013661491 | 1 | 13117026.9524547 | 1,entidad_fondo_o_instrumento,False,TOTAL,269262.08217187703,1,1669893.013661491,1,13117026.9524547,1,4986234.04286716|3397643.43527417|3012452.07318405|3558592.80339166,False,,,,,Integra,3,3397643.435274168,1.0,3,3397643.435274168,1
2026-01-30,2026,1,CA-0001-en2026.XLS,1,48,FONDOS MUTUOS ALTERNATIVOS DEL EXTRANJERO | 0 | 0 | 2485570.5760325505 | 0.18949191650226846,entidad_fondo_o_instrumento,False,FONDOS MUTUOS ALTERNATIVOS DEL EXTRANJERO,0,,0,,2485570.5760325505,0.18949191650226846,548015.89343116|495004.37695002|226447.11455318|436562.70652,False,,,,,Integra,3,495004.37695001514,0.1456905017786457,3,495004.37695001514,2
2026-01-30,2026,1,CA-0001-en2026.XLS,1,19,ACCIONES DEL CAPITAL SOCIAL | 0 | 54935.5216301396 | 0.03289762947728324 | 987147.741362485 | 0.07525697285982566,entidad_fondo_o_instrumento,False,ACCIONES DEL CAPITAL SOCIAL,0,,54935.5216301396,0.03289762947728324,987147.741362485,0.07525697285982566,823859.47426193|435494.58663114|284991.68929746|241251.36882716,False,,,,,Integra,3,435494.5866311401,0.12817548248584787,3,435494.5866311401,3
2026-01-30,2026,1,CA-0001-en2026.XLS,1,11,ACCIONES DEL CAPITAL SOCIAL | 0 | 9484.21841712 | 0.005679536556850686 | 792661.2615580246 | 0.060429948374062556,entidad_fondo_o_instrumento,False,ACCIONES DEL CAPITAL SOCIAL,0,,9484.21841712,0.005679536556850686,792661.2615580246,0.060429948374062556,242055.52338295|222961.6303391|250546.43532128|208164.02821572,False,,,,,Integra,3,222961.630339105,0.06562243348561189,3,222961.630339105,4
2026-01-30,2026,1,CA-0001-en2026.XLS,1,21,ACCIONES DEL TRABAJO | 0 | 16255.63834 | 0.009734538803990247 | 341879.68455 | 0.02606380895527711,entidad_fondo_o_instrumento,False,ACCIONES DEL TRABAJO,0,,16255.63834,0.009734538803990247,341879.68455,0.02606380895527711,319422.58357|206036.203342|214812.10111|179050.14472,False,,,,,Integra,3,206036.20334199996,0.06064091399437098,3,206036.20334199996,5
2026-01-30,2026,1,CA-0001-en2026.XLS,1,22,VALOR REP.DERECHO SOBRE ACC. EMP.NAC. | 0 | 5934.6951560064 | 0.0035539373525455328 | 548852.6059484924 | 0.041842759638896755,entidad_fondo_o_instrumento,False,VALOR REP.DERECHO SOBRE ACC. EMP.NAC.,0,,5934.6951560064,0.0035539373525455328,548852.6059484924,0.041842759638896755,292233.35083515|203142.91998225|220305.99206087|60217.97515449,False,,,,,Integra,3,203142.91998224877,0.05978935808072999,3,203142.91998224877,6
2026-01-30,2026,1,CA-0001-en2026.XLS,1,20,ACCIONES DEL EXTRANJERO - LIMITE LOCAL | 0 | 3775.7044293120002 | 0.002261045706774473 | 199303.7783215526 | 0.01519427985045462,entidad_fondo_o_instrumento,False,ACCIONES DEL EXTRANJERO - LIMITE LOCAL,0,,3775.7044293120002,0.002261045706774473,199303.7783215526,0.01519427985045462,153454.19828432|157601.68933543|86722.21929218|365466.73112774,False,,,,,Integra,3,157601.6893354304,0.046385588228363625,3,157601.6893354304,7
2026-01-30,2026,1,CA-0001-en2026.XLS,1,30,FONDO DE INVERSION ALTERNATIVO | 0 | 0 | 37144.58635888 | 0.0028317839471945906,entidad_fondo_o_instrumento,False,FONDO DE INVERSION ALTERNATIVO,0,,0,,37144.58635888,0.0028317839471945906,0.0|99215.21678695|73020.51267028|58629.51195568,False,,,,,Integra,3,99215.2167869456,0.029201185667953874,3,99215.2167869456,8
2026-01-30,2026,1,CA-0001-en2026.XLS,1,27,FONDOS MUTUOS DEL EXT - ETF DEL MERCADO LOCAL | 0 | 0 | 0,etf_o_fondo_identificado,False,FONDOS MUTUOS DEL EXT - ETF DEL MERCADO LOCAL,0,,0,,0,,0.0|33334.827152|0.0|277315.778352,False,,,,,Integra,3,33334.827152,0.0098111611141768,4,33334.827152,9
2026-01-30,2026,1,CA-0001-en2026.XLS,1,38,TIT. DEUDA EMITIDOS POR ESTADOS DEL EXTRANJER | 0 | 230885.2821638756 | 0.1382635176475318 | 0,entidad_fondo_o_instrumento,False,TIT. DEUDA EMITIDOS POR ESTADOS DEL EXTRANJER,0,,230885.2821638756,0.1382635176475318,0,,0.0|32198.5261908|3869.2309935|28502.14812767,True,,,,,Integra,3,32198.5261908,0.0094767231477313,3,32198.5261908,10
2026-01-30,2026,1,CA-0001-en2026.XLS,1,29,FONDO DE INVERSION TRADICIONAL | 13482.601799932 | 0.05007241157455546 | 66380.8513467186 | 0.03975155941347921 | 170463.9519075796 | 0.01299562412469384,entidad_fondo_o_instrumento,False,FONDO DE INVERSION TRADICIONAL,13482.601799932,0.05007241157455546,66380.8513467186,0.03975155941347921,170463.9519075796,0.01299562412469384,75342.96858696|19509.933|166.8340484|0.0,False,,,,,Integra,3,19509.933,0.005742195545727026,3,19509.933,11
2026-01-30,2026,1,CA-0001-en2026.XLS,1,15,DEPOSITOS A PLAZO | 230541.198864 | 0.8561963014043675 | 5245.04 | 0.0031409437353710845 | 390093.76 | 0.02973949519307792,entidad_fondo_o_instrumento,False,DEPOSITOS A PLAZO,230541.198864,0.8561963014043675,5245.04,0.0031409437353710845,390093.76,0.02973949519307792,51978.88|18156.0|14557.6|59087.2,False,,,,,Integra,3,18156.0,0.005343703759937048,3,18156.0,12
2026-01-30,2026,1,CA-0001-en2026.XLS,1,14,CUENTAS CORRIENTES | 1294.90575 | 0.004809090606279379 | 1005.1048639200001 | 0.0006018977597350125 | 10358.76527808 | 0.0007897189901055647,entidad_fondo_o_instrumento,False,CUENTAS CORRIENTES,1294.90575,0.004809090606279379,1005.1048639200001,0.0006018977597350125,10358.76527808,0.0007897189901055647,1036.92138272|3583.45890384|178.33443104|995.65087936,False,,,,,Integra,3,3583.4589038400004,0.001054689514101658,3,3583.4589038400004,13
2026-01-30,2026,1,CA-0001-en2026.XLS,1,51,TOTAL | 269262.08217187703 | 1 | 1669893.013661491 | 1 | 13117026.9524547 | 1,entidad_fondo_o_instrumento,False,TOTAL,269262.08217187703,1,1669893.013661491,1,13117026.9524547,1,4986234.04286716|3397643.43527417|3012452.07318405|3558592.80339166,False,,,,,Prima,3,3012452.073184049,1.0,3,3012452.073184049,1
2026-01-30,2026,1,CA-0001-en2026.XLS,1,19,ACCIONES DEL CAPITAL SOCIAL | 0 | 54935.5216301396 | 0.03289762947728324 | 987147.741362485 | 0.07525697285982566,entidad_fondo_o_instrumento,False,ACCIONES DEL CAPITAL SOCIAL,0,,54935.5216301396,0.03289762947728324,987147.741362485,0.07525697285982566,823859.47426193|435494.58663114|284991.68929746|241251.36882716,False,,,,,Prima,3,284991.68929745595,0.09460455548301237,3,284991.68929745595,2
2026-01-30,2026,1,CA-0001-en2026.XLS,1,11,ACCIONES DEL CAPITAL SOCIAL | 0 | 9484.21841712 | 0.005679536556850686 | 792661.2615580246 | 0.060429948374062556,entidad_fondo_o_instrumento,False,ACCIONES DEL CAPITAL SOCIAL,0,,9484.21841712,0.005679536556850686,792661.2615580246,0.060429948374062556,242055.52338295|222961.6303391|250546.43532128|208164.02821572,False,,,,,Prima,3,250546.43532127963,0.08317026436754607,3,250546.43532127963,3
2026-01-30,2026,1,CA-0001-en2026.XLS,1,48,FONDOS MUTUOS ALTERNATIVOS DEL EXTRANJERO | 0 | 0 | 2485570.5760325505 | 0.18949191650226846,entidad_fondo_o_instrumento,False,FONDOS MUTUOS ALTERNATIVOS DEL EXTRANJERO,0,,0,,2485570.5760325505,0.18949191650226846,548015.89343116|495004.37695002|226447.11455318|436562.70652,False,,,,,Prima,3,226447.1145531848,0.07517036256574819,3,226447.1145531848,4
2026-01-30,2026,1,CA-0001-en2026.XLS,1,22,VALOR REP.DERECHO SOBRE ACC. EMP.NAC. | 0 | 5934.6951560064 | 0.0035539373525455328 | 548852.6059484924 | 0.041842759638896755,entidad_fondo_o_instrumento,False,VALOR REP.DERECHO SOBRE ACC. EMP.NAC.,0,,5934.6951560064,0.0035539373525455328,548852.6059484924,0.041842759638896755,292233.35083515|203142.91998225|220305.99206087|60217.97515449,False,,,,,Prima,3,220305.99206087037,0.07313178324792904,3,220305.99206087037,5
2026-01-30,2026,1,CA-0001-en2026.XLS,1,21,ACCIONES DEL TRABAJO | 0 | 16255.63834 | 0.009734538803990247 | 341879.68455 | 0.02606380895527711,entidad_fondo_o_instrumento,False,ACCIONES DEL TRABAJO,0,,16255.63834,0.009734538803990247,341879.68455,0.02606380895527711,319422.58357|206036.203342|214812.10111|179050.14472,False,,,,,Prima,3,214812.10111000002,0.07130805599272212,3,214812.10111000002,6
2026-01-30,2026,1,CA-0001-en2026.XLS,1,20,ACCIONES DEL EXTRANJERO - LIMITE LOCAL | 0 | 3775.7044293120002 | 0.002261045706774473 | 199303.7783215526 | 0.01519427985045462,entidad_fondo_o_instrumento,False,ACCIONES DEL EXTRANJERO - LIMITE LOCAL,0,,3775.7044293120002,0.002261045706774473,199303.7783215526,0.01519427985045462,153454.19828432|157601.68933543|86722.21929218|365466.73112774,False,,,,,Prima,3,86722.21929217759,0.028787916682277856,3,86722.21929217759,7
2026-01-30,2026,1,CA-0001-en2026.XLS,1,30,FONDO DE INVERSION ALTERNATIVO | 0 | 0 | 37144.58635888 | 0.0028317839471945906,entidad_fondo_o_instrumento,False,FONDO DE INVERSION ALTERNATIVO,0,,0,,37144.58635888,0.0028317839471945906,0.0|99215.21678695|73020.51267028|58629.51195568,False,,,,,Prima,3,73020.51267028319,0.024239559965215728,3,73020.51267028319,8
2026-01-30,2026,1,CA-0001-en2026.XLS,1,24,BONO PARA NUEVOS PROYECTOS | 0 | 0 | 0,entidad_fondo_o_instrumento,False,BONO PARA NUEVOS PROYECTOS,0,,0,,0,,0.0|0.0|40979.33390688|7658.40620614,False,,,,,Prima,3,40979.333906880296,0.013603314811766175,3,40979.333906880296,9
2026-01-30,2026,1,CA-0001-en2026.XLS,1,15,DEPOSITOS A PLAZO | 230541.198864 | 0.8561963014043675 | 5245.04 | 0.0031409437353710845 | 390093.76 | 0.02973949519307792,entidad_fondo_o_instrumento,False,DEPOSITOS A PLAZO,230541.198864,0.8561963014043675,5245.04,0.0031409437353710845,390093.76,0.02973949519307792,51978.88|18156.0|14557.6|59087.2,False,,,,,Prima,3,14557.6,0.004832475221626734,3,14557.6,10
2026-01-30,2026,1,CA-0001-en2026.XLS,1,38,TIT. DEUDA EMITIDOS POR ESTADOS DEL EXTRANJER | 0 | 230885.2821638756 | 0.1382635176475318 | 0,entidad_fondo_o_instrumento,False,TIT. DEUDA EMITIDOS POR ESTADOS DEL EXTRANJER,0,,230885.2821638756,0.1382635176475318,0,,0.0|32198.5261908|3869.2309935|28502.14812767,True,,,,,Prima,3,3869.2309935,0.001284412465161767,3,3869.2309935,11
2026-01-30,2026,1,CA-0001-en2026.XLS,1,14,CUENTAS CORRIENTES | 1294.90575 | 0.004809090606279379 | 1005.1048639200001 | 0.0006018977597350125 | 10358.76527808 | 0.0007897189901055647,entidad_fondo_o_instrumento,False,CUENTAS CORRIENTES,1294.90575,0.004809090606279379,1005.1048639200001,0.0006018977597350125,10358.76527808,0.0007897189901055647,1036.92138272|3583.45890384|178.33443104|995.65087936,False,,,,,Prima,3,178.33443104000003,5.919909319968274e-05,3,178.33443104000003,12
2026-01-30,2026,1,CA-0001-en2026.XLS,1,29,FONDO DE INVERSION TRADICIONAL | 13482.601799932 | 0.05007241157455546 | 66380.8513467186 | 0.03975155941347921 | 170463.9519075796 | 0.01299562412469384,entidad_fondo_o_instrumento,False,FONDO DE INVERSION TRADICIONAL,13482.601799932,0.05007241157455546,66380.8513467186,0.03975155941347921,170463.9519075796,0.01299562412469384,75342.96858696|19509.933|166.8340484|0.0,False,,,,,Prima,3,166.8340484,5.538147806071572e-05,3,166.8340484,13
2026-01-30,2026,1,CA-0001-en2026.XLS,1,51,TOTAL | 269262.08217187703 | 1 | 1669893.013661491 | 1 | 13117026.9524547 | 1,entidad_fondo_o_instrumento,False,TOTAL,269262.08217187703,1,1669893.013661491,1,13117026.9524547,1,4986234.04286716|3397643.43527417|3012452.07318405|3558592.80339166,False,,,,,Profuturo,3,3558592.803391663,1.0,3,3558592.803391663,1
2026-01-30,2026,1,CA-0001-en2026.XLS,1,48,FONDOS MUTUOS ALTERNATIVOS DEL EXTRANJERO | 0 | 0 | 2485570.5760325505 | 0.18949191650226846,entidad_fondo_o_instrumento,False,FONDOS MUTUOS ALTERNATIVOS DEL EXTRANJERO,0,,0,,2485570.5760325505,0.18949191650226846,548015.89343116|495004.37695002|226447.11455318|436562.70652,False,,,,,Profuturo,3,436562.7065199954,0.1226784660790387,3,436562.7065199954,2
2026-01-30,2026,1,CA-0001-en2026.XLS,1,20,ACCIONES DEL EXTRANJERO - LIMITE LOCAL | 0 | 3775.7044293120002 | 0.002261045706774473 | 199303.7783215526 | 0.01519427985045462,entidad_fondo_o_instrumento,False,ACCIONES DEL EXTRANJERO - LIMITE LOCAL,0,,3775.7044293120002,0.002261045706774473,199303.7783215526,0.01519427985045462,153454.19828432|157601.68933543|86722.21929218|365466.73112774,False,,,,,Profuturo,3,365466.73112773825,0.10269978930419214,3,365466.73112773825,3
2026-01-30,2026,1,CA-0001-en2026.XLS,1,27,FONDOS MUTUOS DEL EXT - ETF DEL MERCADO LOCAL | 0 | 0 | 0,etf_o_fondo_identificado,False,FONDOS MUTUOS DEL EXT - ETF DEL MERCADO LOCAL,0,,0,,0,,0.0|33334.827152|0.0|277315.778352,False,,,,,Profuturo,3,277315.778352,0.07792849411927456,4,277315.778352,4
2026-01-30,2026,1,CA-0001-en2026.XLS,1,19,ACCIONES DEL CAPITAL SOCIAL | 0 | 54935.5216301396 | 0.03289762947728324 | 987147.741362485 | 0.07525697285982566,entidad_fondo_o_instrumento,False,ACCIONES DEL CAPITAL SOCIAL,0,,54935.5216301396,0.03289762947728324,987147.741362485,0.07525697285982566,823859.47426193|435494.58663114|284991.68929746|241251.36882716,False,,,,,Profuturo,3,241251.3688271562,0.06779403605751737,3,241251.3688271562,5
2026-01-30,2026,1,CA-0001-en2026.XLS,1,11,ACCIONES DEL CAPITAL SOCIAL | 0 | 9484.21841712 | 0.005679536556850686 | 792661.2615580246 | 0.060429948374062556,entidad_fondo_o_instrumento,False,ACCIONES DEL CAPITAL SOCIAL,0,,9484.21841712,0.005679536556850686,792661.2615580246,0.060429948374062556,242055.52338295|222961.6303391|250546.43532128|208164.02821572,False,,,,,Profuturo,3,208164.02821571712,0.058496163994182705,3,208164.02821571712,6
2026-01-30,2026,1,CA-0001-en2026.XLS,1,21,ACCIONES DEL TRABAJO | 0 | 16255.63834 | 0.009734538803990247 | 341879.68455 | 0.02606380895527711,entidad_fondo_o_instrumento,False,ACCIONES DEL TRABAJO,0,,16255.63834,0.009734538803990247,341879.68455,0.02606380895527711,319422.58357|206036.203342|214812.10111|179050.14472,False,,,,,Profuturo,3,179050.14472,0.05031487293217389,3,179050.14472,7
2026-01-30,2026,1,CA-0001-en2026.XLS,1,34,TITULOS CON DERECHO DE PARTICIPACION | 0 | 0 | 0,entidad_fondo_o_instrumento,False,TITULOS CON DERECHO DE PARTICIPACION,0,,0,,0,,0.0|0.0|0.0|104144.412742,False,,,,,Profuturo,3,104144.412742,0.029265616634401352,3,104144.412742,8
2026-01-30,2026,1,CA-0001-en2026.XLS,1,22,VALOR REP.DERECHO SOBRE ACC. EMP.NAC. | 0 | 5934.6951560064 | 0.0035539373525455328 | 548852.6059484924 | 0.041842759638896755,entidad_fondo_o_instrumento,False,VALOR REP.DERECHO SOBRE ACC. EMP.NAC.,0,,5934.6951560064,0.0035539373525455328,548852.6059484924,0.041842759638896755,292233.35083515|203142.91998225|220305.99206087|60217.97515449,False,,,,,Profuturo,3,60217.975154492306,0.016921850428376937,3,60217.975154492306,9
2026-01-30,2026,1,CA-0001-en2026.XLS,1,15,DEPOSITOS A PLAZO | 230541.198864 | 0.8561963014043675 | 5245.04 | 0.0031409437353710845 | 390093.76 | 0.02973949519307792,entidad_fondo_o_instrumento,False,DEPOSITOS A PLAZO,230541.198864,0.8561963014043675,5245.04,0.0031409437353710845,390093.76,0.02973949519307792,51978.88|18156.0|14557.6|59087.2,False,,,,,Profuturo,3,59087.2,0.016604091354224207,3,59087.2,10
2026-01-30,2026,1,CA-0001-en2026.XLS,1,30,FONDO DE INVERSION ALTERNATIVO | 0 | 0 | 37144.58635888 | 0.0028317839471945906,entidad_fondo_o_instrumento,False,FONDO DE INVERSION ALTERNATIVO,0,,0,,37144.58635888,0.0028317839471945906,0.0|99215.21678695|73020.51267028|58629.51195568,False,,,,,Profuturo,3,58629.5119556792,0.016475476457941444,3,58629.5119556792,11
2026-01-30,2026,1,CA-0001-en2026.XLS,1,38,TIT. DEUDA EMITIDOS POR ESTADOS DEL EXTRANJER | 0 | 230885.2821638756 | 0.1382635176475318 | 0,entidad_fondo_o_instrumento,False,TIT. DEUDA EMITIDOS POR ESTADOS DEL EXTRANJER,0,,230885.2821638756,0.1382635176475318,0,,0.0|32198.5261908|3869.2309935|28502.14812767,True,,,,,Profuturo,3,28502.1481276732,0.008009387334372188,3,28502.1481276732,12
2026-01-30,2026,1,CA-0001-en2026.XLS,1,24,BONO PARA NUEVOS PROYECTOS | 0 | 0 | 0,entidad_fondo_o_instrumento,False,BONO PARA NUEVOS PROYECTOS,0,,0,,0,,0.0|0.0|40979.33390688|7658.40620614,False,,,,,Profuturo,3,7658.4062061438,0.0021520883757322955,3,7658.4062061438,13
