escenario,variante_confianza,periodo,fecha_cartera,afp,factor_modelo,peso_exterior,peso_total_fondo,identificadores,error_cobertura_pct,factor_reescala,estado_cobertura,peso_exterior_pct,peso_total_fondo_pct
ampliado_15pct,alta,2015-01,2015-01-30,Habitat,ACWI,0.17779232735952322,0.1123097807719432,2,1.0733118300255473,1.0108495679970746,estricto,17.77923273595232,11.23097807719432
ampliado_15pct,alta,2015-01,2015-01-30,Habitat,EEM,0.0797036846915732,0.0503480858109549,3,1.0733118300255473,1.0108495679970746,estricto,7.97036846915732,5.03480858109549
ampliado_15pct,alta,2015-01,2015-01-30,Habitat,EWJ,0.0517483918470396,0.0326889839958571,1,1.0733118300255473,1.0108495679970746,estricto,5.17483918470396,3.2688983995857104
ampliado_15pct,alta,2015-01,2015-01-30,Habitat,MCHI,0.0124309836312022,0.0078525382232989,1,1.0733118300255473,1.0108495679970746,estricto,1.24309836312022,0.7852538223298899
ampliado_15pct,alta,2015-01,2015-01-30,Habitat,PESO_EXCLUIDO_POR_CONFIANZA,0.1488561260372583,0.0940310480777883,11,1.0733118300255473,1.0108495679970746,estricto,14.885612603725832,9.40310480777883
ampliado_15pct,alta,2015-01,2015-01-30,Habitat,RESIDUAL_NO_MAPEADO,0.1521298524802464,0.0960990310137214,8,1.0733118300255473,1.0108495679970746,estricto,15.21298524802464,9.60990310137214
ampliado_15pct,alta,2015-01,2015-01-30,Habitat,SPY,0.302117770192382,0.19084502150085209,5,1.0733118300255473,1.0108495679970746,estricto,30.211777019238202,19.084502150085207
ampliado_15pct,alta,2015-01,2015-01-30,Habitat,VGK,0.0427265438604457,0.0269899654578791,3,1.0733118300255473,1.0108495679970746,estricto,4.27265438604457,2.69899654578791
ampliado_15pct,alta,2015-01,2015-01-30,Habitat,XLB,0.0011290649797391,0.0007132199810589,1,1.0733118300255473,1.0108495679970746,estricto,0.11290649797390999,0.07132199810589
ampliado_15pct,alta,2015-01,2015-01-30,Habitat,XLE,0.0006564540726312,0.0004146760103712,1,1.0733118300255473,1.0108495679970746,estricto,0.06564540726312,0.04146760103712
ampliado_15pct,alta,2015-01,2015-01-30,Habitat,XLF,0.0051522299143342,0.0032546163310828,1,1.0733118300255473,1.0108495679970746,estricto,0.51522299143342,0.32546163310828
ampliado_15pct,alta,2015-01,2015-01-30,Habitat,XLI,0.0036334417333645,0.0022952117820957,1,1.0733118300255473,1.0108495679970746,estricto,0.36334417333645,0.22952117820957
ampliado_15pct,alta,2015-01,2015-01-30,Habitat,XLK,0.0069844635777909,0.0044120215134205,1,1.0733118300255473,1.0108495679970746,estricto,0.69844635777909,0.44120215134205
ampliado_15pct,alta,2015-01,2015-01-30,Habitat,XLP,0.0035137727025823,0.0022196179541058,1,1.0733118300255473,1.0108495679970746,estricto,0.35137727025823,0.22196179541058
ampliado_15pct,alta,2015-01,2015-01-30,Habitat,XLY,0.0114248929198851,0.0072169999584996,1,1.0733118300255473,1.0108495679970746,estricto,1.14248929198851,0.72169999584996
ampliado_15pct,alta,2015-01,2015-01-30,Integra,EEM,0.036040998292505004,0.0215277818290625,3,3.189733428657837,1.0329482971344497,operativo,3.6040998292505004,2.15277818290625
ampliado_15pct,alta,2015-01,2015-01-30,Integra,MCHI,0.04637682735056,0.027701514065291,1,3.189733428657837,1.0329482971344497,operativo,4.637682735056,2.7701514065291
ampliado_15pct,alta,2015-01,2015-01-30,Integra,PESO_EXCLUIDO_POR_CONFIANZA,0.17282622456261115,0.10323147063043929,28,3.189733428657837,1.0329482971344497,operativo,17.282622456261116,10.32314706304393
ampliado_15pct,alta,2015-01,2015-01-30,Integra,PRIVATE_ALTERNATIVES,0.040836577848994596,0.0243922471692882,10,3.189733428657837,1.0329482971344497,operativo,4.08365778489946,2.43922471692882
ampliado_15pct,alta,2015-01,2015-01-30,Integra,RESIDUAL_NO_MAPEADO,0.2772687424936666,0.16561641683669628,24,3.189733428657837,1.0329482971344497,operativo,27.726874249366663,16.561641683669627
ampliado_15pct,alta,2015-01,2015-01-30,Integra,SPY,0.0847488818781941,0.0506216677053078,3,3.189733428657837,1.0329482971344497,operativo,8.47488818781941,5.06216677053078
ampliado_15pct,alta,2015-01,2015-01-30,Integra,VGK,0.1213419440385768,0.07247920484267009,3,3.189733428657837,1.0329482971344497,operativo,12.13419440385768,7.247920484267009
ampliado_15pct,alta,2015-01,2015-01-30,Integra,XLB,0.0002134527759555,0.0001274982661213,1,3.189733428657837,1.0329482971344497,operativo,0.02134527759555,0.01274982661213
ampliado_15pct,alta,2015-01,2015-01-30,Integra,XLE,0.0198963660755839,0.0118843719197258,2,3.189733428657837,1.0329482971344497,operativo,1.9896366075583898,1.18843719197258
ampliado_15pct,alta,2015-01,2015-01-30,Integra,XLF,0.0766862930338423,0.0458057729786976,1,3.189733428657837,1.0329482971344497,operativo,7.668629303384231,4.58057729786976
ampliado_15pct,alta,2015-01,2015-01-30,Integra,XLI,0.0710390919790153,0.0424326224553269,1,3.189733428657837,1.0329482971344497,operativo,7.10390919790153,4.24326224553269
ampliado_15pct,alta,2015-01,2015-01-30,Integra,XLK,0.0177330108893082,0.0105921702417662,1,3.189733428657837,1.0329482971344497,operativo,1.77330108893082,1.0592170241766201
ampliado_15pct,alta,2015-01,2015-01-30,Integra,XLP,0.0019641137855276,0.0011731920608615,1,3.189733428657837,1.0329482971344497,operativo,0.19641137855276,0.11731920608615001
ampliado_15pct,alta,2015-01,2015-01-30,Integra,XLV,0.0330274749956557,0.0197277630963722,1,3.189733428657837,1.0329482971344497,operativo,3.30274749956557,1.9727763096372202
ampliado_15pct,alta,2015-01,2015-01-30,Prima,EEM,0.0340770467219933,0.0192793610342054,1,1.121602113271325,1.0113432472333963,estricto,3.40770467219933,1.92793610342054
ampliado_15pct,alta,2015-01,2015-01-30,Prima,LQD,8.433064088285097e-05,4.771073283111384e-05,1,1.121602113271325,1.0113432472333963,estricto,0.008433064088285097,0.004771073283111384
ampliado_15pct,alta,2015-01,2015-01-30,Prima,MCHI,0.0001403582060702,7.940877479841531e-05,1,1.121602113271325,1.0113432472333963,estricto,0.014035820607020001,0.00794087747984153
