escenario,variante_confianza,afp,periodo_anterior,periodo_actual,salto_meses,comparacion_consecutiva,turnover_factores
ampliado_15pct,alta,Habitat,2015-01,2015-02,1,True,0.02063602580805461
ampliado_15pct,alta,Habitat,2015-02,2015-03,1,True,0.01457844817175915
ampliado_15pct,alta,Habitat,2015-03,2015-04,1,True,0.03759186255599401
ampliado_15pct,alta,Habitat,2015-04,2015-05,1,True,0.044217644050844905
ampliado_15pct,alta,Habitat,2015-05,2015-06,1,True,0.039485577524847694
ampliado_15pct,alta,Habitat,2015-06,2015-07,1,True,0.03540468307180476
ampliado_15pct,alta,Habitat,2015-07,2015-08,1,True,0.09368739140748812
ampliado_15pct,alta,Habitat,2015-08,2015-09,1,True,0.0269112747854293
ampliado_15pct,alta,Habitat,2015-09,2015-10,1,True,0.02157157474292334
ampliado_15pct,alta,Habitat,2015-10,2015-11,1,True,0.06936841903690419
ampliado_15pct,alta,Habitat,2015-11,2015-12,1,True,0.037736622238807374
ampliado_15pct,alta,Habitat,2015-12,2016-01,1,True,0.06690085020801112
ampliado_15pct,alta,Habitat,2016-01,2016-02,1,True,0.021717071685785537
ampliado_15pct,alta,Habitat,2016-02,2016-03,1,True,0.017170897230635092
ampliado_15pct,alta,Habitat,2016-03,2016-04,1,True,0.03378946573497374
ampliado_15pct,alta,Habitat,2016-04,2016-05,1,True,0.0180350270665382
ampliado_15pct,alta,Habitat,2016-05,2016-06,1,True,0.028286702717767977
ampliado_15pct,alta,Habitat,2016-06,2016-07,1,True,0.03721506956844398
ampliado_15pct,alta,Habitat,2016-07,2016-08,1,True,0.01260141620236886
ampliado_15pct,alta,Habitat,2016-08,2016-09,1,True,0.021771453680867817
ampliado_15pct,alta,Habitat,2016-09,2016-10,1,True,0.044262220588591125
ampliado_15pct,alta,Habitat,2016-10,2016-11,1,True,0.02819529354470069
ampliado_15pct,alta,Habitat,2016-11,2016-12,1,True,0.027356761897972523
ampliado_15pct,alta,Habitat,2016-12,2017-01,1,True,0.03543368323623462
ampliado_15pct,alta,Habitat,2017-01,2017-02,1,True,0.03898997983890748
ampliado_15pct,alta,Habitat,2017-02,2017-03,1,True,0.037388742122119185
ampliado_15pct,alta,Habitat,2017-03,2017-04,1,True,0.019821653097520486
ampliado_15pct,alta,Habitat,2017-04,2017-05,1,True,0.020258589345897676
ampliado_15pct,alta,Habitat,2017-05,2017-06,1,True,0.014161629670486418
ampliado_15pct,alta,Habitat,2017-06,2017-07,1,True,0.03926733675696997
ampliado_15pct,alta,Habitat,2017-07,2017-08,1,True,0.07166319439252962
ampliado_15pct,alta,Habitat,2017-08,2017-09,1,True,0.018959729672250843
ampliado_15pct,alta,Habitat,2017-09,2017-10,1,True,0.027282180398868663
ampliado_15pct,alta,Habitat,2017-10,2017-11,1,True,0.018574377936870022
ampliado_15pct,alta,Habitat,2017-11,2017-12,1,True,0.023806332737845104
ampliado_15pct,alta,Habitat,2017-12,2018-01,1,True,0.04646506011325624
ampliado_15pct,alta,Habitat,2018-01,2018-02,1,True,0.029716917953734462
ampliado_15pct,alta,Habitat,2018-02,2018-03,1,True,0.05519947186775162
ampliado_15pct,alta,Habitat,2018-03,2018-04,1,True,0.04157092865970184
ampliado_15pct,alta,Habitat,2018-04,2018-05,1,True,0.0821680854196759
ampliado_15pct,alta,Habitat,2018-05,2018-06,1,True,0.06732496650890263
ampliado_15pct,alta,Habitat,2018-06,2018-07,1,True,0.05351084232855484
ampliado_15pct,alta,Habitat,2018-07,2018-08,1,True,0.09028302200792267
ampliado_15pct,alta,Habitat,2018-08,2018-09,1,True,0.04332667750085781
ampliado_15pct,alta,Habitat,2018-09,2018-10,1,True,0.10825376859875725
ampliado_15pct,alta,Habitat,2018-10,2018-11,1,True,0.06346043577860705
ampliado_15pct,alta,Habitat,2018-11,2018-12,1,True,0.09300355003482602
ampliado_15pct,alta,Habitat,2018-12,2019-01,1,True,0.03253782166622671
ampliado_15pct,alta,Habitat,2019-01,2019-02,1,True,0.03488299617557727
ampliado_15pct,alta,Habitat,2019-02,2019-03,1,True,0.03059469910481604
ampliado_15pct,alta,Habitat,2019-03,2019-04,1,True,0.04214086197972863
ampliado_15pct,alta,Habitat,2019-04,2019-05,1,True,0.05721460248656398
ampliado_15pct,alta,Habitat,2019-05,2019-06,1,True,0.04416407135362329
ampliado_15pct,alta,Habitat,2019-06,2019-07,1,True,0.020648707805735383
ampliado_15pct,alta,Habitat,2019-07,2019-08,1,True,0.06299827687149076
