anio,mes,archivo,hoja,filas,columnas,fila_candidata,puntaje_fila,palabras_detectadas
0,0,CA-0001-no2025.XLS,11,20,27,4,4.0,integra | prima | profuturo
0,0,CA-0001-no2025.XLS,13,57,27,4,4.0,integra | prima | profuturo
0,0,CA-0001-no2025.XLS,3,716,35,577,4.0,fondo | moneda | administradora
0,0,CA-0001-no2025.XLS,1,50,35,26,3.0,fondo | administradora
0,0,CA-0001-no2025.XLS,6,234,37,5,2.0,monto
0,0,CA-0001-no2025.XLS,2,115,37,112,3.1,afp | fondo | participación
0,0,CA-0001-no2025.XLS,7,230,18,3,2.0,emisor
0,0,CA-0001-no2025.XLS,10,652,30,324,4.0,fondo | moneda | administradora
0,0,CA-0001-no2025.XLS,9,51,16,3,3.0,fondo | fondo mutuo
0,0,CA-0001-no2025.XLS,1-A,17,35,1,2.1,emisor | instrumento
