escenario,periodo,afp,grupo_cobertura,peso_exterior,peso_total_fondo
ampliado_15pct,2015-01,Habitat,mapeo_alta_confianza,0.6854555686213444,0.4329959891075544
ampliado_15pct,2015-01,Habitat,mapeo_baja_confianza,0.007846900960283,0.0049568152893709
ampliado_15pct,2015-01,Habitat,mapeo_confianza_media,0.1372725827069875,0.0867138301117153
ampliado_15pct,2015-01,Habitat,residual_no_mapeado,0.169424947711383,0.1070241838742889
ampliado_15pct,2015-01,Integra,mapeo_alta_confianza,0.4626916277441644,0.27637204539591187
ampliado_15pct,2015-01,Integra,mapeo_baja_confianza,0.01673129811649573,0.009993833485012787
ampliado_15pct,2015-01,Integra,mapeo_confianza_media,0.31728643830028064,0.1895195345482201
ampliado_15pct,2015-01,Integra,privados_alternativos,0.040836577848994596,0.0243922471692882
ampliado_15pct,2015-01,Integra,residual_no_mapeado,0.1624540579900614,0.09703603349919368
ampliado_15pct,2015-01,Prima,mapeo_alta_confianza,0.3366065088263914,0.19043781766273452
ampliado_15pct,2015-01,Prima,mapeo_confianza_media,0.36504910089891335,0.20652944102987497
ampliado_15pct,2015-01,Prima,privados_alternativos,0.0603114763650396,0.034121698891151
ampliado_15pct,2015-01,Prima,residual_no_mapeado,0.2380329139096533,0.1346690199631149
ampliado_15pct,2015-01,Profuturo,mapeo_alta_confianza,0.30298793414531766,0.1911922937261351
ampliado_15pct,2015-01,Profuturo,mapeo_baja_confianza,0.021990807073687703,0.0138767005926075
ampliado_15pct,2015-01,Profuturo,mapeo_confianza_media,0.5256511685138195,0.33169787071381757
ampliado_15pct,2015-01,Profuturo,privados_alternativos,0.0349696929065526,0.0220666734355683
ampliado_15pct,2015-01,Profuturo,residual_no_mapeado,0.1144003973606195,0.0721892587447647
ampliado_15pct,2015-02,Habitat,mapeo_alta_confianza,0.711596509878055,0.4498709120244712
ampliado_15pct,2015-02,Habitat,mapeo_baja_confianza,0.0075192579323569,0.0047536706220725
ampliado_15pct,2015-02,Habitat,mapeo_confianza_media,0.1158847752058863,0.0732622894968341
ampliado_15pct,2015-02,Habitat,residual_no_mapeado,0.1649994569836997,0.1043125636036633
ampliado_15pct,2015-02,Integra,mapeo_alta_confianza,0.39681757947216884,0.24571929599351391
ampliado_15pct,2015-02,Integra,mapeo_baja_confianza,0.016478353479217122,0.010203805540650175
ampliado_15pct,2015-02,Integra,mapeo_confianza_media,0.32414070615174856,0.2007159718689684
ampliado_15pct,2015-02,Integra,privados_alternativos,0.0382769693723953,0.0237020496406962
ampliado_15pct,2015-02,Integra,residual_no_mapeado,0.22428639152446697,0.13888370142175827
ampliado_15pct,2015-02,Prima,mapeo_alta_confianza,0.31783162965949735,0.1892913528709666
ampliado_15pct,2015-02,Prima,mapeo_confianza_media,0.36795773037211843,0.21914501289908772
ampliado_15pct,2015-02,Prima,privados_alternativos,0.059358953937744,0.0353524811483317
ampliado_15pct,2015-02,Prima,residual_no_mapeado,0.2548516860306377,0.15178231468613876
ampliado_15pct,2015-02,Profuturo,mapeo_alta_confianza,0.3386443513342929,0.2161708291700842
ampliado_15pct,2015-02,Profuturo,mapeo_baja_confianza,0.021477593499871397,0.013710044703689798
ampliado_15pct,2015-02,Profuturo,mapeo_confianza_media,0.5121152821026071,0.3269045673627972
ampliado_15pct,2015-02,Profuturo,privados_alternativos,0.0212396776472232,0.013558173081036
ampliado_15pct,2015-02,Profuturo,residual_no_mapeado,0.1065230954160029,0.0679981395558847
