identificador_agregacion,identificador_canonico,ticker,ticker_base,name,securityType,securityType2,marketSector,exchCode,estado_identidad_final,tipo_identificador,entidad_administradora,moneda,primera_fecha,ultima_fecha,meses_presentes,afp_presentes,peso_max_total_fondo_pct,peso_mediano_total_fondo_pct,peso_max_exterior_pct,vehiculo,confianza_vehiculo,tipo_activo,confianza_tipo_activo,region_exposicion_preliminar,confianza_region,sector_tema_preliminar,confianza_sector,indice_referencia_preliminar,confianza_indice,factor_proxy_mercado,confianza_factor_proxy,razon_factor_proxy,ticker_base_refinado,texto_economico,factor_proxy_original,region_original,sector_original,indice_original,confianza_factor_original,regla_refinamiento,cambio_factor,cambio_region,cambio_sector
US4642868487,US4642868487,,,,,,,,isin_no_resuelto,isin,BlackRock USA,USD,2015-01-30,2016-10-31,22,4,8.266939507400703,3.865193530057798,14.174490090093911,otro_o_no_determinado,baja,no_determinado,baja,No determinado,media,No determinado,baja,No determinado,baja,RESIDUAL_NO_MAPEADO,baja,identidad económica no resuelta,,,SPY,Estados Unidos,Mercado amplio o no determinado,No determinado,media,isin_no_resuelto,True,True,True
BBG00B9MWC87,IE00BYYJHR67,HSBUSHI,HSBUSHI,HSBC GLF-USD LIQUIDITY-H,Open-End Fund,Mutual Fund,Equity,ID,openfigi_validado,isin,HSBC GL Fund,USD,2019-10-31,2020-04-30,6,1,5.03034845415964,2.9043594066621274,10.417460217900851,fondo_mutuo_o_abierto,media,liquidez,alta,Global,media,Liquidez y equivalentes,media,No determinado,media,RESIDUAL_NO_MAPEADO,media,regla textual: \bLIQUIDITY\b|\bLIQUID\b|\bMONEY MARKET\b|\bLVNAV\b|\bCASH\b,HSBUSHI,HSBUSHI HSBC GLF USD LIQUIDITY H OPEN END FUND MUTUAL FUND EQUITY,RESIDUAL_NO_MAPEADO,No determinado,Mercado amplio o no determinado,No determinado,baja,nombre::\bLIQUIDITY\b|\bLIQUID\b|\bMONEY MARKET\b|\bLVNAV\b|\bCASH\b,False,True,True
BBG001SDGK15,LU0103813712,JPMULCD,JPMULCD,JPM USD LIQ LVNAV-INST DIST,Open-End Fund,Mutual Fund,Equity,LX,openfigi_validado,isin,JP MORGAN ASSET,USD,2017-12-29,2020-02-28,8,1,4.641893767977312,0.948561210092064,9.613000789962951,fondo_mutuo_o_abierto,media,liquidez,alta,Global,media,Liquidez y equivalentes,media,No determinado,media,RESIDUAL_NO_MAPEADO,media,regla textual: \bLIQUIDITY\b|\bLIQUID\b|\bMONEY MARKET\b|\bLVNAV\b|\bCASH\b,JPMULCD,JPMULCD JPM USD LIQ LVNAV INST DIST OPEN END FUND MUTUAL FUND EQUITY,RESIDUAL_NO_MAPEADO,No determinado,Mercado amplio o no determinado,No determinado,baja,nombre::\bLIQUIDITY\b|\bLIQUID\b|\bMONEY MARKET\b|\bLVNAV\b|\bCASH\b,False,True,True
BBG003Q2RKN1,LU0635707705,CSNGSMU,CSNGSMU,UBSNV LX GBL SEN LN FN-U IA3,Open-End Fund,Mutual Fund,Equity,LX,openfigi_validado,isin,CREDIT SUISSE,USD,2017-12-29,2019-09-30,22,1,4.609251577092553,1.942957687383985,7.775410602850473,fondo_mutuo_o_abierto,media,renta_fija,alta,No determinado,baja,Mercado amplio o no determinado,baja,No determinado,baja,LQD,baja,renta fija genérica,CSNGSMU,CSNGSMU UBSNV LX GBL SEN LN FN U IA3 OPEN END FUND MUTUAL FUND EQUITY,LQD,No determinado,Mercado amplio o no determinado,No determinado,baja,sin_cambio,False,False,False
US73935A1043,US73935A1043,,,,,,,,isin_no_resuelto,isin,BANK NEW YORK,USD,2015-01-30,2018-05-31,41,4,4.573169301749887,1.174432753565814,7.569395520746546,otro_o_no_determinado,baja,no_determinado,baja,No determinado,baja,No determinado,media,No determinado,baja,RESIDUAL_NO_MAPEADO,baja,identidad económica no resuelta,,,XLF,No determinado,Finanzas,No determinado,media,isin_no_resuelto,True,False,True
BBG00NDLMKR0,LU1951186714,UBCOIA3,UBCOIA3,UBS L EQ CHIN OPP USD-IA3A,Open-End Fund,Mutual Fund,Equity,LX,openfigi_validado,isin,UBS,USD,2020-04-30,2026-01-30,70,3,4.014502393853384,0.0790009664600173,7.764447675191026,fondo_mutuo_o_abierto,media,renta_variable,alta,No determinado,baja,Mercado amplio o no determinado,baja,No determinado,baja,RESIDUAL_NO_MAPEADO,baja,sin regla suficientemente específica,UBCOIA3,UBCOIA3 UBS L EQ CHIN OPP USD IA3A OPEN END FUND MUTUAL FUND EQUITY,RESIDUAL_NO_MAPEADO,No determinado,Mercado amplio o no determinado,No determinado,baja,sin_cambio,False,False,False
BBG009F4HS05,LU1079841513,UCAPUSD,UCAP,OSSIAM SHILLER BRLY CAPE USD,ETP,Mutual Fund,Equity,X2,openfigi_validado,isin,OSSIAM LUX,USD,2017-05-31,2024-10-31,87,4,3.20529529370214,1.0062278861166785,5.054528697237445,etf_etp,alta,renta_variable,alta,No determinado,baja,Mercado amplio o no determinado,baja,No determinado,baja,RESIDUAL_NO_MAPEADO,baja,sin regla suficientemente específica,UCAP,UCAPUSD OSSIAM SHILLER BRLY CAPE USD ETP MUTUAL FUND EQUITY,RESIDUAL_NO_MAPEADO,No determinado,Mercado amplio o no determinado,No determinado,baja,sin_cambio,False,False,False
BBG001SG3H28,GB00B0119487,SGESOCA,SGESOCA,MN CNTNTL ERP GRWT FND-C PRF,Open-End Fund,Mutual Fund,Equity,LN,openfigi_validado,isin,Man Fund Manag,GBP,2017-09-29,2026-01-30,101,4,3.127793794741053,0.6917340650521131,5.648084832954861,fondo_mutuo_o_abierto,media,renta_variable,alta,No determinado,baja,Mercado amplio o no determinado,baja,No determinado,baja,RESIDUAL_NO_MAPEADO,baja,sin regla suficientemente específica,SGESOCA,SGESOCA MN CNTNTL ERP GRWT FND C PRF OPEN END FUND MUTUAL FUND EQUITY,RESIDUAL_NO_MAPEADO,No determinado,Mercado amplio o no determinado,No determinado,baja,sin_cambio,False,False,False
BBG001SPPQ15,US2332034139,DFEOX,DFEOX,DFA US CORE EQTY 1 PORT-INST,Open-End Fund,Mutual Fund,Equity,US,openfigi_validado,isin,DIMENSIONAL,USD,2015-01-30,2020-05-29,65,1,3.002901091131161,0.2943225480294624,4.753751366559834,fondo_mutuo_o_abierto,media,renta_variable,alta,No determinado,baja,Mercado amplio o no determinado,baja,No determinado,baja,RESIDUAL_NO_MAPEADO,baja,sin regla suficientemente específica,DFEOX,DFEOX DFA US CORE EQTY 1 PORT INST OPEN END FUND MUTUAL FUND EQUITY,RESIDUAL_NO_MAPEADO,No determinado,Mercado amplio o no determinado,No determinado,baja,sin_cambio,False,False,False
BBG00SBXGCL6,LU2134542260,BWT4,BWT4,BGF-WRLD TECH-I2 USD INC,Open-End Fund,Mutual Fund,Equity,SW,openfigi_validado,isin,BlackRock Luxembourg S.A.,USD,2021-04-30,2026-01-30,58,2,3.002015275679316,0.529836656110425,5.4403996468109455,fondo_mutuo_o_abierto,media,renta_variable,alta,No determinado,baja,Mercado amplio o no determinado,baja,No determinado,baja,RESIDUAL_NO_MAPEADO,baja,sin regla suficientemente específica,BWT4,BWT4 BGF WRLD TECH I2 USD INC OPEN END FUND MUTUAL FUND EQUITY,RESIDUAL_NO_MAPEADO,No determinado,Mercado amplio o no determinado,No determinado,baja,sin_cambio,False,False,False
BBG00QNGVYG5,LU1997245763,ALLCWUI,ALLCWUI,ALLIANZ CHIN A SHRS-W7 USD I,Open-End Fund,Mutual Fund,Equity,LX,openfigi_validado,isin,ALLIANZ,USD,2020-02-28,2026-01-30,72,2,2.9342406465837323,0.2024138988052604,5.967228612678217,fondo_mutuo_o_abierto,media,renta_variable,alta,No determinado,baja,Mercado amplio o no determinado,baja,No determinado,baja,RESIDUAL_NO_MAPEADO,baja,sin regla suficientemente específica,ALLCWUI,ALLCWUI ALLIANZ CHIN A SHRS W7 USD I OPEN END FUND MUTUAL FUND EQUITY,RESIDUAL_NO_MAPEADO,No determinado,Mercado amplio o no determinado,No determinado,baja,sin_cambio,False,False,False
BBG001SD7WC7,LU0099405374,JBSJAPC,JBSJAPC,GAM MULST-JAP SPE SIT-CJPYAC,Open-End Fund,Mutual Fund,Equity,LX,openfigi_validado,isin,GAM Luxembourg,JPY,2015-01-30,2019-12-31,60,3,2.9136871340320347,1.285332393208829,4.281431250269124,fondo_mutuo_o_abierto,media,renta_variable,alta,No determinado,baja,Mercado amplio o no determinado,baja,No determinado,baja,RESIDUAL_NO_MAPEADO,baja,sin regla suficientemente específica,JBSJAPC,JBSJAPC GAM MULST JAP SPE SIT CJPYAC OPEN END FUND MUTUAL FUND EQUITY,RESIDUAL_NO_MAPEADO,No determinado,Mercado amplio o no determinado,No determinado,baja,sin_cambio,False,False,False
BBG00FP2P0L3,IE00BD065N65,VERASCU,VERASCU,VERITAS ASIAN FUND-C USD,Open-End Fund,Mutual Fund,Equity,ID,openfigi_validado,isin,Veritas AM,USD,2017-12-29,2026-01-30,98,3,2.900506401306472,0.4073617075871903,5.650975853182031,fondo_mutuo_o_abierto,media,renta_variable,alta,No determinado,baja,Mercado amplio o no determinado,baja,No determinado,baja,RESIDUAL_NO_MAPEADO,baja,sin regla suficientemente específica,VERASCU,VERASCU VERITAS ASIAN FUND C USD OPEN END FUND MUTUAL FUND EQUITY,RESIDUAL_NO_MAPEADO,No determinado,Mercado amplio o no determinado,No determinado,baja,sin_cambio,False,False,False
BBG001SHTTR5,US92204A7028,VGT1,VGT1,VANGUARD INFO TECH ETF,ETP,Mutual Fund,Equity,X2,openfigi_validado,isin,VANGUARD GROUP,USD,2016-02-29,2025-01-31,86,1,2.830232234965525,0.4682987403155578,5.7707433476488665,etf_etp,alta,renta_variable,alta,No determinado,baja,Mercado amplio o no determinado,baja,No determinado,baja,RESIDUAL_NO_MAPEADO,baja,sin regla suficientemente específica,VGT1,VGT1 VANGUARD INFO TECH ETF ETP MUTUAL FUND EQUITY,RESIDUAL_NO_MAPEADO,No determinado,Mercado amplio o no determinado,No determinado,baja,sin_cambio,False,False,False
BBG001T2PMD1,US78464A3591,CWBUSD,CWB,SS SPDR BB CONV SEC ETF,ETP,Mutual Fund,Equity,XH,openfigi_validado,isin,SSGA Funds Mana,USD,2018-02-28,2026-01-30,42,2,2.772777741310877,0.4628523190440774,4.572115078787144,etf_etp,alta,renta_variable,alta,No determinado,baja,Mercado amplio o no determinado,baja,No determinado,baja,RESIDUAL_NO_MAPEADO,baja,sin regla suficientemente específica,CWB,CWBUSD SS SPDR BB CONV SEC ETF ETP MUTUAL FUND EQUITY,RESIDUAL_NO_MAPEADO,No determinado,Mercado amplio o no determinado,No determinado,baja,sin_cambio,False,False,False
BBG007GY22Y8,US912810RJ97,T 3 11/15/44,T3111544,US TREASURY N/B,US GOVERNMENT,Bond,Govt,FRANKFURT,openfigi_validado,isin,TREASURY,USD,2015-01-30,2016-08-31,6,2,2.770004362829432,0.5569213539112,4.250050808480502,otro_o_no_determinado,baja,renta_fija,alta,No determinado,baja,Renta fija,baja,No determinado,baja,LQD,baja,regla textual: \bDEBT\b|\bDEUDA\b|\bBOND\b|\bCREDIT\b|FIXED INCOME,T3111544,T 3 11 15 44 US TREASURY N B US GOVERNMENT BOND GOVT,TLT,No determinado,Mercado amplio o no determinado,No determinado,media,nombre::\bDEBT\b|\bDEUDA\b|\bBOND\b|\bCREDIT\b|FIXED INCOME,True,False,True
