fecha_cartera,afp,fondo,instrumento_id,tipo_id,moneda,peso_fondo,peso_fondo_pct,monto_miles_soles,archivo,grupo,entidad_administradora,isin,estado_identificacion,estado_cobertura,fuente_precio_sugerida,ticker_precio,proxy_si_no_hay_precio,estado_mapeo_precio
2026-01-30,Habitat,3,US4642875235,isin,USD,0.0611179256156073,6.11179256156073,304748.28133401525,CA-0001-en2026.XLS,75,BlackRock Fund Advisors,US4642875235,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,US92189F6768,isin,USD,0.0510135289661476,5.1013528966147605,254365.394777838,CA-0001-en2026.XLS,85,VAN ECK ASSOCIATES CORPORATION,US92189F6768,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,US92189F1066,isin,USD,0.0444056431826699,4.440564318266999,221416.9297328784,CA-0001-en2026.XLS,85,VAN ECK ASSOCIATES CORPORATION,US92189F1066,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,US5007673065,isin,USD,0.0380694670179724,3.806946701797245,189823.27243885476,CA-0001-en2026.XLS,125,"Krane Funds Advisors, LLC",US5007673065,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,US37954Y8488,isin,USD,0.0201320040600825,2.013200406008256,100382.8839955404,CA-0001-en2026.XLS,147,Global X Management Company LLC,US37954Y8488,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,LU0102000758,isin,JPY,0.016296661296759,1.6296661296759034,81258.96734298926,CA-0001-en2026.XLS,76,BNP PARIBAS INVESTMENT PARTNERS LUXEMBOURG,LU0102000758,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,US33741X1028,isin,USD,0.0158391648374902,1.5839164837490234,78977.78292329158,CA-0001-en2026.XLS,103,First Trust Advisors L.P.,US33741X1028,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,US37954Y8306,isin,USD,0.0156923806143643,1.5692380614364336,78245.88243298531,CA-0001-en2026.XLS,147,Global X Management Company LLC,US37954Y8306,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,US92189H6071,isin,USD,0.0121872316780524,1.218723167805244,60768.38948142437,CA-0001-en2026.XLS,85,VAN ECK ASSOCIATES CORPORATION,US92189H6071,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,PRIVFAEAIP4B,isin,EUR,0.0121350231134883,1.2135023113488306,60508.06535946541,CA-0001-en2026.XLS,297,Antin Infrastructure Partners IV Luxembourg G,PRIVFAEAIP4B,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,US97717Y5437,isin,USD,0.0121188000723154,1.211880007231546,60427.17347929051,CA-0001-en2026.XLS,88,WisdomTree Asset Management Inc.,US97717Y5437,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,US4642891802,isin,USD,0.0112654763640672,1.1265476364067293,56172.30175563716,CA-0001-en2026.XLS,75,BlackRock Fund Advisors,US4642891802,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,PRIVFAEEQTI4,isin,USD,0.0112359745918375,1.1235974591837568,56025.19901462035,CA-0001-en2026.XLS,281,EQT Infrastructure IV (GP) SCS,PRIVFAEEQTI4,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,US4642867729,isin,USD,0.0110380855756972,1.10380855756972,55038.47806563161,CA-0001-en2026.XLS,75,BlackRock Fund Advisors,US4642867729,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,US33738R7044,isin,USD,0.0104559875766772,1.0455987576677228,52136.00120663287,CA-0001-en2026.XLS,103,First Trust Advisors L.P.,US33738R7044,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,LU2301227331,isin,USD,0.0098565747556393,0.9856574755639378,49147.1885926424,CA-0001-en2026.XLS,143,Carne Global Fund Managers (Luxembourg) S.A.,LU2301227331,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,LU0106820292,isin,EUR,0.0097222684630427,0.9722268463042792,48477.50598432591,CA-0001-en2026.XLS,84,SCHRODER INVESTMENT MANAGEMENT,LU0106820292,isin,estricto,mapear_isin_a_ticker,,,pendiente
