afp,modelo,periodo,observaciones,n_factores,mae_retorno,rmse_retorno,r2,mape_cuota_pct,direccion_pct,correlacion,ranking_rmse,mediana_error_abs_pct,p90_error_abs_pct,error_maximo_abs_pct
Habitat,M0_sin_pesos / lag0_1_2,2025-01-02 a 2026-06-30,372,30,0.004394188214012,0.0065812143267101,0.4075410330704414,,74.46236559139786,0.7226126994087789,3,,,
Habitat,M1_pesos_reales / lag0_1_2,2025-01-02 a 2026-06-30,372,30,0.0043360071358032,0.0065126199153263,0.4198267860928785,,75.26881720430107,0.7346962444851575,2,,,
Habitat,M2_hibrido / lag0_1_2,2025-01-02 a 2026-06-30,372,60,0.0042917311534969,0.0064434045573438,0.432093279708594,,75.26881720430107,0.731118348076737,1,,,
Integra,M0_sin_pesos / lag0,2025-01-02 a 2026-06-30,372,10,0.0048490237269084,0.0070470139555447,0.3995586460952326,,75.26881720430107,0.7755624101785353,3,,,
Integra,M1_pesos_reales / lag0,2025-01-02 a 2026-06-30,372,10,0.0046230552624624,0.0067291953972367,0.4524968642996306,,75.26881720430107,0.7859467365139724,1,,,
Integra,M2_hibrido / lag0,2025-01-02 a 2026-06-30,372,20,0.0046969522832186,0.0068359714108535,0.4349839196990906,,76.0752688172043,0.7860255613072048,2,,,
Prima,M0_sin_pesos / lag0,2025-01-02 a 2026-06-30,372,10,0.0050621032024371,0.0074334748717025,0.3839978127780908,,76.0752688172043,0.7815543542897424,3,,,
Prima,M1_pesos_reales / lag0,2025-01-02 a 2026-06-30,372,10,0.0048575359554985,0.0072080558670585,0.4207916862249213,,76.61290322580645,0.7682811510430753,1,,,
Prima,M2_hibrido / lag0,2025-01-02 a 2026-06-30,372,20,0.0049133158652338,0.0072436153326318,0.4150627789080112,,76.34408602150538,0.7872137890165704,2,,,
Profuturo,M0_sin_pesos / lag0_1,2025-01-02 a 2026-06-30,372,20,0.005024324875388,0.0074494593004009,0.3906576942284173,,75.26881720430107,0.7430456437888064,3,,,
Profuturo,M1_pesos_reales / lag0_1,2025-01-02 a 2026-06-30,372,20,0.0049594773281352,0.0073857424023156,0.4010367993011845,,74.73118279569893,0.7374380316235113,2,,,
Profuturo,M2_hibrido / lag0_1,2025-01-02 a 2026-06-30,372,40,0.0049044469202071,0.0073096082665229,0.413321687385333,,75.80645161290323,0.7417400562485205,1,,,
