factor,coef_estandarizado,coef_original,coef_abs_estandarizado,retorno_factor,contribucion_retorno,contribucion_puntos_pct,afp,fecha,retorno_real_pct,retorno_estimado_pct,residual_pct,intercepto_pct,ranking_contribucion,columna_modelo,ticker,nombre,grupo,moneda
ret_COPX,0.0007223027488926849,0.027020889122982734,0.0007223027488926849,0.0366565268499305,0.0009904919476456117,0.09904919476456117,Habitat,2026-06-30,1.09564144007625,0.7267296328468655,0.36891180722938455,0.09850943312785435,1,ret_COPX,COPX,Mineras de cobre,materia_prima,USD
ret_EPU,0.0006361151718174072,0.02983811235898251,0.0006361151718174072,0.0329560206594901,0.0009833454473428143,0.09833454473428144,Habitat,2026-06-30,1.09564144007625,0.7267296328468655,0.36891180722938455,0.09850943312785435,2,ret_EPU,EPU,Perú - ETF,mercado,USD
ret_XLK,0.00035685014224513616,0.02035721015118769,0.00035685014224513616,0.048204697283489,0.000981313152874372,0.0981313152874372,Habitat,2026-06-30,1.09564144007625,0.7267296328468655,0.36891180722938455,0.09850943312785435,3,ret_XLK,XLK,Tecnología,sector,USD
ret_EEM,0.0004412693364669594,0.026098119426219403,0.0004412693364669594,0.0349160767841585,0.0009112439418080152,0.09112439418080152,Habitat,2026-06-30,1.09564144007625,0.7267296328468655,0.36891180722938455,0.09850943312785435,4,ret_EEM,EEM,Mercados emergentes,mercado,USD
ret_PEN_X,-0.00038322786539235373,-0.030008040493757562,0.00038322786539235373,0.0200904493159528,-0.0006028750166108955,-0.06028750166108955,Habitat,2026-06-30,1.09564144007625,0.7267296328468655,0.36891180722938455,0.09850943312785435,5,ret_PEN_X,PEN=X,Tipo de cambio USD/PEN,moneda,PEN_POR_USD
ret_QQQ,0.00025073810537275926,0.0160166847733265,0.00025073810537275926,0.0374469865912783,0.0005997765799434887,0.05997765799434887,Habitat,2026-06-30,1.09564144007625,0.7267296328468655,0.36891180722938455,0.09850943312785435,6,ret_QQQ,QQQ,Estados Unidos - Nasdaq 100,mercado,USD
ret_IDX_VIX,-0.0005214908484452279,-0.00824589748541414,0.0005214908484452279,-0.0679886051856325,0.0005606270685370218,0.05606270685370218,Habitat,2026-06-30,1.09564144007625,0.7267296328468655,0.36891180722938455,0.09850943312785435,7,ret_IDX_VIX,^VIX,Volatilidad VIX,riesgo,INDICE
ret_GLD,0.0004896183831776634,0.025717340587345584,0.0004896183831776634,0.0195369753920255,0.0005024390502033093,0.05024390502033093,Habitat,2026-06-30,1.09564144007625,0.7267296328468655,0.36891180722938455,0.09850943312785435,8,ret_GLD,GLD,Oro,materia_prima,USD
ret_XLI,0.00022036471428814325,0.01453855989939156,0.00022036471428814325,0.0338769711520747,0.0004925223743043979,0.04925223743043979,Habitat,2026-06-30,1.09564144007625,0.7267296328468655,0.36891180722938455,0.09850943312785435,9,ret_XLI,XLI,Industria,sector,USD
ret_HYG,-0.0002568307832715752,-0.0203151150693634,0.0002568307832715752,0.01958043736569,-0.0003977788381924551,-0.03977788381924551,Habitat,2026-06-30,1.09564144007625,0.7267296328468655,0.36891180722938455,0.09850943312785435,10,ret_HYG,HYG,Bonos corporativos alto rendimiento,bonos,USD
