afp,metodo,alpha_ridge,fecha_test_inicio,fecha_test_fin,observaciones,mae,rmse,r2,correlacion,acierto_direccion_pct,ranking_rmse
Habitat,A_USD_mas_FX,1000.0,2025-01-02,2026-06-30,372,0.004406363472466608,0.0065515837918698454,0.41286386761764515,0.76964110506815,74.46236559139786,1
Habitat,B_PEN_sin_FX,1000.0,2025-01-02,2026-06-30,372,0.004830951981382699,0.007123773967579588,0.30582899375714445,0.7023707344502598,73.65591397849462,3
Habitat,C_Bloques_ortogonales,1000.0,2025-01-02,2026-06-30,372,0.0046669198812108155,0.006919298205681977,0.34510706658153756,0.7396552646948045,72.31182795698925,2
Integra,A_USD_mas_FX,1000.0,2025-01-02,2026-06-30,372,0.004820138534918129,0.007002636961282314,0.4070971254445923,0.7779088353986692,75.26881720430107,2
Integra,B_PEN_sin_FX,100.0,2025-01-02,2026-06-30,372,0.004948870649601846,0.007179712787403586,0.37673250895355614,0.7451160511248991,74.19354838709677,3
Integra,C_Bloques_ortogonales,100.0,2025-01-02,2026-06-30,372,0.00478035693987836,0.006964819934029303,0.4134836569472007,0.7670812877643713,74.46236559139786,1
Prima,A_USD_mas_FX,1000.0,2025-01-02,2026-06-30,372,0.005025954806840918,0.007382389462493511,0.3924354795152505,0.7841916202883817,76.0752688172043,1
Prima,B_PEN_sin_FX,100.0,2025-01-02,2026-06-30,372,0.005188416349134311,0.007592775146307987,0.35731290943863514,0.7453916226771355,73.9247311827957,3
Prima,C_Bloques_ortogonales,100.0,2025-01-02,2026-06-30,372,0.005010382640487954,0.007388101238125826,0.39149496703740727,0.7659138078639518,75.80645161290323,2
Profuturo,A_USD_mas_FX,1000.0,2025-01-02,2026-06-30,372,0.005064751582065062,0.007469618569970484,0.38735530239872895,0.7513854538610527,76.61290322580645,1
Profuturo,B_PEN_sin_FX,1000.0,2025-01-02,2026-06-30,372,0.005450850296769629,0.008039671248863905,0.29027776952398343,0.6843308600974114,73.9247311827957,3
Profuturo,C_Bloques_ortogonales,1000.0,2025-01-02,2026-06-30,372,0.005310040883721647,0.007836782612165397,0.3256467920517667,0.7288090114502863,75.80645161290323,2
