afp,esquema_rezago,rezagos,numero_variables,alpha_ridge,fecha_prueba_inicio,fecha_prueba_fin,observaciones,rmse,mae,r2,correlacion,acierto_direccion_pct,ranking_rmse
Habitat,lag0,0,9,1000.0,2025-01-02,2026-06-30,372,0.006919298205681977,0.0046669198812108155,0.34510706658153756,0.7396552646948045,72.31182795698925,3
Habitat,lag1,1,9,100.0,2025-01-02,2026-06-30,372,0.008646465569934687,0.005827360073221669,-0.02264156603077394,0.0287589095684539,56.98924731182796,5
Habitat,lag2,2,9,1000.0,2025-01-02,2026-06-30,372,0.008575325784650149,0.005789424667016417,-0.005882991257038173,0.07274402151428049,59.67741935483871,4
Habitat,lag0_1,"0,1",18,100.0,2025-01-02,2026-06-30,372,0.006513662284425267,0.004340898675614382,0.4196410534584887,0.7275237379884105,77.68817204301075,2
Habitat,lag0_1_2,"0,1,2",27,100.0,2025-01-02,2026-06-30,372,0.006484913780861362,0.004320860665362131,0.4247526578126768,0.7323396183850398,75.80645161290323,1
Integra,lag0,0,9,100.0,2025-01-02,2026-06-30,372,0.006964819934029303,0.00478035693987836,0.4134836569472007,0.7670812877643713,74.46236559139786,1
Integra,lag1,1,9,1000.0,2025-01-02,2026-06-30,372,0.009149666837496687,0.006355235199017691,-0.012210629488617952,0.0017449796307573752,53.76344086021505,5
Integra,lag2,2,9,1000.0,2025-01-02,2026-06-30,372,0.009109730963063046,0.006291612806838472,-0.0033938499621564144,0.07170589254173998,57.795698924731184,4
Integra,lag0_1,"0,1",18,100.0,2025-01-02,2026-06-30,372,0.006993808591001673,0.0048339719116546566,0.40859115308268257,0.746220514740102,74.19354838709677,3
Integra,lag0_1_2,"0,1,2",27,100.0,2025-01-02,2026-06-30,372,0.006970236877048425,0.004819372863134318,0.4125709668396843,0.7503723162617085,75.0,2
Prima,lag0,0,9,100.0,2025-01-02,2026-06-30,372,0.007388101238125826,0.005010382640487954,0.39149496703740727,0.7659138078639518,75.80645161290323,1
Prima,lag1,1,9,1000.0,2025-01-02,2026-06-30,372,0.009540185872351895,0.006531960977428986,-0.014640448103701686,-0.011337309375599043,54.03225806451613,5
Prima,lag2,2,9,1000.0,2025-01-02,2026-06-30,372,0.009488292020678774,0.006469157817057786,-0.0036321937661789594,0.06370294994530369,56.98924731182796,4
Prima,lag0_1,"0,1",18,100.0,2025-01-02,2026-06-30,372,0.007424584166875385,0.005072835081381667,0.38547045338080266,0.7411851607519674,74.46236559139786,3
Prima,lag0_1_2,"0,1,2",27,100.0,2025-01-02,2026-06-30,372,0.007406364730779318,0.005044940452285043,0.38848278214266274,0.7423323043221975,72.84946236559139,2
Profuturo,lag0,0,9,1000.0,2025-01-02,2026-06-30,372,0.007836782612165397,0.005310040883721647,0.3256467920517667,0.7288090114502863,75.80645161290323,3
Profuturo,lag1,1,9,1000.0,2025-01-02,2026-06-30,372,0.009565962414400213,0.006573395092935535,-0.004775804313160936,0.034310947018967995,52.41935483870967,5
Profuturo,lag2,2,9,1000.0,2025-01-02,2026-06-30,372,0.009543848179418685,0.006542058166634829,-0.00013556765513711433,0.0849251959783741,57.52688172043011,4
Profuturo,lag0_1,"0,1",18,100.0,2025-01-02,2026-06-30,372,0.0073953719041329295,0.00499517230033466,0.3994739294152083,0.7374810108915454,76.88172043010752,1
Profuturo,lag0_1_2,"0,1,2",27,1000.0,2025-01-02,2026-06-30,372,0.007809115433402678,0.005292839655654648,0.33039989477347775,0.7225796172281077,75.0,2
