afp,factor,ventanas,coef_mediana,coef_promedio,coef_abs_mediana,top5_frecuencia_pct,signo_positivo_pct,ultimo_coef,ultimo_ranking,consistencia_signo_pct,puntaje_estabilidad,ranking_estabilidad,columna_modelo,ticker,nombre,grupo,moneda
Habitat,ret_IDX_VIX,129,-0.00025573723028002467,-0.0002891793345028996,0.00025573723028002467,84.49612403100775,0.0,-0.0005214908484452279,3,100.0,90.69767441860465,1,ret_IDX_VIX,^VIX,Volatilidad VIX,riesgo,INDICE
Habitat,ret_COPX,129,0.00017060193532817948,0.00022107276227591215,0.00017060193532817948,61.240310077519375,100.0,0.0007223027488926849,1,100.0,76.74418604651163,2,ret_COPX,COPX,Mineras de cobre,materia_prima,USD
Habitat,ret_TLT,129,-0.0001791749367101141,-0.0001797798070390165,0.0001791749367101141,57.36434108527132,0.0,-0.00023044037558271803,17,100.0,74.41860465116278,3,ret_TLT,TLT,Bonos Tesoro EE. UU. largo plazo,bonos,USD
Habitat,ret_PEN_X,129,-0.00017838736052138175,-0.00018371016915396662,0.00017838736052138175,55.81395348837209,0.0,-0.00038322786539235373,8,100.0,73.48837209302326,4,ret_PEN_X,PEN=X,Tipo de cambio USD/PEN,moneda,PEN_POR_USD
Habitat,ret_EPU,129,0.00016734109939888186,0.00021204361973507953,0.00016734109939888186,49.6124031007752,98.44961240310077,0.0006361151718174072,2,96.89922480620154,68.52713178294573,5,ret_EPU,EPU,Perú - ETF,mercado,USD
Habitat,ret_MCHI,129,0.00012034303708105628,0.00012934592796306428,0.00012034303708105628,18.6046511627907,100.0,0.00014807663476581575,24,100.0,51.16279069767442,6,ret_MCHI,MCHI,China,region,USD
Habitat,ret_GLD,129,-7.421336218810197e-05,-7.495320311044689e-05,7.990021072477214e-05,33.33333333333333,11.627906976744185,0.0004896183831776634,4,76.74418604651163,50.69767441860465,7,ret_GLD,GLD,Oro,materia_prima,USD
Habitat,ret_XLK,129,0.0001155441954394131,0.00012189690680365068,0.0001155441954394131,19.379844961240313,97.67441860465115,0.00035685014224513616,9,95.3488372093023,49.767441860465105,8,ret_XLK,XLK,Tecnología,sector,USD
Habitat,ret_QQQ,129,0.00010216849686003451,0.0001119665536101753,0.00010216849686003451,13.953488372093023,99.2248062015504,0.00025073810537275926,16,98.44961240310079,47.75193798449613,9,ret_QQQ,QQQ,Estados Unidos - Nasdaq 100,mercado,USD
Habitat,ret_XLE,129,0.00011470764574082474,0.00012879691651563818,0.00011825070844149321,21.705426356589147,89.92248062015504,-0.0003459788042018264,10,79.84496124031008,44.96124031007752,10,ret_XLE,XLE,Energía,sector,USD
Habitat,ret_ILF,129,9.194047721120807e-05,0.00011330115599078425,9.194047721120807e-05,8.527131782945736,97.67441860465115,0.000303103668443183,11,95.3488372093023,43.255813953488364,11,ret_ILF,ILF,América Latina,mercado,USD
Habitat,ret_LQD,129,-0.00013889791306754195,-0.00013262834746867003,0.00013889791306754195,12.4031007751938,6.2015503875969,-0.00025522940699404187,15,87.59689922480621,42.480620155038764,12,ret_LQD,LQD,Bonos corporativos grado inversión,bonos,USD
Habitat,ret_VGK,129,7.16722524372864e-05,8.684225334189212e-05,7.16722524372864e-05,6.2015503875969,96.89922480620154,0.00022563642303404403,19,93.79844961240309,41.240310077519375,13,ret_VGK,VGK,Europa,region,USD
Habitat,ret_EEM,129,0.00011481403861219631,0.0001206172684592874,0.00011481403861219631,0.7751937984496124,100.0,0.0004412693364669594,5,100.0,40.46511627906977,14,ret_EEM,EEM,Mercados emergentes,mercado,USD
Habitat,ret_XLY,129,9.692455147459849e-05,0.00010283052459488486,9.692455147459849e-05,0.0,100.0,8.154668977188637e-05,27,100.0,40.0,15,ret_XLY,XLY,Consumo discrecional,sector,USD
Habitat,ret_ACWI,129,8.730997819327756e-05,9.631102982112346e-05,8.730997819327756e-05,0.0,100.0,0.0001811156683467416,22,100.0,40.0,16,ret_ACWI,ACWI,Acciones globales,mercado,USD
Habitat,ret_DX_Y_NYB,129,-8.753929621386243e-05,-8.598982242372022e-05,0.0001229295992713146,36.434108527131784,27.906976744186046,-0.00039032000656905,7,44.18604651162791,39.53488372093023,17,ret_DX_Y_NYB,DX-Y.NYB,Índice dólar DXY,moneda,INDICE
Habitat,ret_SPY,129,7.388964072357574e-05,8.68721222342549e-05,7.388964072357574e-05,0.0,98.44961240310077,0.00010040374430635997,26,96.89922480620154,38.75968992248062,18,ret_SPY,SPY,Estados Unidos - S&P 500,mercado,USD
Habitat,ret_XLI,129,9.546891823217714e-05,0.00010050265983418381,9.546891823217714e-05,0.0,97.67441860465115,0.00022036471428814325,20,95.3488372093023,38.13953488372092,19,ret_XLI,XLI,Industria,sector,USD
