afp,modelo,esquema_rezago,alpha_ridge,fecha_test_inicio,fecha_test_fin,numero_variables,observaciones,rmse,mae,r2,correlacion,acierto_direccion_pct,ranking_rmse
Habitat,M0_sin_pesos,lag0_1_2,1000.0,2025-01-02,2026-06-30,30,372,0.006581214326710118,0.004394188214012093,0.4075410330704414,0.7226126994087789,74.46236559139786,3
Habitat,M1_pesos_reales,lag0_1_2,1000.0,2025-01-02,2026-06-30,30,372,0.006512619915326326,0.004336007135803287,0.4198267860928785,0.7346962444851575,75.26881720430107,2
Habitat,M2_hibrido,lag0_1_2,1000.0,2025-01-02,2026-06-30,60,372,0.006443404557343833,0.004291731153496961,0.432093279708594,0.731118348076737,75.26881720430107,1
Integra,M0_sin_pesos,lag0,1000.0,2025-01-02,2026-06-30,10,372,0.007047013955544796,0.004849023726908427,0.3995586460952326,0.7755624101785353,75.26881720430107,3
Integra,M1_pesos_reales,lag0,100.0,2025-01-02,2026-06-30,10,372,0.006729195397236734,0.004623055262462494,0.45249686429963065,0.7859467365139724,75.26881720430107,1
Integra,M2_hibrido,lag0,1000.0,2025-01-02,2026-06-30,20,372,0.00683597141085355,0.0046969522832186516,0.43498391969909067,0.7860255613072048,76.0752688172043,2
Prima,M0_sin_pesos,lag0,1000.0,2025-01-02,2026-06-30,10,372,0.007433474871702567,0.00506210320243716,0.38399781277809086,0.7815543542897424,76.0752688172043,3
Prima,M1_pesos_reales,lag0,0.01,2025-01-02,2026-06-30,10,372,0.007208055867058584,0.004857535955498501,0.42079168622492136,0.7682811510430753,76.61290322580645,1
Prima,M2_hibrido,lag0,1000.0,2025-01-02,2026-06-30,20,372,0.007243615332631864,0.0049133158652338756,0.41506277890801124,0.7872137890165704,76.34408602150538,2
Profuturo,M0_sin_pesos,lag0_1,1000.0,2025-01-02,2026-06-30,20,372,0.007449459300400977,0.005024324875388054,0.39065769422841734,0.7430456437888064,75.26881720430107,3
Profuturo,M1_pesos_reales,lag0_1,1000.0,2025-01-02,2026-06-30,20,372,0.007385742402315688,0.004959477328135257,0.4010367993011845,0.7374380316235113,74.73118279569893,2
Profuturo,M2_hibrido,lag0_1,1000.0,2025-01-02,2026-06-30,40,372,0.007309608266522931,0.0049044469202071846,0.41332168738533304,0.7417400562485205,75.80645161290323,1
