fecha,afp,rendimiento_simple,modelo,esquema_rezago,estimado,error,error_cuadrado,error_absoluto
2025-01-02,Habitat,-0.0018940980975069,M0_sin_pesos,lag0_1_2,0.0003451615425841996,-0.0022392596400910994,5.0142837357409204e-06,0.0022392596400910994
2025-01-03,Habitat,0.004502338317706,M0_sin_pesos,lag0_1_2,0.002329080402765128,0.0021732579149408723,4.723049964853148e-06,0.0021732579149408723
2025-01-06,Habitat,0.0075196046909693,M0_sin_pesos,lag0_1_2,0.0021206794925647515,0.005398925198404549,2.9148393297967595e-05,0.005398925198404549
2025-01-07,Habitat,-0.0012876920730852,M0_sin_pesos,lag0_1_2,-0.0023863296525431683,0.0010986375794579683,1.2070045309972637e-06,0.0010986375794579683
2025-01-08,Habitat,0.0015421486444402,M0_sin_pesos,lag0_1_2,-0.0010099025677759504,0.0025520512122161505,6.512965389773924e-06,0.0025520512122161505
2025-01-09,Habitat,-0.0022304967324644,M0_sin_pesos,lag0_1_2,-0.00019822685639312587,-0.0020322698760712743,4.130120849186752e-06,0.0020322698760712743
2025-01-10,Habitat,-0.0052307393489116,M0_sin_pesos,lag0_1_2,3.753942391960738e-05,-0.005268278772831207,2.775476122826389e-05,0.005268278772831207
2025-01-13,Habitat,-0.0022791856766505,M0_sin_pesos,lag0_1_2,1.641348586745901e-05,-0.002295599162517959,5.269775514953154e-06,0.002295599162517959
2025-01-14,Habitat,0.0012925989715657,M0_sin_pesos,lag0_1_2,0.002304686475695966,-0.001012087504130266,1.0243211160166313e-06,0.001012087504130266
2025-01-15,Habitat,0.0044539007864468,M0_sin_pesos,lag0_1_2,0.004558780752625386,-0.00010487996617858548,1.0999807305621236e-08,0.00010487996617858548
2025-01-16,Habitat,-0.0003557135876385,M0_sin_pesos,lag0_1_2,0.0016186319004844313,-0.001974345488122931,3.898040106471375e-06,0.001974345488122931
2025-01-17,Habitat,0.0008197861385557,M0_sin_pesos,lag0_1_2,0.0013715610971007776,-0.0005517749585450776,3.044556048774221e-07,0.0005517749585450776
2025-01-20,Habitat,-0.0004278063248256,M0_sin_pesos,lag0_1_2,0.0012131610538830282,-0.0016409673787086282,2.6927739379858664e-06,0.0016409673787086282
2025-01-21,Habitat,0.0039230966288845,M0_sin_pesos,lag0_1_2,0.0006050173775999147,0.0033180792512845854,1.1009649917805275e-05,0.0033180792512845854
2025-01-22,Habitat,0.0004114922919757,M0_sin_pesos,lag0_1_2,0.0003406293353225915,7.08629566531085e-05,5.021558625620334e-09,7.08629566531085e-05
2025-01-23,Habitat,-0.0001835713207068,M0_sin_pesos,lag0_1_2,0.0013751024228643182,-0.0015586737435711183,2.429463838898004e-06,0.0015586737435711183
2025-01-24,Habitat,-0.0006400405651478,M0_sin_pesos,lag0_1_2,0.0004270831926852866,-0.0010671237578330865,1.138753114531808e-06,0.0010671237578330865
2025-01-27,Habitat,-0.008386917967098,M0_sin_pesos,lag0_1_2,0.0002328659680736145,-0.008619783935171614,7.430067508904264e-05,0.008619783935171614
2025-01-28,Habitat,-0.0004747500041113,M0_sin_pesos,lag0_1_2,0.0018737669798652987,-0.0023485169839765987,5.515532024026539e-06,0.0023485169839765987
2025-01-29,Habitat,-0.0017221968307797,M0_sin_pesos,lag0_1_2,0.001927628216393406,-0.0036498250471731063,1.3321222874972169e-05,0.0036498250471731063
2025-01-30,Habitat,0.0060475562954183,M0_sin_pesos,lag0_1_2,0.0026802377583889743,0.0033673185370293257,1.1338834129821318e-05,0.0033673185370293257
2025-01-31,Habitat,-0.0009558960602316,M0_sin_pesos,lag0_1_2,-0.0011527032204099391,0.00019680716017833914,3.873305829746244e-08,0.00019680716017833914
2025-02-03,Habitat,-0.0074930732994376,M0_sin_pesos,lag0_1_2,-0.00041714282898217084,-0.007075930470455429,5.0068792022719594e-05,0.007075930470455429
2025-02-04,Habitat,0.0044318324021861,M0_sin_pesos,lag0_1_2,0.004184480831867975,0.000247351570318125,6.118279933884235e-08,0.000247351570318125
2025-02-05,Habitat,0.0066638467620538,M0_sin_pesos,lag0_1_2,0.0035618525565374844,0.003101994205516315,9.622368051056795e-06,0.003101994205516315
2025-02-06,Habitat,0.0010756555067474,M0_sin_pesos,lag0_1_2,0.0032798905647274876,-0.0022042350579800874,4.85865219082848e-06,0.0022042350579800874
2025-02-07,Habitat,-0.003941458079393,M0_sin_pesos,lag0_1_2,0.00012035530186635239,-0.004061813381259352,1.649832794417753e-05,0.004061813381259352
2025-02-10,Habitat,0.0022157730681768,M0_sin_pesos,lag0_1_2,-0.000327474923092028,0.002543247991268828,6.468110345092929e-06,0.002543247991268828
2025-02-11,Habitat,-0.0016733045405977,M0_sin_pesos,lag0_1_2,-0.002511420686480791,0.0008381161458830908,7.024386739899264e-07,0.0008381161458830908
2025-02-12,Habitat,-0.0004576806402862,M0_sin_pesos,lag0_1_2,0.0008545803004681547,-0.0013122609407543546,1.7220287766295039e-06,0.0013122609407543546
2025-02-13,Habitat,0.0036830652479025,M0_sin_pesos,lag0_1_2,0.0026421148517006355,0.0010409503962018644,1.0835777273528185e-06,0.0010409503962018644
2025-02-14,Habitat,-0.000122848363272,M0_sin_pesos,lag0_1_2,0.0017807471248122485,-0.0019035954880842485,3.623675782254708e-06,0.0019035954880842485
2025-02-17,Habitat,0.0006963001097921,M0_sin_pesos,lag0_1_2,0.0010245018215407809,-0.0003282017117486809,1.0771636359476422e-07,0.0003282017117486809
2025-02-18,Habitat,-0.0004398986513343,M0_sin_pesos,lag0_1_2,0.00048185641239303597,-0.0009217550637273359,8.496323975069851e-07,0.0009217550637273359
2025-02-19,Habitat,-0.000709430293909,M0_sin_pesos,lag0_1_2,-0.0009188284919586791,0.00020939819804967905,4.384760534645261e-08,0.00020939819804967905
2025-02-20,Habitat,-0.0054269515633289,M0_sin_pesos,lag0_1_2,0.0009788644359203472,-0.006405815999249247,4.103447861623763e-05,0.006405815999249247
2025-02-21,Habitat,-0.0075720157690948,M0_sin_pesos,lag0_1_2,-0.005338843518055958,-0.002233172251038842,4.987058302809889e-06,0.002233172251038842
2025-02-24,Habitat,-0.0057135304140014,M0_sin_pesos,lag0_1_2,-0.0024844182458398905,-0.003229112168161509,1.0427165394568723e-05,0.003229112168161509
2025-02-25,Habitat,-0.0067538587087636,M0_sin_pesos,lag0_1_2,-0.0012526354106180027,-0.005501223298145597,3.0263457776059923e-05,0.005501223298145597
2025-02-26,Habitat,0.0019889037429954,M0_sin_pesos,lag0_1_2,0.0010619279064900795,0.0009269758365053208,8.592842014647392e-07,0.0009269758365053208
2025-02-27,Habitat,-0.0084776032185106,M0_sin_pesos,lag0_1_2,-0.004074848360619815,-0.004402754857890785,1.938425033868091e-05,0.004402754857890785
2025-02-28,Habitat,0.0058121982844798,M0_sin_pesos,lag0_1_2,-0.0015463075451925272,0.007358505829672327,5.414760804532162e-05,0.007358505829672327
2025-03-03,Habitat,-0.0055279871483611,M0_sin_pesos,lag0_1_2,0.0006714277488489781,-0.006199414897210078,3.843274506775025e-05,0.006199414897210078
2025-03-04,Habitat,-0.0031608731110651,M0_sin_pesos,lag0_1_2,0.0004780821401292535,-0.0036389552511943537,1.3241995320194962e-05,0.0036389552511943537
2025-03-05,Habitat,0.0048010488777214,M0_sin_pesos,lag0_1_2,0.006216565748666851,-0.0014155168709454507,2.0036880119311994e-06,0.0014155168709454507
2025-03-06,Habitat,-0.0047796755255379,M0_sin_pesos,lag0_1_2,-0.0005303986056552008,-0.004249276919882699,1.80563543418478e-05,0.004249276919882699
2025-03-07,Habitat,0.0021223166743669,M0_sin_pesos,lag0_1_2,-3.258738453181377e-06,0.0021255754128200813,4.518070835585259e-06,0.0021255754128200813
2025-03-10,Habitat,-0.0099417833868628,M0_sin_pesos,lag0_1_2,0.0013393407664894883,-0.011281124153352287,0.00012726376216334837,0.011281124153352287
2025-03-11,Habitat,-0.0013681971991097,M0_sin_pesos,lag0_1_2,0.001625975621661796,-0.0029941728207714957,8.965070880646736e-06,0.0029941728207714957
2025-03-12,Habitat,0.0033815510085939,M0_sin_pesos,lag0_1_2,0.003397349299209174,-1.579829061527406e-05,2.4958598636465643e-10,1.579829061527406e-05
2025-03-13,Habitat,0.0014767470247172,M0_sin_pesos,lag0_1_2,0.0008949966178684126,0.0005817504068487873,3.384335358687296e-07,0.0005817504068487873
2025-03-14,Habitat,0.0085043143773144,M0_sin_pesos,lag0_1_2,0.005452286621422499,0.0030520277558919,9.314873422734548e-06,0.0030520277558919
2025-03-17,Habitat,0.0047603569711802,M0_sin_pesos,lag0_1_2,0.0035159234614907243,0.0012444335096894756,1.5486147600380661e-06,0.0012444335096894756
2025-03-18,Habitat,-0.0002241960191674,M0_sin_pesos,lag0_1_2,-0.0001323891629658129,-9.180685620158711e-05,8.428498845618893e-09,9.180685620158711e-05
2025-03-19,Habitat,0.0030759364418189,M0_sin_pesos,lag0_1_2,0.0010297443701008078,0.002046192071718092,4.186901994361978e-06,0.002046192071718092
2025-03-20,Habitat,0.0007140540821046,M0_sin_pesos,lag0_1_2,0.00031744776019771825,0.00039660632190688177,1.5729657457650513e-07,0.00039660632190688177
2025-03-21,Habitat,0.0028409122326433,M0_sin_pesos,lag0_1_2,-0.0001456664104894188,0.002986578643132719,8.919651991616473e-06,0.002986578643132719
2025-03-24,Habitat,0.0077085847778313,M0_sin_pesos,lag0_1_2,0.00047461483979069124,0.007233969938040609,5.233032106447526e-05,0.007233969938040609
2025-03-25,Habitat,0.0020767299799973,M0_sin_pesos,lag0_1_2,0.001549945750680924,0.0005267842293163762,2.7750162425644844e-07,0.0005267842293163762
2025-03-26,Habitat,-0.0067535956598501,M0_sin_pesos,lag0_1_2,-0.002993768269340963,-0.003759827390509137,1.4136302006422747e-05,0.003759827390509137
2025-03-27,Habitat,-0.0019122202091576,M0_sin_pesos,lag0_1_2,-0.0015992155696512441,-0.00031300463950635583,9.797190435250377e-08,0.00031300463950635583
2025-03-28,Habitat,-0.0061029520465996,M0_sin_pesos,lag0_1_2,-0.005863635569992135,-0.00023931647660746513,5.7272375975811405e-08,0.00023931647660746513
2025-03-31,Habitat,0.0001951577378425,M0_sin_pesos,lag0_1_2,-0.0028646447188880996,0.0030598024567305994,9.362391074214612e-06,0.0030598024567305994
2025-04-01,Habitat,0.0009590829258272,M0_sin_pesos,lag0_1_2,0.0017934986765975175,-0.0008344157507703175,6.962496451335925e-07,0.0008344157507703175
2025-04-02,Habitat,0.0002620889009294,M0_sin_pesos,lag0_1_2,0.001790064494202363,-0.0015279755932729629,2.334709413637863e-06,0.0015279755932729629
2025-04-03,Habitat,-0.0238695329407115,M0_sin_pesos,lag0_1_2,-0.010259367208299154,-0.013610165732412347,0.0001852366112637313,0.013610165732412347
2025-04-04,Habitat,-0.0287151540766352,M0_sin_pesos,lag0_1_2,-0.02495679144313305,-0.0037583626335021512,1.4125289684905225e-05,0.0037583626335021512
2025-04-07,Habitat,-0.0052411824124402,M0_sin_pesos,lag0_1_2,-0.010830389295448802,0.005589206883008602,3.1239233581070735e-05,0.005589206883008602
2025-04-08,Habitat,-0.0013684547784227,M0_sin_pesos,lag0_1_2,-0.005440169224982515,0.004071714446559815,1.65788585343239e-05,0.004071714446559815
2025-04-09,Habitat,0.029499775533669,M0_sin_pesos,lag0_1_2,0.020208223117068862,0.009291552416600138,8.633294631042786e-05,0.009291552416600138
2025-04-10,Habitat,-0.0064156668957374,M0_sin_pesos,lag0_1_2,0.00468259815876517,-0.011098265054502569,0.0001231714872199929,0.011098265054502569
2025-04-11,Habitat,0.0094921618564967,M0_sin_pesos,lag0_1_2,0.004933836913971402,0.004558324942525299,2.0778326281648272e-05,0.004558324942525299
2025-04-14,Habitat,0.0084671539895269,M0_sin_pesos,lag0_1_2,0.0020642923956853566,0.006402861593841543,4.099663658989106e-05,0.006402861593841543
2025-04-15,Habitat,0.0039894942276765,M0_sin_pesos,lag0_1_2,0.000987281800540673,0.0030022124271358265,9.013279457648791e-06,0.0030022124271358265
2025-04-16,Habitat,-0.0092050619239054,M0_sin_pesos,lag0_1_2,-0.002509870914991755,-0.0066951910089136455,4.4825582645838117e-05,0.0066951910089136455
2025-04-17,Habitat,-0.0029719426677411,M0_sin_pesos,lag0_1_2,-0.0008264626449451147,-0.002145480022795985,4.603084528216661e-06,0.002145480022795985
