comparacion,afp,escenario_evaluado,escenario_referencia,observaciones,mse_referencia,mse_evaluado,mejora_mse_pct,diferencia_media_perdida,ic95_inferior,ic95_superior,evidencia_bootstrap
publico_30d_vs_sin_pesos,Habitat,M1_publico_30d,M0_sin_pesos,372,4.327174830087298e-05,4.2396399363373845e-05,2.0229109566194152,8.753489374991395e-07,2.6090650686651905e-07,1.6617934240275815e-06,mejora_robusta
publico_30d_vs_sin_pesos,Integra,M1_publico_30d,M0_sin_pesos,372,4.964724826521304e-05,4.771928963219804e-05,3.8833141823207296,1.9279586330149978e-06,5.972973240956471e-07,3.199530844579334e-06,mejora_robusta
publico_30d_vs_sin_pesos,Prima,M1_publico_30d,M0_sin_pesos,372,5.522834235428257e-05,5.2618353673449885e-05,4.72581390201783,2.6099886808326863e-06,1.2480837688528713e-06,5.229984160546611e-06,mejora_robusta
publico_30d_vs_sin_pesos,Profuturo,M1_publico_30d,M0_sin_pesos,372,5.548416913374407e-05,5.468639712601629e-05,1.4378371708239197,7.977720077277953e-07,1.6980888808905823e-07,1.4481402145359028e-06,mejora_robusta
publico_45d_vs_sin_pesos,Habitat,M1_publico_45d,M0_sin_pesos,372,4.327174830087298e-05,4.262517067731645e-05,1.4942257915275536,6.465776235565367e-07,1.6054800107265684e-07,1.2731057722772567e-06,mejora_robusta
publico_45d_vs_sin_pesos,Integra,M1_publico_45d,M0_sin_pesos,372,4.964724826521304e-05,4.80368611051239e-05,3.2436584430350273,1.610387160089143e-06,4.35496667290125e-07,2.751403955933503e-06,mejora_robusta
publico_45d_vs_sin_pesos,Prima,M1_publico_45d,M0_sin_pesos,372,5.522834235428257e-05,5.3324513500345374e-05,3.4471953580000383,1.9038288539371996e-06,5.927387730454036e-07,4.269201268275847e-06,mejora_robusta
publico_45d_vs_sin_pesos,Profuturo,M1_publico_45d,M0_sin_pesos,372,5.548416913374407e-05,5.461751824543059e-05,1.5619786721946396,8.666508883134848e-07,2.0487359661558787e-07,1.6842335096790526e-06,mejora_robusta
publico_60d_vs_sin_pesos,Habitat,M1_publico_60d,M0_sin_pesos,372,4.327174830087298e-05,4.2738109759037196e-05,1.2332262106105334,5.33638541835791e-07,7.085512139894968e-08,1.135417847114652e-06,mejora_robusta
publico_60d_vs_sin_pesos,Integra,M1_publico_60d,M0_sin_pesos,372,4.964724826521304e-05,4.601986475305623e-05,7.30631331827197,3.6273835121568126e-06,1.8045577611638492e-06,6.1765943825932556e-06,mejora_robusta
publico_60d_vs_sin_pesos,Prima,M1_publico_60d,M0_sin_pesos,372,5.522834235428257e-05,5.297381956385822e-05,4.082184426180822,2.2545227904243606e-06,8.237431173173644e-07,4.722320743972097e-06,mejora_robusta
publico_60d_vs_sin_pesos,Profuturo,M1_publico_60d,M0_sin_pesos,372,5.548416913374407e-05,5.46455116475935e-05,1.511525718496384,8.38657486150575e-07,2.3164061392150372e-07,1.6722036103225254e-06,mejora_robusta
hibrido_45d_vs_sin_pesos,Habitat,M2_hibrido_publico_45d,M0_sin_pesos,372,4.327174830087298e-05,4.1555821951045615e-05,3.9654657304261196,1.7159263498273694e-06,8.641298120767323e-07,2.6992998096087615e-06,mejora_robusta
hibrido_45d_vs_sin_pesos,Integra,M2_hibrido_publico_45d,M0_sin_pesos,372,4.964724826521304e-05,4.7306777606201636e-05,4.714200163740663,2.3404706590114e-06,1.0612592035783027e-06,3.7517033383908808e-06,mejora_robusta
hibrido_45d_vs_sin_pesos,Prima,M2_hibrido_publico_45d,M0_sin_pesos,372,5.522834235428257e-05,5.3517660282065476e-05,3.0974713331848602,1.7106820722171095e-06,9.590083011105153e-07,2.5655707286082105e-06,mejora_robusta
