afp,factor,rezago_dias_mercado,correlacion_raw,correlacion_winsorizada,observaciones,correlacion_abs_raw,correlacion_abs_winsorizada,cambio_por_extremos,ranking_afp
Habitat,ret_COPX,0,0.4679466216912624,0.4518437057077432,2672,0.4679466216912624,0.4518437057077432,-0.016102915983519206,1
Habitat,ret_IDX_VIX,0,-0.4507964919674965,-0.4464745566107329,2695,0.4507964919674965,0.4464745566107329,0.004321935356763618,2
Habitat,ret_EPU,0,0.440392431741765,0.4148598782457207,2672,0.440392431741765,0.4148598782457207,-0.02553255349604433,3
Habitat,ret_EEM,0,0.38334915340560044,0.36649446132249575,2672,0.38334915340560044,0.36649446132249575,-0.016854692083104694,4
Habitat,ret_XLK,0,0.3688653528978853,0.35406137195768667,2672,0.3688653528978853,0.35406137195768667,-0.014803980940198636,5
Habitat,ret_QQQ,0,0.35450249031904985,0.34243093220777987,2672,0.35450249031904985,0.34243093220777987,-0.012071558111269975,6
Habitat,ret_ACWI,0,0.35639263518532693,0.3390396630143372,2672,0.35639263518532693,0.3390396630143372,-0.017352972170989744,7
Habitat,ret_MCHI,0,0.34119006942853525,0.3349774830051724,2672,0.34119006942853525,0.3349774830051724,-0.006212586423362865,8
Habitat,ret_XLB,0,0.3514938048562,0.3327298545924102,2672,0.3514938048562,0.3327298545924102,-0.018763950263789797,9
Habitat,ret_ILF,0,0.3484266922594335,0.3296414361454643,2672,0.3484266922594335,0.3296414361454643,-0.018785256113969195,10
Habitat,ret_XLI,0,0.35045923208608387,0.32895988992564695,2672,0.35045923208608387,0.32895988992564695,-0.02149934216043692,11
Habitat,ret_XLY,0,0.33967322375199077,0.32375669192718304,2672,0.33967322375199077,0.32375669192718304,-0.015916531824807734,12
Habitat,ret_VGK,0,0.34578787126803495,0.3234850399535462,2672,0.34578787126803495,0.3234850399535462,-0.022302831314488736,13
Habitat,ret_SPY,0,0.33849373396101295,0.32233036866493797,2672,0.33849373396101295,0.32233036866493797,-0.016163365296074983,14
Habitat,ret_EWJ,0,0.32805010152265834,0.30830501027514934,2672,0.32805010152265834,0.30830501027514934,-0.019745091247509006,15
Integra,ret_IDX_VIX,0,-0.46142519745714067,-0.47313722914492706,2695,0.46142519745714067,0.47313722914492706,-0.011712031687786395,1
Integra,ret_COPX,0,0.4745719067647528,0.4625180984062375,2672,0.4745719067647528,0.4625180984062375,-0.012053808358515328,2
Integra,ret_EPU,0,0.4442168306592672,0.4279784022105568,2672,0.4442168306592672,0.4279784022105568,-0.01623842844871043,3
Integra,ret_EEM,0,0.4094844587828665,0.3975330735423636,2672,0.4094844587828665,0.3975330735423636,-0.011951385240502876,4
Integra,ret_XLK,0,0.3834778959009544,0.36988627867500706,2672,0.3834778959009544,0.36988627867500706,-0.013591617225947317,5
Integra,ret_MCHI,0,0.352461584899174,0.36037291583605247,2672,0.352461584899174,0.36037291583605247,0.007911330936878458,6
Integra,ret_ACWI,0,0.37383142651014334,0.3568383489473582,2672,0.37383142651014334,0.3568383489473582,-0.01699307756278512,7
