fecha_cartera,afp,categoria_economica,factor_representativo_inicial,calidad_proxy_inicial,monto_miles_soles,participacion_pct,instrumentos
2015-01-30,Habitat,otros_no_mapeados,sin_proxy,no_disponible,62645.1718627745,62.49108061000423,5
2015-01-30,Habitat,acciones_locales_no_financieras,EPU,media,17469.701324555997,17.426730284927913,1
2015-01-30,Habitat,renta_fija_financiera_local,credito_financiero_peru_pendiente,baja,6337.5577819871,6.321968995348129,5
2015-01-30,Habitat,renta_fija_no_financiera_local,credito_corporativo_peru_pendiente,baja,5200.951400494901,5.188158377615897,5
2015-01-30,Habitat,renta_fija_soberana_local,tasas_soberanas_peru_pendiente,baja,3392.1729039091992,3.3838290179107418,3
2015-01-30,Habitat,acciones_locales_financieras,EPU_financieras_por_identificar,media,3331.2005917701,3.323006682213281,1
2015-01-30,Habitat,titulizaciones_deuda_local,proxy_credito_local_pendiente,baja,896.2311109284,0.894026609439328,2
2015-01-30,Habitat,depositos_exterior,tasas_cortas_usd_fx,baja,679.6730518136,0.6780012282889145,1
2015-01-30,Habitat,depositos_locales,tasas_cortas_pen_pendiente,baja,537.6774482799999,0.5363548979680097,1
2015-01-30,Habitat,acciones_exterior_directas,ACWI,media,0.0,0.0,1
2015-01-30,Habitat,renta_fija_financiera_exterior,LQD_HYG,media,0.0,0.0,2
2015-01-30,Habitat,renta_fija_no_financiera_exterior,LQD_HYG,media,0.0,0.0,1
2015-01-30,Habitat,renta_fija_organismos_internacionales,LQD_TLT,baja,0.0,0.0,1
2015-01-30,Habitat,renta_fija_soberana_exterior,TLT,media,0.0,0.0,1
2015-01-30,Habitat,titulizaciones_participacion_local,proxy_activos_alternativos_locales_pendiente,baja,0.0,0.0,1
2015-01-30,Habitat,operaciones_en_transito,sin_factor_directo,no_aplicable,-243.75628242000005,-0.2431567037164568,1
2015-01-30,Integra,otros_no_mapeados,sin_proxy,no_disponible,5133451.9342249455,61.108382791293025,5
2015-01-30,Integra,acciones_locales_no_financieras,EPU,media,1650169.03518154,19.643538570978563,1
2015-01-30,Integra,renta_fija_soberana_local,tasas_soberanas_peru_pendiente,baja,417276.3431077615,4.967238971183607,3
2015-01-30,Integra,depositos_locales,tasas_cortas_pen_pendiente,baja,368862.92740222457,4.390927830634354,1
2015-01-30,Integra,acciones_locales_financieras,EPU_financieras_por_identificar,media,234236.6777372156,2.7883429610971184,1
2015-01-30,Integra,renta_fija_financiera_local,credito_financiero_peru_pendiente,baja,108323.6366933998,1.2894797382386802,5
2015-01-30,Integra,depositos_exterior,tasas_cortas_usd_fx,baja,103667.79655508512,1.2340568249568096,1
2015-01-30,Integra,renta_fija_no_financiera_local,credito_corporativo_peru_pendiente,baja,101461.8791946028,1.2077976831166777,5
2015-01-30,Integra,titulizaciones_deuda_local,proxy_credito_local_pendiente,baja,98533.1200383321,1.1729338647897385,2
2015-01-30,Integra,renta_fija_soberana_exterior,TLT,media,56157.87612772219,0.6685008518886598,1
2015-01-30,Integra,renta_fija_financiera_exterior,LQD_HYG,media,34795.4148944073,0.4142030664733068,2
2015-01-30,Integra,acciones_exterior_directas,ACWI,media,32022.141021807205,0.381190138026062,1
2015-01-30,Integra,renta_fija_organismos_internacionales,LQD_TLT,baja,26781.9013034,0.3188105582162994,1
2015-01-30,Integra,operaciones_en_transito,sin_factor_directo,no_aplicable,20775.49677102208,0.2473105866441834,1
2015-01-30,Integra,renta_fija_no_financiera_exterior,LQD_HYG,media,14052.9393017334,0.1672855624629095,1
2015-01-30,Integra,titulizaciones_participacion_local,proxy_activos_alternativos_locales_pendiente,baja,0.0,0.0,1
2015-01-30,Prima,otros_no_mapeados,sin_proxy,no_disponible,4756356.755655282,59.22679013465636,5
2015-01-30,Prima,acciones_locales_no_financieras,EPU,media,1541792.853103614,19.19861070835514,1
2015-01-30,Prima,renta_fija_soberana_local,tasas_soberanas_peru_pendiente,baja,438284.3757816608,5.457575635565007,3
2015-01-30,Prima,depositos_locales,tasas_cortas_pen_pendiente,baja,226047.2823976376,2.8147709776302965,1
2015-01-30,Prima,acciones_locales_financieras,EPU_financieras_por_identificar,media,225452.4327157755,2.807363829874312,1
2015-01-30,Prima,renta_fija_financiera_local,credito_financiero_peru_pendiente,baja,207409.6636692007,2.5826928578117174,5
2015-01-30,Prima,renta_fija_no_financiera_local,credito_corporativo_peru_pendiente,baja,134332.62792657543,1.6727278400604442,5
2015-01-30,Prima,operaciones_en_transito,sin_factor_directo,no_aplicable,121732.32340314542,1.5158271637697869,1
2015-01-30,Prima,titulizaciones_deuda_local,proxy_credito_local_pendiente,baja,89450.444515766,1.1138488925347885,2
2015-01-30,Prima,acciones_exterior_directas,ACWI,media,89047.1926520048,1.1088275464219268,1
2015-01-30,Prima,titulizaciones_participacion_local,proxy_activos_alternativos_locales_pendiente,baja,74102.0515487656,0.9227286515898828,1
2015-01-30,Prima,renta_fija_financiera_exterior,LQD_HYG,media,54418.277171324895,0.6776236617834581,2
2015-01-30,Prima,depositos_exterior,tasas_cortas_usd_fx,baja,29726.186527054502,0.3701544483281618,1
2015-01-30,Prima,renta_fija_soberana_exterior,TLT,media,23347.140606009,0.2907217157906197,1
2015-01-30,Prima,renta_fija_no_financiera_exterior,LQD_HYG,media,19252.5989566,0.2397359358280847,1
2015-01-30,Prima,renta_fija_organismos_internacionales,LQD_TLT,baja,0.0,0.0,1
2015-01-30,Profuturo,otros_no_mapeados,sin_proxy,no_disponible,3136532.157647991,58.11481728285085,5
2015-01-30,Profuturo,acciones_locales_no_financieras,EPU,media,960392.1452311054,17.794497628184264,1
2015-01-30,Profuturo,acciones_exterior_directas,ACWI,media,282764.56492432003,5.239165485541918,1
2015-01-30,Profuturo,renta_fija_soberana_local,tasas_soberanas_peru_pendiente,baja,260969.1910410936,4.835332810736841,3
2015-01-30,Profuturo,acciones_locales_financieras,EPU_financieras_por_identificar,media,151635.11329100048,2.809550949791304,1
