id_instrumento,nivel_1,nivel_2,nivel_3,descripcion,ruta_jerarquica,primera_fecha,ultima_fecha,meses_presentes,afp_presentes,participacion_mediana_pct,participacion_max_abs_pct,observaciones
1,TOTAL,,Fondo de Pensiones,Fondo de Pensiones,TOTAL > Fondo de Pensiones,2015-01-30,2026-05-31,135,4,98.8735817517823,99.1510018654107,540
2,,TOTAL,,Fondo de Pensiones,TOTAL > Fondo de Pensiones,2017-12-31,2018-01-31,2,4,98.98246339891585,99.06360027651778,8
3,II. INVERSIONES EN EL EXTERIOR,4. Administradoras de Fondos,Cuotas de Fondos Mutuos,Cuotas de Fondos Mutuos,II. INVERSIONES EN EL EXTERIOR > 4. Administradoras de Fondos > Cuotas de Fondos Mutuos,2015-01-30,2018-12-31,46,4,60.458323697610524,67.68800246395114,184
4,,II. INVERSIONES EN EL EXTERIOR,4. Administradoras de Fondos,Cuotas de Fondos Mutuos,II. INVERSIONES EN EL EXTERIOR > 4. Administradoras de Fondos > Cuotas de Fondos Mutuos,2017-12-31,2018-01-31,2,4,60.279184338138265,62.10020572523819,8
5,II. INVERSIONES EN EL EXTERIOR,4. Administradoras de Fondos,Fondos Mutuos del Extranjero,Fondos Mutuos del Extranjero,II. INVERSIONES EN EL EXTERIOR > 4. Administradoras de Fondos > Fondos Mutuos del Extranjero,2019-01-31,2026-05-31,89,4,36.27820222144496,59.2370983738515,356
6,I. INVERSIONES LOCALES,3. Empresas no Financieras,Acciones y Valores representativos sobre Acciones,Acciones y Valores representativos sobre Acciones,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Acciones y Valores representativos sobre Acciones,2015-01-30,2026-05-31,135,4,25.24450261202606,46.374723229461885,540
7,II. INVERSIONES EN EL EXTERIOR,4. Administradoras de Fondos,Fondos Mutuos Alternativos del Extranjero,Fondos Mutuos Alternativos del Extranjero,II. INVERSIONES EN EL EXTERIOR > 4. Administradoras de Fondos > Fondos Mutuos Alternativos del Extranjero,2019-01-31,2026-05-31,89,4,15.456991522905064,32.45346571423492,356
8,,I. INVERSIONES LOCALES,3. Empresas no Financieras,Acciones y Valores representativos sobre Acciones,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Acciones y Valores representativos sobre Acciones,2017-12-31,2018-01-31,2,4,20.426038355841094,21.243591083096145,8
9,I. INVERSIONES LOCALES,2. Sistema Financiero,Certificados y Depósitos a Plazo (2),Certificados y Depósitos a Plazo (2),I. INVERSIONES LOCALES > 2. Sistema Financiero > Certificados y Depósitos a Plazo (2),2015-01-30,2025-07-31,125,4,1.598130752146544,16.459168040272147,500
10,I. INVERSIONES LOCALES,2. Sistema Financiero,Acciones y Valores representativos sobre Acciones,Acciones y Valores representativos sobre Acciones,I. INVERSIONES LOCALES > 2. Sistema Financiero > Acciones y Valores representativos sobre Acciones,2015-01-30,2026-05-31,135,4,5.633257270916698,10.918960676377528,540
11,I. INVERSIONES LOCALES,4. Administradoras de Fondos,Fondo de Inversión Alternativo,Fondo de Inversión Alternativo,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Fondo de Inversión Alternativo,2019-01-31,2026-05-31,89,4,5.338221526600789,10.826948846874894,356
12,II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Certificados y Depósitos a Plazo (2) (4),Certificados y Depósitos a Plazo (2) (4),II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Certificados y Depósitos a Plazo (2) (4),2015-01-30,2025-07-31,125,4,0.5929404769319595,10.32102367222256,500
13,I. INVERSIONES LOCALES,1. Gobierno,Bonos del Gobierno Central,Bonos del Gobierno Central,I. INVERSIONES LOCALES > 1. Gobierno > Bonos del Gobierno Central,2015-01-30,2026-05-31,135,4,0.7930381241526951,9.938971538148053,540
14,III. OPERACIONES EN TRÁNSITO,,,III. OPERACIONES EN TRÁNSITO,III. OPERACIONES EN TRÁNSITO,2015-01-30,2026-05-31,135,4,0.09856857736782396,9.426635171277589,540
15,I. INVERSIONES LOCALES,3. Empresas no Financieras,Bonos de Empresas no Financieras,Bonos de Empresas no Financieras,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Bonos de Empresas no Financieras,2015-01-30,2026-05-31,135,4,0.7115874375251835,8.982176251753584,540
