nivel_1,nivel_2,nivel_3,descripcion,ruta_jerarquica,categoria_economica,factor_representativo_inicial,calidad_proxy_inicial,regla_mapeo,primera_fecha,ultima_fecha,meses_presentes,afp_presentes,participacion_mediana_pct,participacion_max_abs_pct
II. INVERSIONES EN EL EXTERIOR,3. Empresas no Financieras,Acciones y Valores representativos sobre Acciones,Acciones y Valores representativos sobre Acciones,II. INVERSIONES EN EL EXTERIOR > 3. Empresas no Financieras > Acciones y Valores representativos sobre Acciones,acciones_exterior_directas,ACWI,media,acciones_exterior_actual_historico,2015-01-30,2026-05-31,135,4,0.0,4.571515483822764
II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Acciones y Valores representativos sobre Acciones,Acciones y Valores representativos sobre Acciones,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Acciones y Valores representativos sobre Acciones,acciones_exterior_directas,ACWI,media,acciones_exterior_actual_historico,2015-01-30,2026-05-31,135,4,0.0,2.69402461248934
,II. INVERSIONES EN EL EXTERIOR,3. Empresas no Financieras,Acciones y Valores representativos sobre Acciones,II. INVERSIONES EN EL EXTERIOR > 3. Empresas no Financieras > Acciones y Valores representativos sobre Acciones,acciones_exterior_directas,ACWI,media,acciones_exterior_actual_historico,2017-12-31,2018-01-31,2,4,0.0,0.945908820279842
,II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Acciones y Valores representativos sobre Acciones,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Acciones y Valores representativos sobre Acciones,acciones_exterior_directas,ACWI,media,acciones_exterior_actual_historico,2017-12-31,2018-01-31,2,4,0.0,0.0468032698119484
I. INVERSIONES LOCALES,2. Sistema Financiero,Acciones y Valores representativos sobre Acciones,Acciones y Valores representativos sobre Acciones,I. INVERSIONES LOCALES > 2. Sistema Financiero > Acciones y Valores representativos sobre Acciones,acciones_locales_financieras,EPU_financieras_por_identificar,media,acciones_locales_financieras_actual_historico,2015-01-30,2026-05-31,135,4,5.633257270916698,10.918960676377528
,I. INVERSIONES LOCALES,2. Sistema Financiero,Acciones y Valores representativos sobre Acciones,I. INVERSIONES LOCALES > 2. Sistema Financiero > Acciones y Valores representativos sobre Acciones,acciones_locales_financieras,EPU_financieras_por_identificar,media,acciones_locales_financieras_actual_historico,2017-12-31,2018-01-31,2,4,4.10637719168226,5.226254685631761
,I. INVERSIONES LOCALES,2. Sistema Financiero,Acciones Preferentes,I. INVERSIONES LOCALES > 2. Sistema Financiero > Acciones Preferentes,acciones_locales_financieras,EPU_financieras_por_identificar,media,acciones_locales_financieras_actual_historico,2017-12-31,2018-01-31,2,4,0.0,0.0
I. INVERSIONES LOCALES,2. Sistema Financiero,Acciones Preferentes,Acciones Preferentes,I. INVERSIONES LOCALES > 2. Sistema Financiero > Acciones Preferentes,acciones_locales_financieras,EPU_financieras_por_identificar,media,acciones_locales_financieras_actual_historico,2015-01-30,2026-05-31,135,4,0.0,0.0
I. INVERSIONES LOCALES,3. Empresas no Financieras,Acciones y Valores representativos sobre Acciones,Acciones y Valores representativos sobre Acciones,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Acciones y Valores representativos sobre Acciones,acciones_locales_no_financieras,EPU,media,acciones_locales_actual_historico,2015-01-30,2026-05-31,135,4,25.24450261202606,46.374723229461885
,I. INVERSIONES LOCALES,3. Empresas no Financieras,Acciones y Valores representativos sobre Acciones,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Acciones y Valores representativos sobre Acciones,acciones_locales_no_financieras,EPU,media,acciones_locales_actual_historico,2017-12-31,2018-01-31,2,4,20.426038355841094,21.243591083096145
