nivel_profundidad,nivel_1,nivel_2,nivel_3,descripcion,ruta_jerarquica,tipo_fila,es_hoja
1,I. INVERSIONES LOCALES,,,I. INVERSIONES LOCALES,I. INVERSIONES LOCALES,categoria_nivel_1,False
1,II. INVERSIONES EN EL EXTERIOR,,,II. INVERSIONES EN EL EXTERIOR,II. INVERSIONES EN EL EXTERIOR,categoria_nivel_1,False
1,III. OPERACIONES EN TRÁNSITO,,,III. OPERACIONES EN TRÁNSITO,III. OPERACIONES EN TRÁNSITO,categoria_nivel_1,True
1,TOTAL,,,TOTAL,TOTAL,total,False
2,,I. INVERSIONES LOCALES,,I. INVERSIONES LOCALES,I. INVERSIONES LOCALES,categoria_nivel_2,False
2,I. INVERSIONES LOCALES,1. Gobierno,,1. Gobierno,I. INVERSIONES LOCALES > 1. Gobierno,categoria_nivel_2,False
2,I. INVERSIONES LOCALES,2. Sistema Financiero,,2. Sistema Financiero,I. INVERSIONES LOCALES > 2. Sistema Financiero,categoria_nivel_2,False
2,I. INVERSIONES LOCALES,3. Empresas no Financieras,,3. Empresas no Financieras,I. INVERSIONES LOCALES > 3. Empresas no Financieras,categoria_nivel_2,False
2,I. INVERSIONES LOCALES,4. Administradoras de Fondos,,4. Administradoras de Fondos,I. INVERSIONES LOCALES > 4. Administradoras de Fondos,categoria_nivel_2,False
2,I. INVERSIONES LOCALES,5. Sociedades Titulizadoras,,5. Sociedades Titulizadoras,I. INVERSIONES LOCALES > 5. Sociedades Titulizadoras,categoria_nivel_2,False
2,,II. INVERSIONES EN EL EXTERIOR,,II. INVERSIONES EN EL EXTERIOR,II. INVERSIONES EN EL EXTERIOR,categoria_nivel_2,False
2,II. INVERSIONES EN EL EXTERIOR,1. Gobierno,,1. Gobierno,II. INVERSIONES EN EL EXTERIOR > 1. Gobierno,categoria_nivel_2,False
2,II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,,2. Sistema Financiero,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero,categoria_nivel_2,False
2,II. INVERSIONES EN EL EXTERIOR,3. Empresas no Financieras,,3. Empresas no Financieras,II. INVERSIONES EN EL EXTERIOR > 3. Empresas no Financieras,categoria_nivel_2,False
2,II. INVERSIONES EN EL EXTERIOR,4. Administradoras de Fondos,,4. Administradoras de Fondos,II. INVERSIONES EN EL EXTERIOR > 4. Administradoras de Fondos,categoria_nivel_2,False
2,II. INVERSIONES EN EL EXTERIOR,5. Sociedades Titulizadoras,,5. Sociedades Titulizadoras,II. INVERSIONES EN EL EXTERIOR > 5. Sociedades Titulizadoras,categoria_nivel_2,False
2,,III. OPERACIONES EN TRÁNSITO,,III. OPERACIONES EN TRÁNSITO,III. OPERACIONES EN TRÁNSITO,categoria_nivel_2,True
2,,TOTAL,,TOTAL,TOTAL,total,False
3,,I. INVERSIONES LOCALES,1. Gobierno,1. Gobierno,I. INVERSIONES LOCALES > 1. Gobierno,instrumento_o_detalle,False
3,I. INVERSIONES LOCALES,1. Gobierno,Bonos Brady,Bonos Brady,I. INVERSIONES LOCALES > 1. Gobierno > Bonos Brady,instrumento_o_detalle,True
3,I. INVERSIONES LOCALES,1. Gobierno,Bonos del Gobierno Central,Bonos del Gobierno Central,I. INVERSIONES LOCALES > 1. Gobierno > Bonos del Gobierno Central,instrumento_o_detalle,True
3,I. INVERSIONES LOCALES,1. Gobierno,Certificado Deposito Liquidaciones En Dolares BCRP,Certificado Deposito Liquidaciones En Dolares BCRP,I. INVERSIONES LOCALES > 1. Gobierno > Certificado Deposito Liquidaciones En Dolares BCRP,instrumento_o_detalle,True
3,I. INVERSIONES LOCALES,1. Gobierno,Certificados y Depósitos a Plazo del BCRP (1),Certificados y Depósitos a Plazo del BCRP (1),I. INVERSIONES LOCALES > 1. Gobierno > Certificados y Depósitos a Plazo del BCRP (1),instrumento_o_detalle,True
3,I. INVERSIONES LOCALES,1. Gobierno,Certificados y Depósitos a Plazo del BCRP 1/,Certificados y Depósitos a Plazo del BCRP 1/,I. INVERSIONES LOCALES > 1. Gobierno > Certificados y Depósitos a Plazo del BCRP 1/,instrumento_o_detalle,True
3,I. INVERSIONES LOCALES,1. Gobierno,Letras del Tesoro,Letras del Tesoro,I. INVERSIONES LOCALES > 1. Gobierno > Letras del Tesoro,instrumento_o_detalle,True
3,,I. INVERSIONES LOCALES,2. Sistema Financiero,2. Sistema Financiero,I. INVERSIONES LOCALES > 2. Sistema Financiero,instrumento_o_detalle,False
3,I. INVERSIONES LOCALES,2. Sistema Financiero,Acciones Preferentes,Acciones Preferentes,I. INVERSIONES LOCALES > 2. Sistema Financiero > Acciones Preferentes,instrumento_o_detalle,True
3,I. INVERSIONES LOCALES,2. Sistema Financiero,Acciones y Valores representativos sobre Acciones,Acciones y Valores representativos sobre Acciones,I. INVERSIONES LOCALES > 2. Sistema Financiero > Acciones y Valores representativos sobre Acciones,instrumento_o_detalle,True
