fecha_cartera,archivo,hoja,fila_encabezado_afp,fila_encabezado_monto_pct,primera_columna_numerica,filas_estructurales,observaciones_largas,afp_detectadas,suma_nivel1_pct_habitat,suma_nivel1_pct_integra,suma_nivel1_pct_prima,suma_nivel1_pct_profuturo,total_100_habitat,total_100_integra,total_100_prima,total_100_profuturo,estado,alertas
2015-01-30,FP-1356-en2015.XLS,Fondo3xIntru,4,5,4,50,200,4,99.99999999999999,99.99999999999999,100.0,99.99999999999999,True,True,True,True,correcto,
2015-02-27,FP-1356-fe2015.XLS,Fondo3xIntru,4,5,4,50,200,4,100.0,100.0,100.0,100.00000000000001,True,True,True,True,correcto,
2015-03-31,FP-1356-ma2015.XLS,Fondo3xIntru,4,5,4,50,200,4,100.0,100.0,100.00000000000001,100.0,True,True,True,True,correcto,
2015-04-30,FP-1356-ab2015.XLS,Fondo3xIntru,4,5,4,50,200,4,100.00000000000001,100.00000000000001,100.0,100.0,True,True,True,True,correcto,
2015-05-31,FP-1356-my2015.XLS,Fondo3xIntru,4,5,4,50,200,4,99.99999999999999,100.00000000000001,100.0,100.00000000000001,True,True,True,True,correcto,
2015-06-30,FP-1356-jn2015.XLS,Fondo3xIntru,4,5,4,50,200,4,100.0,100.0,100.0,99.99999999999999,True,True,True,True,correcto,
2015-07-31,FP-1356-jl2015.XLS,Fondo3xIntru,4,5,4,50,200,4,100.00000000000001,99.99999999999999,100.0,100.00000000000001,True,True,True,True,correcto,
2015-08-31,FP-1356-ag2015.XLS,Fondo3xIntru,4,5,4,50,200,4,100.00000000000001,100.0,100.0,100.0,True,True,True,True,correcto,
2015-09-30,FP-1356-se2015.XLS,Fondo3xIntru,4,5,4,51,201,4,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,True,True,True,True,correcto,
2015-10-31,FP-1356-oc2015.XLS,Fondo3xIntru,4,5,4,51,201,4,100.00000000000001,100.0,100.00000000000001,100.0,True,True,True,True,correcto,
2015-11-30,FP-1356-no2015.XLS,Fondo3xIntru,4,5,4,51,201,4,100.0,100.0,100.00000000000001,100.00000000000001,True,True,True,True,correcto,
2015-12-31,FP-1356-di2015.XLS,Fondo3xIntru,4,5,4,51,201,4,100.0,100.0,100.0,100.0,True,True,True,True,correcto,
