anio,mes,mes_nombre,url,archivo
2015,1,Enero,https://intranet2.sbs.gob.pe/estadistica/financiera/2015/Enero/FP-1356-en2015.XLS,FP-1356-en2015.XLS
2015,2,Febrero,https://intranet2.sbs.gob.pe/estadistica/financiera/2015/Febrero/FP-1356-fe2015.XLS,FP-1356-fe2015.XLS
2015,3,Marzo,https://intranet2.sbs.gob.pe/estadistica/financiera/2015/Marzo/FP-1356-ma2015.XLS,FP-1356-ma2015.XLS
2015,4,Abril,https://intranet2.sbs.gob.pe/estadistica/financiera/2015/Abril/FP-1356-ab2015.XLS,FP-1356-ab2015.XLS
2015,5,Mayo,https://intranet2.sbs.gob.pe/estadistica/financiera/2015/Mayo/FP-1356-my2015.XLS,FP-1356-my2015.XLS
2015,6,Junio,https://intranet2.sbs.gob.pe/estadistica/financiera/2015/Junio/FP-1356-jn2015.XLS,FP-1356-jn2015.XLS
2015,7,Julio,https://intranet2.sbs.gob.pe/estadistica/financiera/2015/Julio/FP-1356-jl2015.XLS,FP-1356-jl2015.XLS
2015,8,Agosto,https://intranet2.sbs.gob.pe/estadistica/financiera/2015/Agosto/FP-1356-ag2015.XLS,FP-1356-ag2015.XLS
2015,9,Setiembre,https://intranet2.sbs.gob.pe/estadistica/financiera/2015/Setiembre/FP-1356-se2015.XLS,FP-1356-se2015.XLS
2015,10,Octubre,https://intranet2.sbs.gob.pe/estadistica/financiera/2015/Octubre/FP-1356-oc2015.XLS,FP-1356-oc2015.XLS
2015,11,Noviembre,https://intranet2.sbs.gob.pe/estadistica/financiera/2015/Noviembre/FP-1356-no2015.XLS,FP-1356-no2015.XLS
2015,12,Diciembre,https://intranet2.sbs.gob.pe/estadistica/financiera/2015/Diciembre/FP-1356-di2015.XLS,FP-1356-di2015.XLS
2016,1,Enero,https://intranet2.sbs.gob.pe/estadistica/financiera/2016/Enero/FP-1356-en2016.XLS,FP-1356-en2016.XLS
2016,2,Febrero,https://intranet2.sbs.gob.pe/estadistica/financiera/2016/Febrero/FP-1356-fe2016.XLS,FP-1356-fe2016.XLS
2016,3,Marzo,https://intranet2.sbs.gob.pe/estadistica/financiera/2016/Marzo/FP-1356-ma2016.XLS,FP-1356-ma2016.XLS
2016,4,Abril,https://intranet2.sbs.gob.pe/estadistica/financiera/2016/Abril/FP-1356-ab2016.XLS,FP-1356-ab2016.XLS
2016,5,Mayo,https://intranet2.sbs.gob.pe/estadistica/financiera/2016/Mayo/FP-1356-my2016.XLS,FP-1356-my2016.XLS
2016,6,Junio,https://intranet2.sbs.gob.pe/estadistica/financiera/2016/Junio/FP-1356-jn2016.XLS,FP-1356-jn2016.XLS
2016,7,Julio,https://intranet2.sbs.gob.pe/estadistica/financiera/2016/Julio/FP-1356-jl2016.XLS,FP-1356-jl2016.XLS
2016,8,Agosto,https://intranet2.sbs.gob.pe/estadistica/financiera/2016/Agosto/FP-1356-ag2016.XLS,FP-1356-ag2016.XLS
2016,9,Setiembre,https://intranet2.sbs.gob.pe/estadistica/financiera/2016/Setiembre/FP-1356-se2016.XLS,FP-1356-se2016.XLS
2016,10,Octubre,https://intranet2.sbs.gob.pe/estadistica/financiera/2016/Octubre/FP-1356-oc2016.XLS,FP-1356-oc2016.XLS
2016,11,Noviembre,https://intranet2.sbs.gob.pe/estadistica/financiera/2016/Noviembre/FP-1356-no2016.XLS,FP-1356-no2016.XLS
2016,12,Diciembre,https://intranet2.sbs.gob.pe/estadistica/financiera/2016/Diciembre/FP-1356-di2016.XLS,FP-1356-di2016.XLS
2017,1,Enero,https://intranet2.sbs.gob.pe/estadistica/financiera/2017/Enero/FP-1356-en2017.XLS,FP-1356-en2017.XLS
2017,2,Febrero,https://intranet2.sbs.gob.pe/estadistica/financiera/2017/Febrero/FP-1356-fe2017.XLS,FP-1356-fe2017.XLS
2017,3,Marzo,https://intranet2.sbs.gob.pe/estadistica/financiera/2017/Marzo/FP-1356-ma2017.XLS,FP-1356-ma2017.XLS
2017,4,Abril,https://intranet2.sbs.gob.pe/estadistica/financiera/2017/Abril/FP-1356-ab2017.XLS,FP-1356-ab2017.XLS
2017,5,Mayo,https://intranet2.sbs.gob.pe/estadistica/financiera/2017/Mayo/FP-1356-my2017.XLS,FP-1356-my2017.XLS
2017,6,Junio,https://intranet2.sbs.gob.pe/estadistica/financiera/2017/Junio/FP-1356-jn2017.XLS,FP-1356-jn2017.XLS
2017,7,Julio,https://intranet2.sbs.gob.pe/estadistica/financiera/2017/Julio/FP-1356-jl2017.XLS,FP-1356-jl2017.XLS
2017,8,Agosto,https://intranet2.sbs.gob.pe/estadistica/financiera/2017/Agosto/FP-1356-ag2017.XLS,FP-1356-ag2017.XLS
2017,9,Setiembre,https://intranet2.sbs.gob.pe/estadistica/financiera/2017/Setiembre/FP-1356-se2017.XLS,FP-1356-se2017.XLS
2017,10,Octubre,https://intranet2.sbs.gob.pe/estadistica/financiera/2017/Octubre/FP-1356-oc2017.XLS,FP-1356-oc2017.XLS
2017,11,Noviembre,https://intranet2.sbs.gob.pe/estadistica/financiera/2017/Noviembre/FP-1356-no2017.XLS,FP-1356-no2017.XLS
2017,12,Diciembre,https://intranet2.sbs.gob.pe/estadistica/financiera/2017/Diciembre/FP-1356-di2017.XLS,FP-1356-di2017.XLS
2018,1,Enero,https://intranet2.sbs.gob.pe/estadistica/financiera/2018/Enero/FP-1356-en2018.XLS,FP-1356-en2018.XLS
2018,2,Febrero,https://intranet2.sbs.gob.pe/estadistica/financiera/2018/Febrero/FP-1356-fe2018.XLS,FP-1356-fe2018.XLS
2018,3,Marzo,https://intranet2.sbs.gob.pe/estadistica/financiera/2018/Marzo/FP-1356-ma2018.XLS,FP-1356-ma2018.XLS
2018,4,Abril,https://intranet2.sbs.gob.pe/estadistica/financiera/2018/Abril/FP-1356-ab2018.XLS,FP-1356-ab2018.XLS
2018,5,Mayo,https://intranet2.sbs.gob.pe/estadistica/financiera/2018/Mayo/FP-1356-my2018.XLS,FP-1356-my2018.XLS
2018,6,Junio,https://intranet2.sbs.gob.pe/estadistica/financiera/2018/Junio/FP-1356-jn2018.XLS,FP-1356-jn2018.XLS
2018,7,Julio,https://intranet2.sbs.gob.pe/estadistica/financiera/2018/Julio/FP-1356-jl2018.XLS,FP-1356-jl2018.XLS
2018,8,Agosto,https://intranet2.sbs.gob.pe/estadistica/financiera/2018/Agosto/FP-1356-ag2018.XLS,FP-1356-ag2018.XLS
2018,9,Setiembre,https://intranet2.sbs.gob.pe/estadistica/financiera/2018/Setiembre/FP-1356-se2018.XLS,FP-1356-se2018.XLS
2018,10,Octubre,https://intranet2.sbs.gob.pe/estadistica/financiera/2018/Octubre/FP-1356-oc2018.XLS,FP-1356-oc2018.XLS
2018,11,Noviembre,https://intranet2.sbs.gob.pe/estadistica/financiera/2018/Noviembre/FP-1356-no2018.XLS,FP-1356-no2018.XLS
2018,12,Diciembre,https://intranet2.sbs.gob.pe/estadistica/financiera/2018/Diciembre/FP-1356-di2018.XLS,FP-1356-di2018.XLS
2019,1,Enero,https://intranet2.sbs.gob.pe/estadistica/financiera/2019/Enero/FP-1356-en2019.XLS,FP-1356-en2019.XLS
2019,2,Febrero,https://intranet2.sbs.gob.pe/estadistica/financiera/2019/Febrero/FP-1356-fe2019.XLS,FP-1356-fe2019.XLS
2019,3,Marzo,https://intranet2.sbs.gob.pe/estadistica/financiera/2019/Marzo/FP-1356-ma2019.XLS,FP-1356-ma2019.XLS
