anio,mes,archivo,hoja,fila_excel_aprox,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
0,0,FP-1356-my2026.XLS,Fondo3xIntru,1,Cartera Administrada del Fondo de Pensiones Tipo 3 por Instrumento Financiero y AFP ,,,,,,,,,,,,
0,0,FP-1356-my2026.XLS,Fondo3xIntru,2,2026-05-31 00:00:00,,,,,,,,,,,,
0,0,FP-1356-my2026.XLS,Fondo3xIntru,3,(En miles de soles),,,,,,,,,,,,
0,0,FP-1356-my2026.XLS,Fondo3xIntru,4,,,,Habitat,,Integra,,Prima,,Profuturo,,Total SPP,
0,0,FP-1356-my2026.XLS,Fondo3xIntru,5,,,,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%
0,0,FP-1356-my2026.XLS,Fondo3xIntru,6,I. INVERSIONES LOCALES,,,2472949.605347,42.237150732372065,1366015.75445,39.0465516326739,1452182.710004,45.825458666195594,1472851.45964,40.41797245262432,6763999.529442,41.84002197959411
0,0,FP-1356-my2026.XLS,Fondo3xIntru,7,,1. Gobierno,,380709.845754,6.502396614003578,110095.687702,3.1470039349009826,84496.31443,2.6663878709499067,41471.428199,1.1380584454374445,616773.276085,3.815169902880158
0,0,FP-1356-my2026.XLS,Fondo3xIntru,8,,,Certificados y Depósitos a Plazo del BCRP  1/,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,9,,,Bonos del Gobierno Central,380709.845754,6.502396614003578,110095.687702,3.1470039349009826,84496.31443,2.6663878709499067,41471.428199,1.1380584454374445,616773.276085,3.815169902880158
0,0,FP-1356-my2026.XLS,Fondo3xIntru,10,,,Bonos Brady,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,11,,,Letras del Tesoro,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,12,,2. Sistema Financiero,,426685.969217,7.287653399098636,195331.858148,5.583416926075568,443674.947503,14.000723068772263,315956.151093,8.67046498649324,1381648.925961,8.546455566512991
0,0,FP-1356-my2026.XLS,Fondo3xIntru,13,,,Certificados y Depósitos a Plazo  2/,141541.827056,2.417486984519744,3289.808743,0.0940367536221365,214727.14934,6.7759862714266,74708.894275,2.050160599026755,434267.679414,2.6862463802104988
0,0,FP-1356-my2026.XLS,Fondo3xIntru,14,,,Papeles Comerciales,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,15,,,Títulos de Deuda emitidos por Organismos Internacionales en el mercado local,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,16,,,Títulos de Deuda emitidos por Entidades Financieras del Exterior en el mercado local ,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,17,,,Bonos de Arrendamiento Financiero ,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,18,,,Bonos Subordinados,0,0,0,0,6791.769623,0.21432286446121648,0,0,6791.769623,0.04201179924240801
0,0,FP-1356-my2026.XLS,Fondo3xIntru,19,,,Otros Bonos Sector Financiero,2928.181817,0.05001236438826088,0,0,0,0,0,0,2928.181817,0.018112832659175952
0,0,FP-1356-my2026.XLS,Fondo3xIntru,20,,,Letras Hipotecarias,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,21,,,Bonos Hipotecarios,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,22,,,Acciones y Valores representativos sobre Acciones,282215.960344,4.820154050190631,192042.049405,5.489380172453432,222156.02854,7.010413932884449,241247.256818,6.620304387466485,937661.295107,5.800084554400909
0,0,FP-1356-my2026.XLS,Fondo3xIntru,23,,,Acciones Preferentes,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,24,,3. Empresas no Financieras ,,1592836.052099,27.205106112553285,886022.033999,25.326285575789836,864967.941454,27.295155337977672,683322.0353,18.751715265147784,4027148.062852,24.91070005717574
0,0,FP-1356-my2026.XLS,Fondo3xIntru,25,,,Papeles Comerciales,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,26,,,Pagarés LP,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,27,,,Títulos de Deuda emitidos por Entidades No Financieras del Exterior en el mercado local ,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,28,,,Bonos Corporativos Coemitidos,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,29,,,Bonos de Empresas no Financieras ,4064.254555,0.06941610612812199,0,0,7168.00854,0.22619555845545236,0,0,11232.263095,0.0694793269469895
0,0,FP-1356-my2026.XLS,Fondo3xIntru,30,,,Bonos para Nuevos Proyectos,0,0,0,0,44002.866877,1.3885660140248581,8223.45794,0.2256680361816495,52226.324817,0.3230559920569608
0,0,FP-1356-my2026.XLS,Fondo3xIntru,31,,,Bonos Estructurados,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,32,,,Bonos convertibles emitidos en el mercado local,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,33,,,Acciones y Valores representativos sobre Acciones,1588771.797543,27.13569000640808,886022.033999,25.326285575789836,813797.066037,25.680393765497367,675098.577361,18.526047228993576,3963689.47494,24.518164738171794
0,0,FP-1356-my2026.XLS,Fondo3xIntru,34,,,Certificados de Suscripción Preferente,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,35,,,Certificados Prov. Acc.,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,36,,,Fondo de inversiones alternativos,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,37,,4. Administradoras de Fondos,,72354.158412,1.2357847844346803,174566.174601,4.989845195907517,59043.506617,1.863192388495747,325248.252358,8.925458720245294,631212.091989,3.9044839798775146
0,0,FP-1356-my2026.XLS,Fondo3xIntru,38,,,Fondos Mutuos del Extranjero - ETF del mercado local,0,0,64811.700709,1.8525946058025544,0,0,278262.379171,7.636072940229945,343074.07988,2.122150804465296
0,0,FP-1356-my2026.XLS,Fondo3xIntru,39,,,Fondo Mutuo  Alternativo Extranjero - Límite,0,0,23009.447317,0.6577080606689416,27509.794454,0.8681062926743159,12379.407019,0.3397155419841616,62898.64879,0.38907170770863025
0,0,FP-1356-my2026.XLS,Fondo3xIntru,40,,,Fondo Mutuo Local,0,0,0,0,0,0,0,0,0,0
