ticker,nombre,grupo,moneda,fecha_inicial,fecha_final,observaciones,estado,error
ACWI,Acciones globales,mercado,USD,2014-12-18,2026-07-02,2900,correcto,
SPY,Estados Unidos - S&P 500,mercado,USD,2014-12-18,2026-07-02,2900,correcto,
QQQ,Estados Unidos - Nasdaq 100,mercado,USD,2014-12-18,2026-07-02,2900,correcto,
EEM,Mercados emergentes,mercado,USD,2014-12-18,2026-07-02,2900,correcto,
ILF,América Latina,mercado,USD,2014-12-18,2026-07-02,2900,correcto,
EPU,Perú - ETF,mercado,USD,2014-12-18,2026-07-02,2900,correcto,
VGK,Europa,region,USD,2014-12-18,2026-07-02,2900,correcto,
EWJ,Japón,region,USD,2014-12-18,2026-07-02,2900,correcto,
MCHI,China,region,USD,2014-12-18,2026-07-02,2900,correcto,
XLK,Tecnología,sector,USD,2014-12-18,2026-07-02,2900,correcto,
XLF,Finanzas,sector,USD,2014-12-18,2026-07-02,2900,correcto,
XLE,Energía,sector,USD,2014-12-18,2026-07-02,2900,correcto,
XLB,Materiales,sector,USD,2014-12-18,2026-07-02,2900,correcto,
XLI,Industria,sector,USD,2014-12-18,2026-07-02,2900,correcto,
XLV,Salud,sector,USD,2014-12-18,2026-07-02,2900,correcto,
XLY,Consumo discrecional,sector,USD,2014-12-18,2026-07-02,2900,correcto,
XLP,Consumo básico,sector,USD,2014-12-18,2026-07-02,2900,correcto,
GLD,Oro,materia_prima,USD,2014-12-18,2026-07-02,2900,correcto,
CPER,Cobre,materia_prima,USD,2014-12-18,2026-07-02,2900,correcto,
COPX,Mineras de cobre,materia_prima,USD,2014-12-18,2026-07-02,2900,correcto,
USO,Petróleo,materia_prima,USD,2014-12-18,2026-07-02,2900,correcto,
TLT,Bonos Tesoro EE. UU. largo plazo,bonos,USD,2014-12-18,2026-07-02,2900,correcto,
LQD,Bonos corporativos grado inversión,bonos,USD,2014-12-18,2026-07-02,2900,correcto,
HYG,Bonos corporativos alto rendimiento,bonos,USD,2014-12-18,2026-07-02,2900,correcto,
^VIX,Volatilidad VIX,riesgo,INDICE,2014-12-18,2026-07-03,2915,correcto,
DX-Y.NYB,Índice dólar DXY,moneda,INDICE,2014-12-18,2026-07-03,3007,correcto,
PEN=X,Tipo de cambio USD/PEN,moneda,PEN_POR_USD,2014-12-18,2026-07-03,3008,correcto,
