fecha,Habitat,Integra,Prima,Profuturo
2015-01-02,10.806122,32.6142273,31.2883335,29.3240665
2015-01-05,10.7153311,32.342661,30.9575058,29.0542078
2015-01-06,10.6141156,32.0200626,30.6532031,28.7376224
2015-01-07,10.6785828,32.1955741,30.8233748,28.9312261
2015-01-08,10.7465171,32.392344,30.9859921,29.1359474
2015-01-09,10.7203245,32.3027792,30.884284,28.9906431
2015-01-12,10.6542866,32.0868927,30.7070049,28.7683512
2015-01-13,10.6507412,32.0694448,30.6572772,28.7601015
2015-01-14,10.5792767,31.8276114,30.4162122,28.5514398
2015-01-15,10.5483409,31.7168492,30.3527997,28.454104
2015-01-16,10.6407912,31.9730369,30.629795,28.7463506
2015-01-19,10.6400546,31.9589719,30.6200937,28.7132572
2015-01-20,10.6630168,32.0831436,30.7052008,28.8099713
2015-01-21,10.6936942,32.1461379,30.7304098,28.8670742
2015-01-22,10.7782317,32.3455469,30.9479175,29.0975672
2015-01-23,10.815629,32.4730966,31.0858841,29.228533
2015-01-26,10.879394,32.6603051,31.3162633,29.4183227
2015-01-27,10.8211859,32.4779544,31.2210149,29.2142262
2015-01-28,10.775903,32.3633196,31.0510432,29.0900705
2015-01-29,10.8532564,32.5466928,31.2507206,29.319857
2015-01-30,10.8206022,32.4722988,31.226838,29.259818
2015-02-02,10.9065559,32.707936,31.4531655,29.4989913
2015-02-03,10.9684851,32.8445705,31.6053381,29.6692274
2015-02-04,10.9939715,32.9024983,31.6596288,29.7341353
2015-02-05,11.0507585,33.051065,31.8448258,29.8936302
2015-02-06,11.0209075,32.9229218,31.7271836,29.82181
2015-02-09,10.9712398,32.7542888,31.58076,29.6412044
2015-02-10,11.0608577,32.9998633,31.7855292,29.9178304
2015-02-11,11.051,32.9741368,31.7085154,29.9125315
2015-02-12,11.0786702,33.0535644,31.8380713,29.9848695
2015-02-13,11.1743594,33.3135805,32.0925618,30.2445621
2015-02-16,11.2186659,33.4404831,32.2247414,30.3467542
2015-02-17,11.185299,33.3286049,32.0607703,30.2518142
2015-02-18,11.1831183,33.3193705,32.0473932,30.2360555
2015-02-19,11.2040399,33.3559804,32.0636143,30.2897552
2015-02-20,11.2230308,33.4033293,32.0844133,30.3589832
2015-02-23,11.2076164,33.3646222,32.0608609,30.316788
2015-02-24,11.2228687,33.4043194,32.1040209,30.3507684
2015-02-25,11.2074715,33.3539001,32.0692278,30.3280384
2015-02-26,11.2085291,33.3715799,32.0607896,30.3288377
2015-02-27,11.2012136,33.3760257,32.0953234,30.3134669
2015-03-02,11.2306639,33.4371415,32.1306409,30.3934512
2015-03-03,11.1909676,33.2805757,31.9887015,30.256652
2015-03-04,11.1740606,33.2062066,31.9174777,30.2219998
2015-03-05,11.189112,33.2815551,32.0110015,30.2985924
2015-03-06,11.1071631,33.0630103,31.7355094,30.1336155
2015-03-09,11.0931434,32.9766374,31.6478998,30.1161717
2015-03-10,10.9872889,32.6756267,31.3925972,29.8576797
2015-03-11,10.9665387,32.6406243,31.3740677,29.8414035
2015-03-12,11.0545876,32.9042669,31.6321253,30.1072849
2015-03-13,11.0311575,32.865144,31.5802698,30.0656304
2015-03-16,11.0852337,33.0007152,31.6732361,30.2277988
2015-03-17,11.1040138,33.0527569,31.7359151,30.2622608
2015-03-18,11.1406402,33.1197976,31.8143223,30.3228371
2015-03-19,11.1423196,33.1290323,31.7988182,30.3570956
2015-03-20,11.1414337,33.1405396,31.8433379,30.3357014
2015-03-23,11.1251887,33.1019354,31.7864436,30.2594672
2015-03-24,11.0748514,32.954343,31.690063,30.1147573
2015-03-25,11.0095458,32.8300805,31.5532613,29.9647045
2015-03-26,10.9912389,32.7389698,31.4604511,29.9147704
2015-03-27,11.0237509,32.8177935,31.5621451,30.0127372
2015-03-30,11.1291231,33.0812071,31.8337922,30.2843628
2015-03-31,11.0941368,32.9346598,31.7572698,30.1720154
2015-04-01,11.1164705,33.0068544,31.8743198,30.2306863
2015-04-02,11.1488164,33.120784,31.9609924,30.3247597
2015-04-06,11.2196033,33.3445564,32.1543101,30.471186
2015-04-07,11.243204,33.421574,32.2036508,30.5430555
2015-04-08,11.2881783,33.5575544,32.3079704,30.6815715
