fecha,cuotas_fondo,valor_fondo,valor_cuota
2026-07-21,185572769.08,6054709994.14,32.6271468
2026-07-22,185657096.91,6090732086.5,32.806352
2026-07-23,185657096.91,6067829375.12,32.6829917
2026-07-24,185562714.04,5981646860.06,32.2351766
2026-07-27,185557335.7,5977670035.57,32.2146791
2026-07-28,185557335.7,5866763613.26,31.6169856
2026-07-29,185557335.7,5770397854.47,31.0976541
2026-07-30,185531172.02,5936067073.06,31.994985
2026-07-31,185651590.26,5930024984.15,31.9416869
2026-08-03,185684380.03,5960887646.58,32.1022567
