fecha,valor_cuota,fuente
2026-07-01,33.1019868,SBS Variables SPP diaria
2026-07-02,32.8852411,SBS Variables SPP diaria
2026-07-03,32.9033232,SBS Variables SPP diaria
2026-07-06,33.3286403,SBS Variables SPP diaria
2026-07-07,32.7062959,SBS Variables SPP diaria
2026-07-08,32.6273390,SBS Variables SPP diaria
2026-07-09,32.9828361,SBS Variables SPP diaria
2026-07-10,33.1575753,SBS Variables SPP diaria
2026-07-13,32.6098530,SBS Variables SPP diaria
2026-07-14,32.9889924,SBS Variables SPP diaria
2026-07-15,32.8170077,SBS Variables SPP diaria
2026-07-16,32.2856466,SBS Variables SPP diaria
2026-07-17,32.0835618,SBS Variables SPP diaria
2026-07-20,31.9591046,SBS Variables SPP diaria
