fecha,ret_estimado,senal,valor_cuota_estimado,fuentes_completas,ventana_fin,ret_profuturo,valor_cuota
2026-06-01,0.0010563903721985625,SUBE,,False,2026-05-29,,
2026-06-02,0.010019361010503589,SUBE,,False,2026-06-01,,
2026-06-03,-0.015067612877844552,BAJA,,False,2026-06-02,,
2026-06-04,-0.00024605692898177424,NEUTRO,,False,2026-06-03,,
2026-06-05,-0.04010481812961571,BAJA,,False,2026-06-04,,
2026-06-08,-0.004278031728640929,BAJA,,False,2026-06-05,,
2026-06-09,0.016805510326607244,SUBE,,False,2026-06-08,,
2026-06-10,-0.01795415272848653,BAJA,,False,2026-06-09,,
2026-06-11,0.03366452255610595,SUBE,,False,2026-06-10,,
2026-06-12,0.015261420931533716,SUBE,,False,2026-06-11,,
2026-06-15,0.01232229228017157,SUBE,,False,2026-06-12,,
2026-06-16,0.0032160172350034007,SUBE,,False,2026-06-15,,
2026-06-17,-0.007053118454673109,BAJA,,False,2026-06-16,,
2026-06-18,-0.0034655141210167637,BAJA,,False,2026-06-17,,
2026-06-22,-0.0028612470031863825,BAJA,,False,2026-06-19,,
2026-06-23,-0.026679577231974713,BAJA,,False,2026-06-22,,
2026-06-24,-0.012453482480566058,BAJA,,False,2026-06-23,,
2026-06-25,0.0020156036243901563,SUBE,,False,2026-06-24,,
2026-06-26,0.0010094678176176346,SUBE,,False,2026-06-25,,
2026-06-30,0.0075014889454498405,SUBE,,False,2026-06-29,,
2026-07-07,-0.014970926809929947,BAJA,,False,2026-07-06,,
2026-07-10,0.0063787858387088624,SUBE,,False,2026-07-09,,
2026-07-13,-0.011054965646442837,BAJA,,False,2026-07-10,,
2026-07-14,0.01218638797689834,SUBE,,False,2026-07-13,,
2026-07-15,0.0018203838869512159,SUBE,,False,2026-07-14,,
2026-07-16,-0.018051968160984203,BAJA,,False,2026-07-15,,
2026-07-17,-0.005265643155426445,BAJA,,False,2026-07-16,,
2026-07-20,-0.0005883505623527792,NEUTRO,,False,2026-07-17,,68.06385
2026-07-21,0.02343301293131672,SUBE,69.65879107720521,False,2026-07-20,,
2026-07-22,0.011128411551830742,SUBE,70.43398277251534,False,2026-07-21,,
